#漢字	音標	解釋
㼦	koŋ2	瓶子、杯子，替字
鑽	tsaŋ3	
鑽	tsŋ3	
鑽	nŋ3	替字
鑿	tsʰak8	
钁	kʰiak4	
長	tsʰiaŋ5	文读
長	tsiaŋ2	文读
長	tiõ2	白读
長	tŋ5	白读
門	mŋ5	
閂	tsʰuã3	白读
閂	suaŋ1	文读
閃	siam2	
閉	pi6	
閉	pi3	闭路
開	kʰai1	文读
開	kʰui1	白读
閏	dzuŋ7	
閒	aĩ5	
間	kaĩ1	白读
間	kaĩ3	白读
間	kaŋ1	文读
間	kaŋ7	文读
閘	tsaʔ8	
閣	koʔ4	
閧	hoŋ3	
閧	haŋ7	
閨	kui1	
閩	maŋ5	
閱	dzuak8	文读
閱	luak8	粗略看，白读
閹	iam1	
閻	ŋiam5	
闊	kʰuaʔ4	
闊	kʰuãʔ4	
闕	kʰuak4	
關	kuaŋ1	文读
關	kuẽ1	白读
闢	pʰek4	
阜	hu6	
阮	ŋuaŋ2	
阮	uaŋ2	俗读
防	huaŋ5	
阻	tso2	
阿	a1	
阿	o1	
陀	tʰo5	
附	hu3	
陋	lou6	
陌	mek8	
陌	mok8	
降	kaŋ3	降落
降	haŋ5	投降
降	koŋ3	降头术
限	haŋ6	
陛	pi6	
陝	siam2	
陡	tau2	
院	ŋi7	白读
院	iaŋ6	家院，文读
陣	tiŋ7	文读
陣	tsuŋ7	白读
除	tu5	
陪	pfʰue5	
陰	im1	
陳	taŋ5	姓
陳	tʰiŋ5	陈述
陳	tʰeŋ5	陈列
陳	tiŋ5	铺陈
陳	tsʰiŋ5	陈皮
陳	tsʰeŋ5	陈皮
陵	leŋ5	
陶	tʰau5	
陷	ham7	
陷	ham5	陷害，峡山音
陸	lek8	白读
陸	lok8	文读
陸	lak8	六，白读
陽	iaŋ5	文读
陽	iõ5	白读
隆	loŋ5	
隆	leŋ5	隆江，原名龙江
隊	tui7	
隍	huaŋ5	文读
隍	ŋ5	白读
階	kai1	
隔	keʔ4	
隔	kek4	文读
隕	uŋ2	
隘	ai2	
隙	kʰiaʔ4	
際	tsi3	
障	tsiaŋ3	
隧	sui5	
隨	sui5	
險	hiam2	
隱	iŋ2	
隱	uŋ2	
隴	leŋ2	
隴	leŋ5	
隸	li6	直隶
隸	li7	奴隶
隸	loi6	隶书
隻	tsi2	只要
隻	tsiaʔ4	一只
隻	tsiap4	一只表
隻	tsek4	船只
雀	tsʰiak4	孔雀
雀	tsʰioʔ4	孔雀
雀	tsiauʔ4	麻雀
雀	tsiaʔ4	麻雀
雁	ŋaŋ6	
雄	hioŋ5	
雄	heŋ5	拍雄，白读
雅	ŋia2	
集	tsip8	
雇	kou3	
雉	ti6	
雌	tsʰu5	
雍	ioŋ1	
雕	tiau1	
雖	sui5	
雙	saŋ1	白读
雙	suaŋ1	无双，文读
雙	siaŋ1	田心音
雛	tsʰu1	
雜	tsap8	
雞	koi1	
離	li5	
離	li6	离远
離	li7	毋离，不尽、不及
難	naŋ5	
難	naŋ6	
雨	hou6	白读
雨	u2	文读
雪	soʔ4	白读
雪	suak4	文读
雲	huŋ5	
雲	uŋ5	
零	leŋ5	文读
零	laŋ5	零落，白读
零	naŋ5	一些
雷	lui5	
雹	pʰak8	
電	tiaŋ6	
需	su1	
霄	siau1	文读
霄	sio1	福建省漳州市云霄县，白读
震	tsiŋ2	文读
震	tuŋ3	发抖，也写作“振”，白读
震	tsuŋ3	拍震晕，也写作“振”，白读
震	tsʰuŋ3	拍震晕，也写作“振”，白读
霉	bvue5	
霍	kʰak4	
霍	kʰaʔ4	
霎	sap4	
霜	saŋ1	霜降，文读
霜	suaŋ1	文读
霜	sŋ1	白读
霞	hia5	文读
霞	he5	云霞，白读
霧	bvu7	
露	lou3	
露	lou6	
露	lou7	
霸	pa3	
霹	pʰek4	
靄	ai2	
靈	leŋ5	
青	tsʰẽ1	
靜	tsẽ6	
非	hui1	
靠	kʰau3	
靠	kʰa3	
靠	kou7	本字“怙”
靠	kʰo3	依靠
靡	mui2	
靡	mi2	
面	miŋ7	
面	mĩ7	麵
靨	iap4	
革	kek4	
革	keʔ4	
靴	hia1	
鞋	oi5	
鞍	uã1	白读
鞍	aŋ1	文读
鞏	kʰioŋ2	
鞘	siau1	
鞭	piaŋ1	文读
鞭	pĩ1	牛鞭、教鞭，白读
韓	haŋ5	
韭	ku2	
音	im1	
韶	siau6	
韻	uŋ7	
響	hiaŋ2	
頂	teŋ2	
頃	kʰueŋ2	
項	haŋ6	
順	suŋ6	
須	su1	
須	tsʰiu1	胡须
頌	soŋ6	
預	u5	
頑	ŋuaŋ2	文读
頑	ŋai2	白读
頑	ŋuai2	白读
頒	paŋ1	
頓	tuŋ3	量词，文读
頓	tuŋ6	文读
頓	tŋ3	一顿饭
頗	pʰo2	
頗	pfʰua2	
領	nia2	
頭	tʰau5	
頸	kẽ3	
頻	pʰiŋ5	
頽	tʰue5	
顆	kʰõ2	
題	toi5	
額	hiaʔ8	
顏	ŋuaŋ5	
顏	ŋaŋ5	颜真卿
顏	hiã5	姓
願	ŋuaŋ6	
願	ŋuaŋ7	
顛	tiaŋ1	
顛	tiŋ1	颠倒斗
類	lui6	
類	lui7	
顧	ku3	文读
顧	kou3	姓，白读
顫	tsiaŋ3	
顯	hiaŋ2	
風	hioŋ1	风俗
風	huaŋ1	白读
風	hoŋ1	文读
颼	sou1	
飄	pʰiau1	文读
飄	pʰio1	白读
飄	pio1	白读
飈	pʰiau1	文读
飈	pio1	白读
風	hioŋ1	风俗
飛	pfue1	白读
飛	hui1	文读
食	tsiaʔ8	白读
食	sik8	文读
食	sek8	文读
飢	ki1	
飩	tʰuŋ1	
飭	tʰek4	
飯	huaŋ6	文读
飯	pŋ7	白读
飲	im2	文读
飲	am2	白读
飼	tsʰi7	白读
飼	su6	文读
飽	pa2	
飾	sek4	
餃	kiau2	
餅	piã2	
餉	hiaŋ3	
養	iaŋ2	文读
養	iõ2	白读
餌	dzi7	
餐	tsʰaŋ1	
餒	nue2	
餓	ɡo7	
餘	u5	
餛	huŋ5	
館	kuaŋ2	
餿	siau1	
餿	sou1	
饅	maŋ7	
饑	ki1	
饒	dziau5	
饞	tsʰam5	
首	siu2	
香	hiaŋ1	文读
香	hiõ1	白读
馨	heŋ1	
馬	be2	
馬	ma2	
馬	ma1	马虎
馮	paŋ5	
馱	tʰo5	
馳	tsʰi5	
駁	poʔ4	
駁	pak4	驳杂
駐	tsu6	
駒	kʰu1	
駕	ke3	白读
駕	kia3	文读
駛	sai2	
駝	tʰoʔ8	
駢	peŋ6	
駭	hai6	
駱	loʔ8	
騎	kʰia5	
騙	pʰiaŋ3	
騰	tʰeŋ5	
騷	sau1	
騾	lo5	
驅	kʰu1	
驕	kiau1	
驗	ŋiam7	
驚	kiã1	白读
驚	keŋ1	文读
驟	tsou6	
驟	tso6	
驢	lu5	
骨	kuk4	
骯	aŋ1	
髒	tsaŋ1	
髓	tsʰue2	
體	tʰi2	文读
體	tʰoi2	白读
體	tʰoĩ2	无体无礼
高	kau1	文读
高	ko1	白读
髮	huak4	
鬃	tsaŋ1	
鬆	soŋ1	文读
鬆	sioŋ5	武松，文读
鬆	saŋ1	白读
鬆	seŋ5	松柏，白读
鬈	kʰuaŋ5	
鬥	tou3	文读
鬥	tau3	白读
鬥	tau2	白读
鬧	nau6	文读
鬧	lau7	白读
鬮	kʰau1	
鬮	kʰa1	
鬼	kui2	
鬼	kuai2	扑克牌里的大小王
魁	kʰue1	
魁	kʰui5	文读
魂	huŋ5	
魄	pʰek4	文读
魄	poʔ8	失魂落魄，白读
魏	ɡui7	
魏	ŋui7	
魔	mo5	
魚	hu5	
魯	lu2	文读
魯	lou2	粗鲁，老派白读
鮎	niam5	
鮑	pau6	
鮮	tsʰĩ1	白读
鮮	siaŋ2	朝鲜，文读
鮮	siaŋ1	鲜明，文读
鯉	li2	
鯗	siaŋ2	
鯨	kʰeŋ1	
鯨	kʰueŋ1	
鯽	tsik4	
鰣	si5	
鰥	kuaŋ1	
鰭	kʰi5	文读
鰭	ki5	
鰭	tsʰi1	白读
鰾	pʰio6	
鱅	sioŋ5	鳙鱼
鱉	piʔ4	
鱖	kue3	
鱖	kʰuak4	
鱗	liŋ5	文读
鱗	laŋ5	白读
鱗	laŋ1	巴鳞
鱟	hau6	
鱷	ŋak8	
鳥	tsiau2	白读
鳩	kʰiu1	
鳳	hoŋ6	
鳴	meŋ5	
鴉	a1	
鴉	ã1	鸦片
鴟	tsʰi1	
鴨	aʔ4	
鴻	hoŋ5	
鴿	kap4	
鵝	ɡo5	
鵡	bvu2	
鵲	tsʰiak4	
鶯	eŋ1	
鶴	hoʔ8	
鷹	eŋ1	
鸚	eŋ1	
鸞	luaŋ5	
鹵	lou2	卤汤
鹵	lou6	腌制
鹹	kiam5	
鹻	kiam2	
鹽	iam5	
鹽	sĩ7	腌
鹿	tek8	白读
鹿	lok8	文读
麗	li6	
麗	li5	
麗	le5	高丽菜
麥	beʔ8	
麴	kek4	
麵	mi7	
麻	mua5	白读
麻	ma5	文读
麻	me5	雀麻、麻醉
麻	ba5	嘴麻麻
麾	hui1	
黃	huaŋ5	黄帝，老派文读
黃	ŋ5	白读
黍	su2	文读
黍	siu2	白读
黎	loi5	白读
黎	li5	文读
黏	niam5	
黏	niam1	
黑	hek4	
默	mek8	
點	tiam2	
黨	taŋ2	
鼎	tiã2	白读
鼎	teŋ2	文读
鼓	kou2	白读
鼓	ku2	鼓动，文读
鼠	tsʰu2	白读
鼠	su2	鼠标、鼠目寸光，文读
鼻	pʰĩ7	
鼾	haŋ1	文读
鼾	huã5	白读
鼾	huã7	白读
齊	tsoi5	白读
齊	tsʰi5	文读
齊	tsoiʔ8	整齐
齋	tse1	
齒	kʰi2	白读
齒	tsʰi2	文读
齦	ŋiŋ5	
龍	leŋ5	
龍	naŋ5	蟮龙，壁虎，白读
龐	pʰaŋ5	
龕	kʰam1	
龜	ku1	
龜	kui1	
龜	kuŋ1	龟裂
龜	kiu1	本字“勼”
