#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
縫	foŋ6	名詞，見《玉林市志》
縭	li4	
縮	ɕok7	
縱	ɗoŋ1	見1959年字表
縱	ɗoŋ3	文讀，見1959年字表
縱	ɗoŋ2	又讀，見《玉林市志》。《康》又足勇切，音褷。
縱	ɬoŋ2	放～。見《玉林话研究》
縲	lui4	
縴	jin1	
縵	mɔn6	
縶	tɕɐp7	
縷	ly5	
縹	pʰiu1	
縻	mi4	
總	ɗoŋ2	
績	ɗek7	
繁	fɔn4	
繃	ɓa3	
繅	ɬɵ̜u1	
繆	mɐu4	綢～
繆	mɐu6	～誤
繇	jiu4	
繈	kʰa2	
繒	tɐŋ4	
織	tɕek7	
織	tɕøk7	
繕	ɕin5	
繚	lᴇɐ̯u2	
繞	ȵiu2	
繡	ɬɐu3	
繢	wui6	
繦	kʰa2	
繨	lɐt7	
繩	ɕeŋ4	
繩	ɕøŋ4	白讀
繪	wɐi6	
繫	ŋɐi6	異讀
繫	ɐi6	
繭	kɔn2	
繮	kʰa1	
繯	wɔn4	
繰	ɗɵ̜u2	
繳	kiu2	
繹	ek9	
繼	kɐi3	又讀
繼	ki3	
繽	ɓɐn1	
繾	jin2	
纈	kᴇɐ̯t10	
纊	kʷʰɔŋ3	
續	tok9	
纍	lui4	碩果～～
纏	tɕin4	動詞
纏	tɕin1	形容詞。（人）難纏；（毛髮）纏繞在一起難以理順：～頭髻。
纏	tɕin6	白讀，動詞
纓	eŋ1	
纖	ɬim1	
纘	ɗÿn2	
纛	tɵ̜u6	
纜	lɔm6	
缶	fɐu2	
缸	kɔŋ1	
缺	jÿt7	見1959年字表
缺	kʰÿt7	
缽	ɓut7	
罄	heŋ3	
罅	lœ3	
罈	tɔm4	
罌	a1	
罐	kun3	
罒	mɔŋ5	
罔	mɔŋ5	
罕	hɔn2	
罘	fɐu4	
罟	ku2	
罡	kɔŋ1	
罨	ɐp7	掩實、蓋實
罩	tɕɔu3	
罪	tui5	
置	tɕi3	
罰	fɔt10	
罱	lɔm5	
署	ɕy2	
罵	mɔ6	
罷	pɔ6	
罷	pɵ6	～了（相當於普通話的「還不如……算了」），口語用
罹	li4	
罾	ɗɐŋ1	蝦～：捕蝦網
羅	lɵ4	
羆	ɓi1	
羈	ki1	
羊	ja4	
羋	mi5	
羌	ka1	
美	mi5	
羔	kɵ̜u1	
羚	leŋ4	
羝	ɗɐi1	
羞	ɬɐu1	
羣	kʷɐn4	
羣	kʷɐn4	
羥	ha2	
羧	ɬœ1	
羨	tʰim2	
義	ȵi6	
羯	kʰit7	
羰	tʰa2	
羲	hi1	
羸	lui4	
羹	ka1	淺勺
羼	tɕʰɔŋ3	
羽	jy5	
羿	ŋɐi6	
翁	oŋ1	
翅	tɕʰi3	
翊	ek9	
翌	ji3	
翎	leŋ4	
習	tɐp9	
翔	ta4	
翕	jɐp7	
翠	tʰui3	
翡	fi1	見《玉林话研究》
翥	tɕy3	
翦	ɗin2	
翩	pʰin1	
翮	a6	
翰	ɔn6	
翱	ŋɵ̜u4	
翳	ɐi3	
翹	hᴇɐ̯u1	
翹	kʰiu1	銀～：中藥
翹	kʰᴇɐ̯u2	～蓮：一種本地特色小喫。將麵團搓成細條，再盘成三葉扭結狀（若花瓣，有的或再加外圈），油炸至金黄酥脆。其名俗寫作「～蓮」，“翹”在此說不通，可能與「絞」有關（取其盘結纏繞之義）
翻	fɔn1	文讀
翻	fᴇɐ̯n1	翻開，翻動，翻找
翻	pʰᴇɐ̯n1	翻開
翻	mᴇɐ̯n1	翻開
翻	fᴇɐ̯n2	外翻（如脣）；邊緣卷翹、外展
翻	fᴇɐ̯n4	翻動，或是「繙」
翻	pᴇɐ̯n4	翻動，或是「繙」
翼	ek9	
翼	øk9	白讀
耀	jiu6	
老	lɵ̜u5	
考	hɔu2	
耄	mɵ̜u6	
者	tɕɛ2	
耆	ki4	
耋	tᴇɐ̯t10	
而	ȵi4	
耍	ɕɔ2	
耐	nɔi6	
耒	lui6	
耔	ɗi2	
耕	ka1	
耖	tɕʰɔu3	
耗	hɵ̜u3	
耘	wɐn4	
耙	pɔ4	
耜	ti5	
耠	ɔp10	
耥	tʰɔŋ3	
耦	ŋɐu5	
耨	nɐu6	
耩	kɐŋ2	
耪	pʰɔŋ1	
耬	lɐu4	
耮	lɵ̜u6	
耳	ȵi5	
耵	ɗeŋ1	
耶	jɛ4	
耷	ɗɐp7	
耽	ɗɔm1	
耿	kɐŋ2	
聃	ɗɔm1	
聆	leŋ4	
聊	liu4	
聒	kut7	
聖	ɕeŋ3	
聘	pʰeŋ3	
聚	ty5	
聞	mɐn4	
聯	lim4	
聰	tʰoŋ1	
聱	ȵɔu4	
聲	ɕeŋ1	
聳	ɬoŋ2	
聵	kʷɔi3	
聶	nᴇɐ̯p10	
職	tɕek7	
聹	neŋ4	
聽	tʰeŋ3	
聾	loŋ4	
聿	jɐt9	
肀	jɐt9	
肅	ɬok7	
肆	ɬi3	
肇	ɕiu6	
肉	ȵok9	
肋	lɐk9	
肌	ki1	
肏	tɕʰɔk8	
肓	wɔŋ1	
肖	ɬiu1	
肘	tɕɐu5	
肚	tu5	
肛	kɔŋ1	
肜	joŋ4	
肜	tɕʰɐm1	船行貌
肝	kɔn1	
肟	wɔk8	
股	ku2	
肢	tɕi1	
肥	fi4	
肩	kin1	
肪	fɔŋ1	
肫	tɕɐn1	此處是「胗」的讀音
肭	nɐt7	肥
肭	nok9	同「衄」
肯	hɐŋ2	
肱	kʷɔŋ1	
育	jok7	
肴	ȵɔu4	
肺	fi3	
肼	ɗeŋ2	
肽	tʰɔi3	
胂	ɕɐn1	
胃	wɐi6	
胄	tɕɐu6	
背	ɓui3	名詞
背	pui6	動詞
胍	kʷɔ1	
胎	tʰɔi1	
胖	pun5	
胗	tɕɐn5	
胙	tɕɔ6	
胚	pʰui1	
胛	kɔp8	
胝	ɗɐi2	
胞	ɓɔu1	
胡	wu4	
胤	jɐn6	
胥	ɬy1	
胩	kʰɔ1	
胬	nu5	
胭	jin1	
胰	ji4	
胱	kʷɔŋ1	
胲	hɔi2	有機化合物
胲	kɔi1	大腳趾的毛
胳	kɔk8	
胴	toŋ6	
胸	hoŋ1	
胺	ɔn3	
胼	pin4	
能	nɐŋ4	
脂	tɕi1	
脅	jip7	
脆	tʰui3	
脈	ma6	
脊	ɗek7	
脎	ɕɔt8	
脒	mɐi5	
脖	pɔt10	
脘	kun2	
脛	kʰeŋ3	
脞	tʰœ2	
脣	ɕɐn4	
脩	ɬɐu1	
脫	tʰÿt7	
脬	pʰɔu1	
脯	pʰu2	果～
脯	pu4	胸～
脲	nᴇɐ̯u6	
脹	tɕa3	
脾	pi4	～氣
脾	pʰi1	器官
腆	ɗim2	
腈	ɗeŋ1	
腋	ek9	
腌	jip7	
腎	ɕɐn5	
腐	fu6	
腑	fu2	
腓	fi4	
腔	kʰɔŋ1	
腕	wun2	
腖	ɗoŋ3	
腙	ɗoŋ1	
腚	teŋ6	
腠	tʰɐu3	
腡	lœ1	
腥	ɬeŋ1	
腦	nɵ̜u5	
腧	ɕy3	
腨	ɬÿn2	～子肉：小腿肉
腩	nɔm5	
腫	tɕoŋ2	
腭	ŋɔk10	
腮	ɬɔi1	
腰	jiu1	
腱	kin6	
腳	tɕa2	
腴	jy4	
腸	tɕa4	
腹	fok7	
腺	ɬin3	
腿	tʰui2	
膀	pɔŋ4	～胱
膀	ɓɔŋ2	肩～
膁	jim2	
膂	ly5	
膃	wut7	
膈	ka2	
膊	ɓɔk8	
膏	kɵ̜u1	
膚	fu1	
膛	tɔŋ4	
膜	mɔk10	
膝	ɬɐt7	
膝	ɬɔt8	又讀：～頭，～luk7(膝關節)
膠	kɔu1	
膠	kᴇɐ̯u1	白讀。黏稠
膣	tɕɐt9	
膦	lɐn6	
膨	pa4	
膩	nɐi6	
膪	tɕɔ3	
膺	eŋ1	
膻	ɕin1	
膽	ɗɔm2	
膾	kʷʰɐi3	
膿	noŋ1	
臀	tɐn4	
臁	lim4	
臂	ɓi3	
臉	lim5	
臊	ɬɵ̜u1	
臌	ku2	
臍	tɐi4	
臏	pɐn5	
臒	wɔk8	
臘	lɔp10	
臚	lœ4	肚～（大肚子，肚腩）
臚	ly4	皮膚；陳列；流傳
臟	tɔŋ6	
臠	lÿn5	
臣	ɕɐn4	
臥	mɵ3	又讀
臥	mɵ6	
臧	ɗɔŋ1	
臨	lɐm4	
自	ti6	
臬	nᴇɐ̯p10	
臭	tɕʰɐu3	
至	tɕi3	
致	tɕi3	
臺	tɔi4	
臻	ɗɐn1	
臼	tɕɐu5	
臾	jy4	
舀	jiu5	
舁	jy4	
舂	tɕoŋ1	
舄	tʰa2	鳥
舄	ɬek7	鞋
舅	tɕɐu5	
與	jy5	
興	heŋ3	名詞
興	heŋ1	動詞
舉	ky2	
舊	tɕɐu6	
舊	kɐu5	可能是訓讀。破舊的，破爛的，破敗的（興業指{腐朽的}）
舌	ɕᴇɐ̯t10	
舍	ɕɛ3	
舐	ɕɐi5	
舒	ɕy1	
舔	tʰim2	
舔	kᴇɐ̯m5	訓讀
舛	tɕʰÿn2	
舜	ɕɐn3	
舞	fu5	
舞	mu5	異讀
舞	mu2	白讀。搞，折騰，搗鼓
舟	tɕɐu1	
航	ɔŋ4	
般	ɓun1	
舵	tɵ4	
船	ɕÿn4	
舺	kɔp8	
艇	teŋ5	
艋	ma2	
艘	ɬɐu2	
艙	tʰɔŋ1	
艦	lɔm6	
艮	kɐn3	
良	la4	
艱	kɔn1	
色	ɕek7	
色	ɕɐk7	黑～雀：烏鴉、喜鵲等黑色鳥
艴	fɐt7	
艸	tʰɵ̜u2	
艹	tʰɵ̜u2	
艽	kɔu1	秦～
艽	tɕɐu4	
艾	ŋɔi6	
艿	nɔi5	芋～
艿	ŋeŋ4	亂草，雜草
芄	jÿn4	
芊	tʰin1	
芋	wu6	
芍	tɕa2	
芎	hoŋ1	
芏	tu6	
芑	hi2	
芒	mɔŋ4	
芒	mɔŋ1	同「杧」。～果：一種熱帶水果。
芘	pi4	一種有機物；～芣
芘	ɓi3	通「庇」
芙	fu4	
芝	tɕi1	
芟	ɕɔm1	
芡	kim6	
芤	kʰɐu1	
芥	kɔi3	
芨	tɕɐp7	
芩	tɕɐm4	
芪	ki4	
芫	jÿn4	
芫	jim4	俗
芬	fɐn1	
芭	ɓɔ1	
芮	ȵui6	
芰	ki6	
花	wɔ1	
芳	fɔŋ1	
芴	mɐt9	
芷	tɕi2	
芸	wɐn4	
芹	kɐn4	
芻	tɕʰu1	
芽	ȵɔ4	
芾	fɐt7	草木盛
芾	fi3	樹木枝幹、莖葉幼小的樣子
苄	pin6	
苉	pʰɐt7	
苊	a2	
苑	wun2	
苒	ȵim5	
苓	leŋ4	
苔	tɔi4	
苕	tiu4	
苗	miu1	
苘	kʷʰeŋ2	
苙	lɐp7	豬～|雞～
苛	kʰɵ1	
苜	mok9	
苝	ɓɐk7	
苞	ɓɔu1	
苟	kɐu2	
苠	mɐn4	
苡	ji5	
苣	ky5	
苤	pʰi1	
若	ȵa6	
苦	wu2	白讀
苦	kʰu2	文讀
苧	tɕy5	
苯	ɓun2	
英	eŋ1	
苴	tʰy1	
苴	tɛ4	羊～咩城
苴	tɕɔ4	浮草
苷	kɔm1	
苻	fu4	
茁	tɕÿt7	
茂	mɔu6	又讀
茂	mɐu6	
范	fɔm6	姓
茄	kɛ4	
茄	kᴇɐ̯t10	
茅	mɔu4	
茅	mɐu4	又讀
茆	mɔu5	
茇	pɔt10	
茈	ɗi2	～草：即「紫草」
茈	ɕɔi4	～胡：即「柴胡」，一味藥材
茈	ti4	鳧～：即「荸薺」；～菰：即「茨菰」
茉	mɔt10	
茌	tɕi4	
茗	meŋ4	
茚	jɐn3	
茛	kɐn3	
茜	ɬɐi1	
茨	ti4	
茫	mɔŋ4	
茭	kɔu1	
茯	fok9	
茱	tɕy1	
茲	ɗi1	
茳	kɐŋ1	
茴	wui4	
茵	ɐn1	
茶	tɕɔ4	
茸	joŋ4	
茹	ɕy4	
茺	tɕʰoŋ1	
茼	toŋ4	
荀	tɐn4	
荃	tÿn4	
荇	a6	
草	tʰɵ̜u2	
荊	keŋ1	
荏	ȵɐm5	
荐	ɗin3	
荑	tɐi4	
荑	ji4	除去田間野草
荒	wɔŋ1	
荳	tɐu6	
荷	wu4	～包|～包豆
荷	ɵ4	～花
荷	ɵ1	電～
荸	pɔt10	
荻	tek9	
荼	tu4	
荽	ɬui1	
荽	ɬɐi1	俗
莅	li6	
莉	li6	
莊	tɕɔŋ1	
莎	ɕɔ1	
莒	ky2	
莓	mui4	
莖	keŋ2	
莘	ɕɐn1	
莛	teŋ4	
莞	kun2	
莠	jɐu2	
莢	kɔp8	
莧	ɔm6	
莨	lɔŋ4	
莩	fu1	「葭～」蘆葦秆裏的薄膜
莩	piu5	同「殍」
莪	ŋɵ4	
莫	mɔk10	
莰	hɔm2	
莽	mɔŋ5	
菀	jÿn5	紫～：一種常綠草本植物；草木盛貌
菀	wun2	通「苑」
菀	wɐt7	通「鬱」
菁	ɗeŋ1	
菅	kɔn1	
菇	ku1	
菊	kok7	
菌	kʷɐn5	
菏	ɵ4	
菔	fok9	
菖	tɕʰa1	
菘	toŋ4	
菜	tʰɔi3	
菝	pɔt10	
菟	tu4	於～：虎
菟	tʰu3	～絲子：一種寄生植物
菠	ɓɵ1	
菡	ɔm6	
菥	ɬek7	～蓂
菥	ɬi1	蒧～
菩	pɵ4	
菪	tɔŋ6	
菫	kɐn2	
華	wɔ4	
華	wɔ6	姓
菰	ku1	
菱	leŋ4	
菲	fi1	
菸	jin1	
菹	tɕu1	
菽	ɕok7	
萁	ky1	狼～：一种蕨類植物，常被用于佐料
萁	ki4	豆莖
萃	ɬui2	
萄	tɵ̜u4	
萆	ɓi1	草名
萆	pi6	通「蔽」
萇	tɕa4	
萊	lɔi4	
萋	tʰɐi1	
萌	mɐŋ4	
萍	peŋ4	
萎	wɐi2	
萏	tɔm6	
萑	wun4	一種蘆葦一類的植物
萑	tɕui1	指益母草；草多的樣子
萘	nɔi6	
萜	tʰip7	
萬	mɔn6	
萱	jÿn1	
萵	wɵ1	
萸	jy4	
萼	ŋɔk10	
落	lɔk10	
葆	ɓɵ̜u2	
葉	jᴇɐ̯p10	
葑	foŋ1	蔓菁、蕪菁
葑	foŋ3	白茭根
葒	oŋ4	
著	tɕy3	～作|編～；土～
葙	ɬa1	
葚	ɕɐm5	
葛	kɔt8	
葜	hɔp8	
葡	pu4	
董	ɗoŋ2	
葤	tɕɐu5	
葦	wɐi4	
葩	pʰɔ1	
葫	wu4	文讀
葫	ku4	白讀
葬	ɗɔŋ3	
葭	kɔ1	
葵	kʷɐi4	
葶	teŋ4	
葷	wɐn1	
葸	ɬi2	
葺	tʰɐp7	
蒂	ɗɐi3	
蒄	kun1	
蒈	kʰɔi2	
蒍	wɐi5	
蒎	pʰɔi2	
蒐	ɬɐu1	
蒓	ɕɐn4	
蒔	ɕi6	
蒗	lɔŋ6	
蒙	moŋ1	動詞
蒙	moŋ4	～古
蒜	ɬÿn3	
蒝	tʰÿn3	長出，生長出
蒞	li6	
蒡	ɓɔŋ2	
蒯	kʷʰɔi2	
蒲	pu4	
蒴	ɕɔk8	
蒸	tɕeŋ1	
蒸	tɕøŋ1	又讀
蒹	kim1	
蒺	tɐt9	
蒼	tʰɔŋ1	
蒽	ɐn1	
蒿	hɔu1	
蓀	ɬÿn1	
蓁	ɗɐn1	
蓄	tɕʰok7	
蓆	tek9	
蓉	joŋ4	
蓊	oŋ3	見《玉林话研究》
蓋	kɔi3	
蓍	ɕi1	
蓐	ȵok9	
蓑	ɬœ1	
蓓	ɓui3	
蓧	tiu6	
蓬	poŋ4	～草
蓬	pʰoŋ1	質地鬆軟、蓬鬆
蓮	lin4	
蓯	tʰoŋ1	
蓰	ɗoŋ2	
蓼	liu5	～藍
蓼	lok7	長而大貌
蓽	ɓɐt7	
蓿	ɬok7	
蔌	ɬok7	
蔑	mᴇɐ̯t10	
蔓	mɔn6	
蔔	pɐk9	
蔗	tɕɛ3	
蔚	wɐi3	
蔞	lɐu4	
蔟	tʰok7	
蔡	tʰɔi3	
蔣	ɗa2	
蔥	tʰoŋ1	
蔦	niu5	
蔬	ɕɵ1	
蔭	jɐm3	
蔸	ɗɐu1	
蔻	kʰɐu3	
蔽	pi6	
蔿	wɐi5	
蕁	tɔm4	
蕃	fɔn4	
蕆	tɕʰin2	
蕈	ɬɐn3	
蕉	ɗiu1	
蕊	ȵui2	
蕎	kiu4	
蕒	mɐk7	
蕕	jɐu4	
蕖	ky4	
蕘	ȵiu4	
蕙	jui6	
蕞	tui6	
蕢	kʷɐi6	
蕤	ȵui4	
蕨	kÿt7	
蕩	tɔŋ6	
蕪	fu4	
蕭	ɬiu1	
蕷	jy6	
蕹	oŋ3	～菜：空心菜
蕺	tʰɐp7	
蕻	oŋ4	雪裏～
蕻	oŋ6	
蕾	lui5	
薄	pɵ6	～荷
薄	pɔk10	
薅	ŋɵ̜u1	
薅	hɵ̜u1	
薇	mi4	
薈	wui3	
薌	ja1	
薏	ji3	
薑	tɕa1	
薔	ta4	
薛	ɬit7	
薜	pɐi6	～荔
薜	ɓek7	山～：當歸，一説野麻
薟	lim5	葡萄科藤本植物的泛稱，有白～、赤～等多個品種
薟	jim1	豨～
薤	ɔi5	
薦	ɗin3	
薨	kʷeŋ1	
薩	ɬɔt8	
薪	ɬɐn1	
薯	ɕy4	
薰	wɐn1	
薷	ɕy4	
薹	tɔi4	
薺	tɐi4	荸～
薺	tɐi5	甘菜
藉	tek9	
藍	lɔm4	
藎	tɐn6	
藏	tɔŋ4	～匿
藏	tɔŋ6	西～|寳～|～經閣
藕	ŋɐu5	
藕	ŋɐu2	又讀
藕	ȵɔu2	又讀
藜	lɐi4	
藝	ŋɐi6	
藠	kiu6	～子：蒜頭
藤	tɐŋ4	
藥	ja6	
藩	fɔn4	
藪	ɬɐu2	
藶	lek9	
藷	ɕy4	
藹	ɔi2	
藺	lɐn5	
藻	ɗɵ̜u2	
藿	kʰɔk8	
蘄	ki4	
蘅	a4	
蘆	lu4	
蘇	ɬu1	
蘊	wɐn1	
蘋	peŋ4	
蘖	nᴇɐ̯t10	
蘖	nᴇɐ̯p10	又讀
蘚	ɬin2	
蘞	lim6	
蘢	loŋ4	
蘧	ky4	
蘩	fɔn4	
蘭	lɔn4	～花|～草
蘭	lɔn1	荷～|～豆(荷蘭豆的省稱)
蘸	tim6	
蘺	li4	
蘼	mi4	
蘿	lɵ4	
虍	u1	
虎	wu2	
虐	ȵa6	
虔	kin4	
處	tɕʰy2	～理
處	tɕʰy3	～所
虛	hy1	
虜	lu5	
虞	ȵy4	
號	ɵ̜u6	
虢	kʷɐk9	用手抓劃、扒拉
虧	kʷʰɐi1	
虧	wɐi1	又讀：喫～
虬	tɕɐu4	
虹	kɐŋ3	龐～：彩虹
虹	oŋ4	文讀：彩～
虺	ui1	～隤
虺	wɐi2	雷聲
虻	ma4	
虼	kɐt7	
蚊	mɐn1	驅～
蚊	mɐn4	白讀：～子|～蠅|～煙香
蚋	ȵui6	
蚌	pɐŋ5	
蚍	pi4	
蚓	jɐn5	
蚜	ȵɔ4	
蚝	ɵ̜u4	
蚣	koŋ1	
蚤	ɗɵ̜u2	
蚧	kɔi3	
蚨	fu4	
蚩	tɕʰi1	
蚪	ɗɐu2	
蚯	jɐu1	
蚰	jɐu4	
蚱	tɕok7	
蚴	jɐu2	龍、蛇盤結蜷曲的樣子
蚴	jɐu3	某些寄生蠕蟲的幼蟲
蚵	ɵ4	閩語謂「蠔」
蚶	hɔm1	
蚺	nɔm4	
蛀	tɕy3	
蛀	ɗy3	白讀：螫；蠹
蛄	ku1	
蛆	tʰy1	
蛇	ɕɛ4	毒～
蛇	ji4	委～
蛉	leŋ4	
蛋	tɔn6	
蛐	kʰok7	
蛑	mɐu4	
蛘	ja4	
蛙	wɔ1	
蛛	tɕy1	
蛞	kʰut7	
蛟	kɔu1	
蛤	kɔp8	
蛩	koŋ4	
蛭	tɕɐt7	
蛸	ɕɔu1	蠨～：蟢子
蛸	ɬiu1	螳螂卵
蛹	ȵoŋ2	
蛺	kip7	
蛻	tʰui3	
蛾	ŋɵ4	
蜀	tɕok7	
蜂	foŋ1	
蜆	jin2	
蜇	tɕek9	
蜈	ŋ̍4	
蜉	fɐu4	
蜊	li4	
蜋	la4	
蜍	ɕy4	
蜒	jin4	
蜓	teŋ4	
蜘	tɕi1	
蜚	fi1	
蜜	mɐt9	
蜞	ki4	
蜢	ma2	
蜣	kʰa1	
蜥	ɬek7	
蜩	tiu4	
蜮	wek9	
蜱	pi4	
蜴	ek9	
蜷	kʰÿn2	
蜻	tʰeŋ1	
蜾	kʷɵ2	
蜿	wun2	
蝌	wɵ1	
蝓	jy4	
蝕	ɕek9	
蝙	pʰin1	
蝚	mᴇɐ̯u4	～蟥、～囔：水蛭
蝟	wɐi6	
蝠	fok7	
蝣	jɐu4	
蝤	tɐu4	
蝥	mɔu4	
蝦	hɔ1	
蝨	ɕɐt7	
蝮	fok7	
蝰	kʷʰɐi1	
蝴	wu4	
蝶	tᴇɐ̯p10	
蝸	wɵ1	
蝻	nɔm5	
蝽	tɕʰɐn1	
螂	lɔŋ4	
螃	pɐŋ4	
螄	ɕi1	
螅	ɬek7	
螈	ȵÿn4	
螋	ɬɐu1	
融	joŋ4	
螓	tɐn4	
螗	tɔŋ4	
螞	mɔ5	
螟	meŋ5	
螢	weŋ4	
螫	ɕek7	
螬	tɵ̜u4	
螭	tɕʰi1	
螯	ŋɵ̜u4	
螳	tɔŋ4	
螵	pʰiu1	
螺	lœ4	又讀
螺	lɵ4	
螻	lɐu4	
螽	tɕoŋ1	
蟀	ɬɐt7	
蟄	tɕek9	
蟆	mɔ4	
蟈	kʷɐk7	～𧊅：小蛙
蟊	mɐu4	
蟋	ɬɐt7	
蟎	mun5	
蟑	tɕʰa1	
蟒	mɔŋ5	
蟓	ta5	
蟛	pa4	
蟠	pun4	
蟣	ki2	
蟥	wɔŋ4	
蟪	jui6	
蟬	ɕim4	
蟮	ɕin6	
蟯	ȵiu4	
蟲	tɕoŋ4	
蟶	tɕʰeŋ1	
蟹	ɔi5	
蟻	ŋɐi5	白讀：～子（也有的地方讀nai）
蟻	ȵi5	文讀：螞～
蟾	ɕim4	
蠃	lœ5	
蠅	leŋ4	
蠅	neŋ4	又讀
蠅	nøŋ4	又讀
蠆	tɕʰɔi3	
蠊	lim4	
蠐	tɐi4	
蠑	weŋ4	
蠓	moŋ5	
蠔	ɵ̜u4	
蠕	ɕy4	
蠖	wɔk8	
蠛	mɐk7	
蠟	lɔp10	
蠡	lɐi5	人名、地名用
蠡	li4	瓢
蠢	tɕʰɐn2	
蠣	lɐi6	
蠱	ku2	
蠲	kÿn1	
蠵	kʷɐi4	
蠶	tɔm4	
蠹	ɗu3	
蠻	mɔn4	
蠼	kʷɐk7	
血	jÿt7	
衄	nok9	
衆	tɕoŋ3	
行	ɔŋ4	銀～|～列
行	a4	出～|～走
行	a6	品～
衍	jin5	
術	ɕɐt9	
街	kɔi1	
衙	ȵɔ4	
衛	wɐi6	
衝	tɕʰoŋ1	
衡	ha1	
衢	ky4	
衣	ji1	
衤	ji1	
表	ɓiu2	
衩	tɕʰɔ3	
衫	ɕɔm1	
衰	ɕui1	
衲	nɔp10	僧衣
衲	nɐp7	縫補
衷	tɕoŋ1	
衷	tɕʰoŋ1	
衽	ȵɐm6	
衾	kʰɐm1	
衿	tɕɐm1	
袁	jÿn4	
袂	mɐi6	
袈	kɔ1	
袋	tɔi6	
袍	pɵ̜u4	
袒	tʰɔn3	見《玉林话研究》
袖	tɐu6	
袞	kʷɐn2	
袢	fɔn4	
袤	mɐu6	
被	pi5	棉～
被	pi6	～動
袱	fok9	
袷	kɔp8	
袷	kip7	曲領
袼	kɔk8	
裁	tɔi4	
裂	lᴇɐ̯t10	
裊	niu5	本字爲「嫋」
裎	tɕeŋ4	
裏	ly5	
裒	pɐu4	
裔	ji1	
裕	jy6	
裘	tɕɐu4	
裙	kʷɐn4	
補	ɓu2	
裝	tɕɔŋ1	
裟	ɕɔ1	
裡	ly5	
裨	ɓɐi3	～手
裨	pi4	
裰	ɗÿt7	
裱	ɓiu2	
裳	ɕa4	
裸	lœ5	
裹	kʷɵ2	
裼	ɬek7	
製	tɕɐi3	
裾	ky1	
褂	kʷɔ3	
複	fok7	
褊	ɓin2	
褐	kɔt8	
褒	ɓɵ̜u1	
褓	ɓɔn2	
褚	tɕy2	
褚	tɕʰy2	姓
褡	ɗɔp8	
褥	ȵok9	
褪	tʰui3	～色
褪	tʰɐn3	挪開
褫	tɕʰi2	
褰	jin1	
褲	wu3	
褶	tɕip7	
褸	lɐu1	大衣
褸	ly5	襤～
褻	ɬit7	
襁	ka2	
襄	ɬa1	
襆	ɓok7	
襇	kɔn3	
襖	ɵ̜u3	
襝	lim4	
襞	ɓek7	
襟	tɕʰɐm1	
襟	kʰɐm1	又讀。～章：佩帶於胸口，用於識别身份､職位等的徽章
襠	nɔŋ3	
襤	lɔm4	
襦	ɕy4	
襪	mɔt10	
襬	ɓɔi2	
襯	tʰɐn3	
襯	tɕʰɐn3	又讀
襲	tɐp9	
襻	pʰɔn3	
西	ɬɐi1	
要	jiu1	～求
要	jiu3	須～
覃	tɐm4	
覆	fok7	
覈	wɐt9	
見	kin3	
規	kʷʰɐi1	
覓	mek9	
視	ɕi6	
覘	tɕʰim1	
覡	ek9	
覦	jy6	
親	tʰɐn1	
覬	ki3	
覯	kɐu3	
覲	kɐn6	
覷	tʰy3	
覺	kɐk7	
覺	kɔu3	
覽	lɔm2	
覿	tek9	
觀	kun1	
角	kɐk7	
觔	tɕɐn1	
觖	kʰÿt7	
觚	ku1	
觜	ɗui2	
解	kɔi2	
觥	kʷɐŋ1	
觫	ɬok7	
觳	kok7	
觴	ɕa1	
觶	tɕi3	
觸	tɕʰok7	
言	ȵin4	
訁	ȵin4	
訂	ɗeŋ3	
訃	fu3	
訇	hoŋ1	
計	kɐi3	動詞
計	kɐi6	名詞：冇～
計	ki6	伙～
訊	ɬɐn3	
訌	oŋ4	
討	tʰɵ̜u2	
訐	kʰit7	
訓	wɐn3	
訕	ɕɔn3	
訖	ɐt9	
託	tʰɔk8	
記	ki3	
訛	ŋɵ4	
訝	ȵɔ6	
訟	toŋ6	
訣	kʰÿt7	
訥	nɐt7	
訪	fɔŋ2	
設	tɕʰit7	又讀
設	ɕÿt7	
許	hy2	
訴	ɬu3	
診	tɕʰɐn2	
註	tɕy3	
訾	ɗi1	
詁	ku2	
詆	ɗɐi2	
詈	lɐi3	痛罵
詎	ky5	
詐	tɕɔ3	騙
詐	tɕʰɔ3	假装
詒	tɔi5	騙
詔	tɕiu3	
評	peŋ4	
詘	kʷʰɐt7	
詞	ti4	
詠	weŋ5	
詡	hy2	
詢	tɐn4	
詣	ŋɐi6	
試	ɕi3	
詩	ɕi1	
詫	tɕʰɔ3	
詬	kɐu3	
詭	kʷɐi2	
詮	tÿn4	
詰	kʰit7	
話	wɔ6	
該	kɔi1	
詳	ta4	
詵	ɕɐn1	
詹	tɕim1	
詼	wui1	
詿	kʷɔ3	
誄	lui5	
誇	kʷʰɔ1	
誌	tɕi3	
認	ȵɐn6	
誑	kʷɔŋ4	
誒	ji1	
誓	ɕi6	
誕	ɗɔn3	廟～
誘	jɐu2	
誚	tiu6	
語	ȵy5	
誠	ɕeŋ4	
誡	kɔi3	
誣	mu1	
誤	ŋ̍6	
誥	kɵ̜u3	
誦	toŋ6	
誨	wui2	見《玉林话研究》
說	ɕÿt7	～話
誰	ɕui4	
