#漢字	音標	解釋
㐄	cʰᴀ2	跨
醃	jʱɛ̃1	
醉	tsuɘi4	
醊	tsuɛ2	
醋	tsʰʋ4	
醍	tʰi2	
醐	fʋ2	
醑	ɕi3	
醚	mᵇi2	
醜	tsʰɘu3	
醪	l̃ᴀɔ2	
醫	jʱi1	
醮	tɕiᴀɔ3	
醯	ɕiɛ̃1	
釅	nᵈiɛ̃4	
釉	jʱɘu4	
釋	sɿᵊ2	
里	nᵈi1	即“哩”
野	jʱɛ3	
釐	nᵈi2	
釗	tsᴀɔ1	
釙	pʰɔ2	
釜	fʋ3	
釣	d̥iᴀɔ4	
釵	tsʰɐɛ1	
鈀	pʰᴀ2	
鈈	b̥ʋ2	
鈉	l̃ᴀ2	
鈕	nᵈiɘu3	
鈷	ɟ̊ʋ3	
鈸	b̥ɔ2	
鈺	jʱi2	
鈽	b̥ʋ1	
鈿	d̥iɛ̃4	
鈿	tʰiɛ̃2	
鉈	tʰᴀ1	
鉋	b̥ᴀɔ4	
鉍	b̥i2	
鉑	b̥ɛ2	
鉗	tɕʰiɛ̃2	
鉛	tɕʰiɛ̃1	文读
鉛	jʱɛ̃2	白读
鉢	b̥ɔ2	
鉤	ɟ̊iɘu1	
鉻	ɟ̊ɛ2	
銜	çɐ̃2	
銩	d̥iɘu1	
銬	cʰᴀɔ4	
銳	zuɘi4	
銷	ɕiᴀɔ1	插～，即门闩
銻	tʰi1	
銼	tsʰɔ4	
鋁	l̃uɘi3	
鋊	jʱi4	光滑发亮
鋤	tsʰʋ2	
鋨	ɣɔ2	
鋪	pʰʋ1	～盖
鋪	pʰʋ4	
鋸	tɕi4	
鋸	ɟ̊ɛ4	～肉
錄	l̃ʋ2	
錐	tɕi1	～人，指戳、刺的动作
錐	tsuɘi1	
錘	tɕʰi2	～～捶，划拳游戏用语
錘	tsʰuɘi2	
錙	tsɿᵊ1	
錢	tɕʰiɛ̃2	
錣	tsuɛ2	
錫	ɕi2	
錯	tsʰɔ4	
錶	b̥iᴀɔ3	
鍇	cʰɐɛ3	
鍋	ɟ̊ɔ1	
鍍	d̥ʋ4	
鍘	tsᴀ2	
鍛	d̥uɐ̃4	
鍥	tɕʰi4	
鍪	mᵇʋ2	
鍬	tɕʰiᴀɔ1	
鍵	tɕiɛ̃4	
鎖	sɔ3	
鎧	cʰɐɛ3	
鎬	çᴀɔ1	
鎳	nᵈiɛ2	
鏈	nᵈiɛ̃2	～接
鏈	nᵈiɛ̃4	
鏢	b̥iᴀɔ1	
鏤	l̃ɘu4	
鏨	tsɐ̃4	
鏽	ɕiɘu4	
鐃	zᴀɔ2	
鐔	tʰɐ̃2	～成，即今黎平
鐮	nᵈiɛ̃2	
鐲	tsɔ2	
鐵	tʰiɛ2	
鐸	d̥ɔ2	
鐾	b̥ɘi4	
鑄	tsʋ4	文读
鑄	d̥ᴀɔ4	白读
鑑	tɕiɛ̃4	
鑒	tɕiɛ̃4	
鑣	b̥iᴀɔ1	
鑰	jʱɔ2	
鑷	nᵈiɛ2	
鑼	l̃ɔ2	
鑽	tsɐ̃4	～石
鑿	tsʰɔ2	
鑿	tsʰɔ4	～子
閃	sɐ̃3	
閆	nᵈiɛ̃2	
閉	b̥i4	
閉	b̥ɘi4	嘴巴～着
開	cʰɐɛ1	
閑	çɐ̃2	扯～谈
閒	ɕiɛ̃2	
間	ɟ̊ɐ̃1	房～；一～房
間	ɟ̊ɐ̃4	～隔
間	tɕiɛ̃1	
間	tɕiɛ̃4	
閘	tsᴀ2	
閣	ɟ̊ɔ2	
閥	fᴀ2	
閨	ɟ̊uɘi1	
閭	l̃ʋ2	
閱	jʱɛ2	
閻	nᵈiɛ̃2	
闆	b̥ɐ̃3	
闊	cʰuɛ2	
闕	tɕʰiɛ2	
鬥	d̥ɘu4	
闢	pʰi2	
阜	fɘu4	
阪	b̥ɐ̃3	
阻	tsʋ3	
阿	ᴀ1	～姨；～哥～妹
阿	ɣɔ1	～胶；～弥陀佛；～房宫；～难
陀	tʰɔ2	
陂	pʰi2	黄～
陂	pʰɔ1	～陀
陂	b̥ɘi1	
附	fʋ4	
陋	l̃ɘu4	
陌	mᵇɛ2	
限	çɐ̃4	～定
限	ɕiɛ̃4	
陛	b̥ɘi4	
陝	sɐ̃3	
陟	tsɿᵊ2	
陡	d̥ɘu3	
院	jʱɛ̃4	
除	tsʰʋ2	
陪	pʰɘi2	
陶	tʰᴀɔ2	
陷	çɐ̃4	白读
陷	ɕiɛ̃4	文读
陸	l̃ʋ2	
隅	jʱi2	
隊	d̥uɘi4	
隋	suɘi2	
階	ɟ̊ɐɛ1	
隔	ɟ̊ɛ2	
隘	ɲᶡɐɛ4	
隙	ɕi2	
隙	ɕiɛ2	间～
際	tɕi4	
隧	ɕi4	～洞
隧	suɘi4	
隨	suɘi2	
險	ɕiɛ̃3	
隸	d̥i4	
隻	tsɿᵊ1	
雀	tɕʰiɔ1	～巴，指最后一名；麻～，指男性生殖器
雀	tɕʰiɔ2	
雁	ɲᶡɐ̃4	白读
雁	jʱɛ̃4	文读
雅	jʱᴀ3	
雅	jʱᴀ4	湘～村
集	tɕi2	
雉	tsɿᵊ4	
雌	tsʰɿᵊ2	
雎	tɕi1	
雕	d̥iᴀɔ1	
雖	ɕi1	～然
雖	suɘi1	
雛	tsʰʋ1	
雜	tsᴀ2	
雞	tɕi1	
雟	ɕi1	
離	nᵈi2	
離	nᵈi4	～开；～婚
難	l̃ɔ2	阿～
難	l̃ɐ̃2	
難	l̃ɐ̃4	
雨	jʱi3	
雪	ɕiɛ2	
雷	l̃uɘi2	
雹	b̥ɔ2	～子
雹	b̥ᴀɔ4	
電	d̥iɛ̃4	
需	ɕi1	文读
霄	ɕiᴀɔ1	
霉	mᵇɘi2	
霍	çɔ2	
霎	sᴀ2	
霓	nᵈi2	
霞	ɕiᴀ2	
霧	vʋ4	
露	l̃ʋ1	白～～；黄～～；乖～～；光～～
露	l̃ʋ4	
霸	b̥ᴀ4	
霹	pʰi2	
靂	nᵈi2	
靄	ɲᶡɐɛ4	
非	fɘi1	
靠	cʰᴀɔ4	
靡	mᵇi2	
靡	mᵇɘi3	萎～；～～之音
面	mᵇiɛ̃1	里～；后～；上～
面	mᵇiɛ̃4	
革	ɟ̊ɛ2	
靴	ɕiɛ1	
靶	b̥ᴀ3	
靸	sᴀ2	
靼	d̥ᴀ2	
鞋	çɐɛ2	
鞍	ɲᶡɐ̃1	
鞠	tɕi̹u2	
鞭	b̥iɛ̃1	
韃	d̥ᴀ2	
韋	wʱɘi2	姓氏
韋	wʱɘi3	
韓	çɐ̃2	
韭	tɕiɘu3	
韰	ɕiɐɛ4	
韶	sᴀɔ2	
頁	jʱɛ2	
須	ɕi1	
預	jʱi4	
頒	b̥ɐ̃1	
頡	tɕiɛ2	
頤	jʱi2	
頭	d̥ɘu1	石～；骨～；屋～；河～
頭	d̥ɘu3	跟～
頭	tʰɘu1	里～；后～；馒～
頭	tʰɘu2	
頹	tʰuɛ2	白读
頹	tʰuɘi2	文读
顆	cʰɔ1	白读
顆	cʰɔ3	文读
題	tʰi2	
額	ɲᶡɛ2	
額	ɲᶡɐɛ2	～颅，即额头
顏	ɲᶡɐ̃2	姓氏
顏	jʱɛ̃2	
願	jʱɛ̃4	
顛	d̥iɛ̃1	
類	l̃uɘi4	
顧	ɟ̊ʋ4	
顫	tsʰɐ̃4	文读
顫	sɐ̃2	白读
顯	ɕiɛ̃3	
顱	l̃ʋ2	
顱	l̃ɘu1	额～，即额头
顴	tɕʰiɛ̃2	
頗	pʰɔ3	
颯	sᴀ2	
颳	ɟ̊uᴀ2	
颼	sɘu1	
飃	pʰiᴀɔ1	
飃	pʰiᴀɔ2	在社会上晃荡，不务正业
飄	pʰiᴀɔ1	
飄	pʰiᴀɔ2	在社会上晃荡，不务正业
飆	b̥iᴀɔ1	
飈	b̥iᴀɔ1	
飛	fɘi1	
食	sɿᵊ2	
飢	tɕi1	
飥	tʰɔ2	
飯	fɐ̃4	
飼	sɿᵊ4	
飽	b̥ᴀɔ3	
飾	sɿᵊ4	
餃	tɕiᴀɔ3	
餈	tsʰɿᵊ2	
餌	ɛ4	～块粑
餌	ɛ˞3	
餐	tsʰɐ̃1	
餑	b̥ᴀ1	
餒	l̃uɘi3	
餓	ɣɔ4	
餘	jʱi2	
餚	ɕiᴀɔ2	
餞	tsɐ̃4	
餟	tsuɛ2	
餡	ɕiɛ̃4	
餧	wʱɘi4	
餵	jʱi4	
餷	tsʰᴀ1	
餺	b̥ɔ2	
餾	nᵈiɘu1	
餾	nᵈiɘu4	～馒头
餿	sɘu1	
饅	mᵇɐ̃2	
饋	cʰuɘi4	
饒	zᴀɔ2	
饞	tsʰɐ̃2	
首	sɘu3	
馬	mᵇᴀ1	～～虎虎
馬	mᵇᴀ3	
馱	d̥ɔ4	～起，指安放；一～，量词；～子，即底座
馱	tʰɔ2	
馳	tsʰɿᵊ2	
馹	ɛ˞2	
駁	b̥ɔ2	
駐	tsʋ4	
駕	tɕiᴀ4	
駝	tʰɔ2	
駟	sɿᵊ4	
駢	pʰiɛ̃2	
駱	l̃ɔ2	
騃	ɲᶡɐɛ2	
騍	cʰɔ4	
騎	tɕʰi2	
騙	pʰiɛ̃4	
騲	tsʰᴀɔ3	
騷	sᴀɔ1	
騸	sɐ̃4	
騾	l̃ɔ2	
驅	tɕʰi1	
驕	ɟ̊ᴀɔ1	即“高”
驕	tɕiᴀɔ1	
驗	nᵈiɛ̃4	
驟	tsʰʋ4	白读
驟	tsʰɘu4	文读
驢	l̃ʋ2	
驫	b̥iᴀɔ1	
駒	tɕi1	
驥	jʱi4	
骨	ɟ̊ʋ2	
骷	cʰʋ1	
骸	çɐɛ2	
骹	cʰᴀɔ1	
骼	ɟ̊ɛ2	
髂	cʰuᴀ4	
髏	l̃ʋ2	
髓	suɘi3	
體	tʰi3	
高	ɟ̊ᴀɔ1	
髦	mᵇᴀɔ4	
髮	fᴀ1	头～
髮	fᴀ2	
髳	mᵇʋ2	黔东苗族
髻	tɕi4	
髻	tɕiɘu4	盘龙～
鬍	fʋ2	
鬏	tɕiɘu1	
鬚	ɕi1	
鬥	d̥ɘu4	文读
鬧	l̃ᴀɔ4	
鬪	d̥ɘu4	
鬬	d̥ɘu4	
鬭	d̥ɘu4	
鬮	tɕiɘu1	
鬱	jʱu2	
鬼	ɟ̊uɘi3	
魁	cʰuɘi1	
魄	pʰɛ2	
魄	pʰɐɛ4	～头
魅	mᵇɘi4	
魏	wʱɘi4	
魔	mᵇɔ2	
魚	jʱi2	
魯	l̃ʋ3	
鮎	nᵈiɛ̃2	
鮑	b̥ᴀɔ1	姓氏
鮑	b̥ᴀɔ4	
鮓	tsᴀ3	小米～；～包，即零食；～壳，即穷；麻麻～～，指很密集
鮮	ɕiɛ̃1	
鮮	ɕiɛ̃3	
鯉	nᵈi3	
鯽	tɕi2	
鰍	tɕʰiɘu1	
鰭	tɕʰi2	
鰻	mᵇɐ̃4	
鰾	b̥iᴀɔ4	
鱉	b̥iɛ2	
鱔	sɐ̃4	
鱖	ɟ̊uɘi4	
鱷	ɣɔ2	
鳥	nᵈiᴀɔ3	
鳧	fʋ2	
鳩	tɕiɘu1	
鴇	b̥ᴀɔ3	
鴉	jʱᴀ1	
鴉	jʱᴀ3	～片烟；～片花
鴨	jʱᴀ2	
鴯	ɛ˞2	
鴰	wʱᴀ4	老～，即乌鸦
鴿	ɟ̊ɔ2	
鵑	tɕiɛ̃1	
鵝	ɣɔ2	
鵡	vʋ3	
鵪	ɲᶡɐ̃1	
鵲	tɕʰiɔ2	
鶓	mᵇiᴀɔ2	
鶴	çɔ2	
鷄	tɕi1	即“㞓”
鷦	tɕiᴀɔ1	
鷯	nᵈiᴀɔ2	
鹵	l̃ʋ3	
鹹	çɐ̃2	白读
鹹	ɕiɛ̃2	文读
鹼	tɕiɛ̃3	
鹽	jʱɛ̃2	
鹿	l̃ʋ2	
麂	tɕi3	
麗	nᵈi4	
麤	tsʰʋ1	
麥	mᵇɛ2	
麥	mᵇɐɛ2	烧～
麵	mᵇiɛ̃4	
麻	mᵇᴀ2	
麼	mᵇɔ1	什～；这～
麼	mᵇɔ2	
麼	mᵇɛ1	那～，相当于“……的话”
麾	çuɘi1	
黍	sʋ3	
黎	nᵈi2	
黏	nᵈiᴀ1	白读
黏	nᵈiɛ̃1	文读
黑	çɛ2	
黔	tɕʰiɛ̃2	
默	mᵇɛ2	
默	mᵇiɛ2	思考
點	d̥i1	～～个；一～点
點	d̥ɛ3	这～；那～；哪～，“点儿”合音
點	d̥iɛ3	一小～，“点儿”合音
點	d̥iɛ̃3	
黠	ɕiᴀ2	
黢	tɕʰi̹u1	
鼓	ɟ̊ʋ3	
鼠	sɿᵊ3	兔眉～眼
鼠	sʋ3	
鼻	b̥i2	
鼻	b̥i4	鼻～，儿语，鼻涕
鼾	çɐɛ4	打喝～
鼾	çɐ̃1	
鼾	çɐ̃4	打伏～
齁	çiɘu1	
齊	tɕʰi2	
齋	tsɐɛ1	
齒	tsʰɿᵊ1	牙～
齒	tsʰɿᵊ2	咬牙切～
齒	tsʰɿᵊ3	
齙	b̥ᴀɔ4	
齜	tsʰɿᵊ1	
齪	tsʰɔ2	
齷	ɣɔ2	
龕	cʰɐ̃1	
龖	tʰᴀ2	
龘	tʰᴀ2	
龜	ɟ̊uɘi1	
𠁞	b̥uɘi4	“不会”的合音
𠄏	d̥iᴀɔ3	
𠍎	ɛ˞4	
𠎸	tɕiᴀ2	形容人差劲或不讲义气
𠎸	sɛ2	
𠏪	ɕiɐɛ4	
𠹫	sɛ2	
𠺗	mᵇɘi2	
𠻮	sɛ2	
𠾂	sɛ2	
𡄣	mᵇɘi2	
𡉔	sɛ2	
𡎺	tsʋ2	
𢡉	sɛ2	
𢫧	tsʰɘu1	
𢬆	tsʰɘu1	
𢬞	tsʰɘu1	
𢬟	tsʰɘu1	
𢮢	tsʰɘu1	
𢰸	wʱᴀ1	～亡，指做事过分，毫无底线
𢱟	tsʰɐ̃3	即“摌”
𢲢	tɕʰi̹u2	即“捽”
𢶍	tsᴀ2	文读
𢶍	sᴀ2	白读
𢹐	pʰi2	
𢺞	b̥ᴀ4	
𣁳	wʱᴀ3	用瓢～
𣙲	pʰᴀɔ1	
𣚇	pʰᴀɔ1	
𣞈	pʰᴀɔ1	
𣢯	ɟ̊ʋ2	大口猛饮
𣥒	sɛ2	
𣭈	pʰi1	
𣲩	pʰᴀ1	即“脬”
𣳙	sʋ4	
𣴔	sʋ4	
𣴻	sɛ2	
𣷥	sɔ2	
𣹣	sɛ2	
𣹫	sʋ4	
𣾫	sɛ2	
𣿠	sɛ2	
𤁍	sɛ2	
𤆵	pʰᴀ1	软
𤏻	ɕiɛ2	
𤲝	sɛ2	
𤻖	b̥i4	
𥠂	çuɘi4	
𥢁	çuɘi4	
𦧌	wʱᴀ3	即“𣁳”
𦼯	çuɘi4	
𧍒	tsʰuɐɛ3	
𧯞	d̥ɘu4	
𧵸	ɛ˞4	
𨀵	tsʋ2	
𨂿	wʱɐɛ1	跩
𨃅	b̥ɐɛ1	即“跛”
𨉣	çᴀ1	点头～腰
𨵤	ɕi1	～缝
𨷵	d̥ɘu4	
𩐌	d̥uɘi4	藠头
𩐒	tɕi1	
𩗁	sᴀ2	
𩰒	d̥ɘu4	
𩰖	d̥ɘu4	
𩱦	tsʰᴀɔ3	
𪠘	sɐɛ4	
𫤘	ɛ1	儿缀
𫤘	ɛ2	
𫤘	ɛ3	一点～；碗～糕
𫤘	ɛ4	今～，即“日”；正～八经；幼～园
𫼪	tsʰɐ̃3	即“摌”
