#漢字	音標	解釋
挨	ˀa1	
振	tsaŋ5	
挺	tʰeŋ3	
挽	ˀuɔ3	
捆	kʰaŋ3	
捉	tɕyo7	
捏	ȵiɔ8	
捐	tɕyø1	
捕	bu6	
損	sø3	
換	ɦuɔ6	
搗	tɛ3	
捧	pʰoŋ3	
据	tɕy5	
捺	nɔ8	
掀	ɕiaŋ1	
掇	tø7	端
授	zəu4	～权
授	zəu6	敎～
掉	duɔ6	
掌	tɕiɛ3	
掏	dɛ6	
掐	kʰɔ7	
排	ba2	
掘	dʑie8	
探	tʰø5	
接	tɕie7	
控	kʰoŋ5	
推	tai1	
掩	ˀie3	
撣	tɔ3	
揉	zəu2	
描	mie2	
提	dei2	
插	tsʰɔ7	
握	u7	把～
揩	kʰa1	
揭	tɕie7	
援	ɦyø4	
攬	lɔ4	
擱	ko7	
搓	tsʰəu1	
搜	sau1	
搪	do2	
搬	bø2	
搭	tɔ7	
搽	dzo2	
摆	pa3	
摇	ɦyø2	
攤	tʰɔ1	
摘	tsa7	
摧	tsʰai1	
摩	mu2	
摸	mo8	
撇	pʰie7	
撑	tsʰa1	
撕	sɿ1	
撞	dʑyo6	
撤	tɕʰie7	
撩	luɔ2	捞
播	pu5	
撮	tsʰa7	
擂	lai2	
操	tsʰɛ1	体～
擒	dʑiaŋ2	
擘	pʰa7	～开
擦	tsʰɔ7	
攀	pʰɔ1	
支	tɕi1	
收	səu1	
改	ke3	
攻	koŋ1	
放	fɔ5	
政	tseŋ5	
故	ku5	
效	ɦɔ4	
敵	dei8	
敏	meŋ4	
救	tɕiau5	
教	kɔ5	
斂	lie4	
敝	pei5	
敢	ke3	
散	sɔ3	～开
散	sɔ5	～会
敦	tø1	
敬	tɕiaŋ5	
數	səu3	动词
數	səu5	～目
敲	kʰɔ1	
整	tseŋ3	
敷	fu1	
文	vaŋ2	
斐	fei1	
斑	pɔ1	
斗	tau3	
斗	tau5	～争
料	luɔ6	
斤	tɕiaŋ1	
斧	fu3	
斬	tsɔ3	
斷	tø5	决～
斷	dø4	～绝
斷	daŋ4	白读
斯	sɿ1	
新	saŋ1	
方	fɔ1	
施	sɿ1	
旁	buo2	
旅	ləy4	
旋	ɦyø2	
族	zəu8	
旗	dʑi2	
无	vu2	
日	ȵie6	生～
日	zɛ8	文读
旦	tɔ5	
旦	ne8	
舊	dʑiau6	
旨	tsɿ3	
早	tsɛ3	
旬	zəŋ2	
旱	ɦø4	
時	zɿ6	
曠	kʰo5	
旺	ɦo6	
昂	ŋo4	
昆	kʰaŋ1	
昌	tɕʰiɛ1	
明	meŋ2	
昏	ɕyø1	
易	i8	
星	seŋ1	
春	tɕʰyŋ1	
昧	me6	
昨	zo8	
昭	tɕyø1	
是	zɿ4	
晝	tsəu5	
顯	ɕie3	
晉	tsaŋ5	
晏	ˀɔ3	
曉	ɕiɔ3	
暈	ɦyŋ6	
晚	mɔ4	白读
晚	ɦuɔ4	文读
晦	fai5	
晨	zaŋ2	
普	pʰu3	
景	tɕiaŋ3	
晴	zeŋ2	
晶	tseŋ1	
智	tsɿ5	
暫	dzɔ6	
暑	səy5	
暖	nø4	
暗	ˀe5	
曖	naŋ4	白读
暮	mu6	
暴	bɛ2	
曲	tɕʰyo7	
曲	tsʰəu7	酒～
更	ka1	～改
更	ka5	～加
曹	zɛ2	
曾	tsaŋ1	姓
替	tʰei3	代～
替	tʰei5	～身
最	tsai5	
月	ȵyø8	
有	ɦiau4	
朋	boŋ2	
服	vu8	
朗	lo4	
望	ɦuɔ6	
朝	tɕyø1	明天
朝	dʑyø2	～代
期	dʑi2	
木	mu8	
未	mei6	
未	vei6	文读
末	mø8	
本	paŋ3	
札	tsɔ7	
术	ɦyø8	
朱	tɕy1	
朵	to3	
機	tɕi1	
朽	ɕiau3	
殺	sɔ7	
雜	ze8	
權	dʑyø2	
杆	kø3	
杉	sɔ1	
李	lei4	
杏	ɦa4	
