澄海大新话字表，属于闽南区——潮汕片	
k	[33]跟根巾斤筋均冈岗缸光扛两人抬[35]近[55]凝[53]卷仅谨广[213]钢
kʰ	[33]糠[55]勤芹[213]劝
∅	[33]恩[53]尹
h	[33]轩欣[35]恨[53]很
n	[35]卵[55]瓤（瓜瓤）[53]软[213]钻（动词）
s	[33]酸桑霜[213]算蒜
ŋ	[55]银
#uk	
t	[4]突
tʰ	[2]脱
l	[4]捋（捋袖）律率（速率）
ts	[2]卒（兵卒）
tsʰ	[2]出
k	[4]滑掘掘[2]骨（筋骨；骨头）
kʰ	[2]屈
h	[4]核（果核）佛核（果子核）[2]刎
p	[2]不
s	[4]术[2]恤
#oaʔ	
t	[4]夺
#ueʔ	
k	[2]郭
ɡ	[4]袜月
∅	[4]划[2]哕（干哕）
h	[2]血
s	[2]刷说（说话）
m	[4]物
#uẽ	
k	[33]关
h	[55]横（横直）
#uŋ	
t	[33]墩[35]盾（矛盾）钝[55]唇[213]振
tʰ	[33]吞饨（馄饨）[55]屯臀
l	[35]论（讲/~语）[55]仑伦轮[53]忍
ts	[33]尊遵[11]阵[55]船[53]朮（白朮）准[213]俊
tsʰ	[33]春[55]存[53]蠢[213]寸
k	[33]军[35]郡[53]滚（沸腾）[213]棍
kʰ	[33]昆坤[55]拳群[53]捆窘菌[213]困
∅	[33]温瘟[11]韵运[55]匀焚[53]稳
h	[33]婚芬熏荤晕[35]混（相混）[11]份（一份两份）孕[55]痕魂馄（馄饨）云[53]粉（粉末）愤[213]训
p	[33]分（分开）[35]笨[11]饭[53]本[213]粪
pʰ	[33]奔[55]盆坟[213]喷（喷水）喷（喷香）
