	符號說明：-白，=文
tʃʰ	[3]暢
k	[1]僵疆韁{～繩}疆薑姜[3]強{勉～}
kʰ	[1]羌匡筐眶腔[2]強{～大}
ŋ	[1]仰
h	[1]香鄉兄薌[3]享響向餉晌
∅	[1]央秧殃養癢[2]羊洋烊{融化}楊陽揚瘍榮暘[3]映[6]埌攘嚷釀讓樣
#iuŋ	
l	[2]龍攏隴
ts	[1]縱{～橫}[2]從{～容}[3]縱{放～}慫{～恿}
tsʰ	[2]從{跟～}松
s	[6]誦頌訟
k	[1]弓躬宮恭供{～給，～養}拱{～手}虹-[3]鞏{～固}
kʰ	[2]窮[3]控[6]恐共
ŋ	[2]濃{煙～}
h	[1]胸凶{吉～}兇{～惡}[2]雄
∅	[1]戎雍傭[2]絨熊容蓉鎔熔庸融茸[3]擁甬{～道}勇涌湧[6]用
#oŋ	
p	[1]幫[3]榜謗傍綁棒
pʰ	[1]蚌[2]滂{～沱}旁螃{～蟹}
m	[2]忙芒茫亡忘[6]望
f	[1]荒慌謊方肪{脂～}芳[2]皇蝗妨房防[3]桄晃放訪倣仿彷{～佛}
v	[1]汪{一～水}往[2]王黃簧璜[3]汪{姓}妄枉[6]旺{興～}
t	[3]當{～時，～作}黨擋宕
tʰ	[1]湯[2]堂棠螳唐塘搪[3]燙趟[6]倘{～使}躺蕩{放～}
n	[2]囊饢
l	[2]郎狼廊蜋螂[6]朗浪
ts	[1]髒贓[3]葬
tsʰ	[1]倉蒼瘡[2]藏{隱～}[6]藏{西～}臟
s	[1]桑嗓[3]喪{婚～，～失}
tʃ	[1]張章樟漳獐[3]長{生～}漲仗掌障瘴
tʃʰ	[1]昌菖{～蒲}[2]長{～短}腸場[3]廠唱倡{提～}[6]丈杖
ʃ	[1]商傷上{～山}[2]常嘗裳{衣～}[3]償賞晌{～午}上{～下}[6]尚上{～面}
k	[1]岡崗剛綱江扛豇{～豆}[3]鋼缸講港{～口}降{下～}
kʰ	[1]康糠[3]慷{～慨}抗炕囥{藏}
ŋ	[1]昂[2]戇{傻}
h	[2]航杭行{銀～}降{～服}[6]項巷
∅	[3]□{躺}
#uŋ	
p	[1]楓[2]蓬篷[3]捧
pʰ	[1]蜂峰[2]馮
m	[2]蒙朦[3]懵[6]夢
f	[1]風瘋豐鋒封烽楓=[2]虹=紅洪鴻逢縫[3]諷烘[6]哄{～騙}鳳奉俸
v	[1]翁嗡[3]甕
t	[1]東冬咚佟[3]懂董棟凍崬{頂部}
tʰ	[1]通[2]同銅桐筒童瞳僮[3]桶捅痛統[6]動洞
n	[2]農儂膿濃=
l	[1]聾[2]隆窿[6]攏弄
ts	[1]宗棕鬃[3]總粽
tsʰ	[1]聰怱匆蔥囪窗[2]從崇
s	[1]鬆=嵩雙[3]送宋
tʃ	[1]鐘中{當～}忠鍾鐘盅終舂{～米}[3]中{射～}種{～類，～樹}腫眾
tʃʰ	[1]充重{輕～}[2]蟲重{～複}[3]仲銃{槍}塚寵
k	[1]公蚣{蜈～}工功攻{～擊}[3]貢汞摃{擊打}
kʰ	[1]空{～虛}[3]孔{洞眼}
#uaŋ	
kʰ	[3]礦
#uoŋ	
ts	[1]莊裝樁粧
tsʰ	[2]床[3]闖
s	[1]霜孀[3]爽
tʃ	[1]樁[3]壯
tʃʰ	[3]創[6]狀
k	[1]光[3]廣
