	本誌	趙氏	手冊	省誌	概況	資料
təɯ3	朵躲肚(豬~)堵睹賭妬					
təɯ5	剁跺蠹					
tʰəɯ1	拖					
tʰəɯ3	橢妥土吐（嘔~)					
tʰəɯ5	兔堍唾					
dəɯ2	徒途塗荼酴圖屠陀駝鴕酡					
dəɯ4	舵					
dəɯ6	大（白)度渡鍍肚（~皮）杜惰墮					
nəɯ2	奴努怒					
nəɯ6	糯					
ləɯ1	囉魯					
ləɯ2	羅籮蘿邏鑼螺騾盧爐蘆瀘轤顱鱸廬					
ləɯ4	櫓滷虜擄					
ləɯ6	卵裸路賂潞露鷺					
tsəɯ1	租					
tsəɯ3	祖阻組俎					
tsəɯ5	左佐做作					
tsʰəɯ1	初粗麤搓蹉磋					
tsʰəɯ5	楚礎醋措錯挫銼					
səɯ1	梳疏酥蘇囌甦唆蓑梭須（白胡~)					
səɯ3	數（動詞)瑣鎖					
səɯ5	蔬數（名詞)素嗉膆愫訴					
zəɯ2	鋤					
zəɯ4	坐座					
zəɯ6	助					
kəɯ1	哥戈歌過（姓）鍋					
kəɯ3	果裹					
kəɯ5	箇個過					
kʰəɯ1	苛訶柯屙軻科蝌棵稞窠顆					
kʰəɯ3	坷					
kʰəɯ5	可課					
ŋəɯ2	俄峨蛾娥莪哦鵝訛					
ŋəɯ4	我					
ŋəɯ6	餓					
həɯ1	蝦					
həɯ3	火夥					
həɯ5	貨					
ɦəɯ2	何河荷禾和（~氣)					
ɦəɯ4	禍					
ɦəɯ6	賀和（~調)					
ʔəɯ1	阿（~附）屙痾婀渦蝸窩倭					
tɕiəɯ1	糾鳩赳周州洲					
tɕiəɯ3	九玖灸韭帚					
tɕiəɯ5	究久救呪咒晝					
tɕʰiəɯ1	抽丘邱蚯					
tɕʰiəɯ3	丑醜揪					
tɕʰiəɯ5	臭					
dʑiəɯ2	酬仇讎綢稠籌求球毬仇（姓）裘虯					
dʑiəɯ4	□（攏財物 ~攏）					
dʑiəɯ6	臼桕舅舊柩咎售肘紂					
ȵiəɯ2	牛					
ȵiəɯ4	紐扭鈕					
ȵiəɯ1	忸					
ɕiəɯ1	收休朽					
ɕiəɯ3	手首守獸					
ɕiəɯ5	嗅溴臭					
jiəɯ2	尤猶疣魷由油郵蚰鈾游遊蝣柚釉鼬					
jiəɯ4	有又					
jiəɯ6	壽（又 慶~)友莠酉牖右佑宥囿					
ʔiəɯ1	幽憂優攸悠幼誘					
ʔiəɯ3	誘？幼？					
mei2	矛牟眸謀侔繆(綢~)					
mei6	貿懋茂某畝(文)					
fei1	否缶					
vei2	浮					
vei6	復？（又)					
tei1	兜丟					
tei3	斗抖蚪陡					
tei5	鬬鬥					
tʰei1	偷					
tʰei3	敨					
tʰei5	透					
dei2	頭投					
dei6	豆逗痘竇					
lei2	婁僂蔞嘍螻樓髏流琉硫鎏留榴瘤鎦劉瀏柳					
lei1	溜					
lei4	摟					
lei6	簍陋漏瘺縷					
tsei1	周（又）舟謅鄒					
tsei3	酒走					
tsei5	皺縐奏					
tsʰei1	秋鰍鞦					
tsʰei5	湊					
sei1	搜溲餿颼羞饈修脩					
sei3	□（~粉 加水以拌而力揉之）					
sei5	瘦漱叟擻嗽秀繡鏽宿（星~)					
zei2	愁					
zei4	聚					
zei6	驟就					
tʂei1	州（又）洲（又)					
tʂei5	晝（又)					
dʐei2	稠（又）綢（又）酬（又）仇（又）讎（又）籌（又）雛					
dʐei6	肘（又)紂（又)售（又)					
ʂei1	收（又)休（又)朽（又)					
ʂei3	手(又)首(又)守(又)獸(又)					
ʐei2	躊疇柔揉蹂					
ʐei4	受					
ʐei6	壽授綬袖褎宙					
kei1	勾(~當)鉤溝篝垢詬媾構購					
kei3	苟狗枸					
kei5	夠彀					
kʰei1	摳瞘					
kʰei3	口					
kʰei5	叩釦扣寇蔻					
ɡei4	厚（白）					
ŋei1	偶					
ŋei4	藕					
hei1	齁					
hei3	吼					
hei5	鱟					
ɦei2	矦侯猴喉					
ɦei4	後厚					
ɦei6	后候					
ʔei1	區歐毆鷗謳					
ʔei3	嘔					
ʔei5	□（面朝地彎腰 ~下去）					
tou3	打（又）					
dou4	佗（~里）					
nou2	拏（白）挪					
lou4	若（~裏）					
tsou1（白）	查渣樝抓					
tsou5	灹（白）乍（白）詐（白）醡					
tsʰou1	叉（白）差（白 ~不多）岔（白）釵（白）車（~牀）					
tsʰou3	撦？（猶言拃）					
