来源：	郭贞彦 2010《山西文水裴会村话语音研究》；原作者提供字表数据，Hynuza 整理
tsʰ	［7］厕插擦察侧测策册拆栅-
s	［7］撒杀虱色［8］铡-
#iʌʔ	
p	［7］憋毕笔必弼泊北-逼壁劈碧擘百柏伯璧［8］鼻别白-
pʰ	［7］撇匹迫拍魄僻辟
m	［8］灭篾密蜜默墨觅麦脉
tɕ	［7］夹裌甲胛
tɕʰ	［7］恰掐洽怯雀鹊却确戚
ɕ	［7］狭匣［8］学-席-
Ø	［7］约［8］耶岳乐
#uʌʔ	
k	［7］聒刮
kʰ	［7］括阔扩酷
x	［7］发法［8］滑猾伐罚筏乏
tʂ	［7］桌卓琢捉
tʂʰ	［7］噇撞戳
ʂ	［7］刷镯缩［8］朔
Ø	［7］握沃［8］袜
#yʌʔ	
tɕ	［7］觉角
Ø	［7］悦阅越曰育郁欲浴
#əʔ	
p	［7］钵拨不北=［8］勃饽博薄驳卜
pʰ	［7］泼朴仆瀑
m	［7］摸［8］末沫抹没莫寞木
t	［7］得德
tʰ	［7］特
k	［7］鸽割葛各阁搁革隔格［8］胳
kʰ	［7］咳磕渴刻客
ŋ	［7］鄂恶扼额
x	［7］喝郝黑赫［8］合辖核=鹤
tʂ	［7］褶摺蔗哲蛰折浙秩质只织职殖植［8］直-值
ʂ	［7］摄涉设失适释识式［8］舌折实芍石食蚀
ʐ	［8］日若弱
ts	［7］蛰
s	［7］湿塞［8］十
#iəʔ	
t	［7］跌的滴嫡［8］叠碟蝶谍笛敌狄
tʰ	［7］贴帖铁踢剔
ȵ	［8］聂镊蹑业孽捏匿逆溺
l	［8］荔猎立粒列烈裂劣栗略掠力历
tɕ	［7］接捷劫挟集辑急及杰揭节结洁疾即极寂击激积脊籍藉［8］级截
tɕʰ	［7］砌缉切七漆乞［8］妾
ɕ	［7］袭吸歇蝎数息熄媳役疫锡析惜昔夕席=［8］胁协习屑膝
Ø	［7］腌噎一乙益［8］叶页译
#uəʔ	
m	［8］目穆
t	［7］掇督［8］夺踱独读犊毒
tʰ	［7］突秃脱
l	［8］律鹿禄陆绿录
k	［7］骨郭国谷
kʰ	［7］窟哭［8］核-
x	［7］忽霍藿劐福豁［8］复佛或惑腹覆服伏获活
tʂ	［7］作竹筑逐祝粥烛嘱［8］拙术着=触
tʂʰ	［7］出畜［8］着-
ʂ	［7］说叔束［8］术述秫勺熟赎属蜀
ʐ	［8］入辱褥
ts	［7］做
tsʰ	［7］促
Ø	［7］杌［8］五物
#yəʔ	
l	［8］捋
tɕ	［7］橘脚䦆菊足［8］绝憠掘橛决诀卒倔爵嚼族局
tɕʰ	［7］瞿黢屈曲撮
ɕ	［7］续薛雪血削速肃宿畜［8］穴恤俗
Ø	［7］郁狱［8］月药钥
