来源：	史秀菊 张丽 2014《山西兴县方言同音字汇》；山佳木 整理录入
t	［1］单{～位}担{～水}耽［3］胆疸［5］蛋担{～子}丹{山～～花}弹{子～}旦淡啖{给牲口吃盐：～羊}□{用粗箩子罗面}
tʰ	［1］摊滩贪坍［3］坦毯［2］弾{～琴}坛谈痰谭檀坛［5］探叹炭碳
n	［1］南男难{-活}［5］难{灾～}
l	［3］览懒揽榄缆［2］篮蓝栏{～杆}兰拦岚［5］滥烂
ts	［1］簪［3］盏斩眨?{～眼：眨眼}攒［5］站绽栈蘸暂赞
tsʰ	［1］参{～加}搀掺［3］惨产铲{～子}刬{一～新}［2］谗残惭餐蚕［5］灿{～烂}□{不～子：砸碎的瓷质器皿残片}□{～开：松开}
s	［1］山三叁衫杉［3］伞［2］删珊［5］散
ʐ	［3］嚷{哭：那个孩子又开始～上咧}
k	［3］敢橄感
x	［3］喊［2］咸-{～菜}闲-{～人}涵函含衔{～住}还{～有多少}［5］馅-{～子：馅儿}憾陷-{车～往泥里咧}□{吃得～～地：大口咬着吃}
#ian	
n	［1］淹［3］眼□{-水子：水瓢}［2］颜-{～色}［5］酿雁-{大雁}
tɕ	［1］奸监艰间{空～}［3］菅简俭拣捡碱［5］间{～开}舰锏涧谏
tɕʰ	［1］铅鹐［5］嵌
ɕ	［2］疝闲={休～}咸={～阳}衔={～接}［5］馅={～饼}陷={～井}限向项
ø	［5］晏
#uan	
tsʰ	［3］□{～皮：给谷类去皮}□{～学：边干边自学}
s	［1］闩拴栓□{摸～：以为}［5］涮
z	［1］□{老太太吃东西时的动作}
k	［1］关［5］逛贯惯掼{生气地扔}
x	［1］翻藩番［3］反返□{填～：偷偷地给}［2］樊{～梨花}还{归～}烦繁鬟环凡帆环［5］范幻患宦饭犯贩泛
ø	［1］弯湾［3］挽{绾～起袖子}晚往{来～}［2］玩顽［5］蔓{瓜～子}万
#ẽn	
p	［1］搬般［5］半绊畔拌伴
pʰ	［1］蟠［2］盘盘［5］判叛
m	［3］满［2］瞒蔓{～菁：萝卜}［5］漫
tʂ	［1］毡沾粘［3］展［5］占战颤
tʂʰ	［1］□{～打：生气地摔打}［2］蝉禅{～宗}缠婵
ʂ	［1］羶{羊～气}搧［3］闪陕［5］膳单{姓}扇{～子}善骟{～猪娃子}
ʐ	［3］染{～料}［2］然燃黏碾{～墕：地名}
k	［1］杆干{～湿}泔甘柑肝竿［3］赶擀杆秆冈{木兰～：地名}［5］干{～什么}
kʰ	［1］勘堪龛看{～守}刊［3］砍坎［5］看{～见}
ŋ	［1］安鞍埯{～葵花：挖小坑种葵花}庵唵{大口吞食}［2］严-{密而没有缝隙}［5］按摁揞案暗岸
x	［1］蚶{油～：一种小虫子}憨涎{～水：唾沫}罕［2］韩寒［5］焊翰旱汉汗鼾捍撼
#iẽn	
p	［1］鞭编□{卷起：～起裤腿}边［3］贬扁{～桃体}［5］便{方～}变汴辫辨遍
pʰ	［1］篇偏谝［3］蝙［2］便{～宜}［5］片骗
m	［3］免勉［2］绵棉［5］面
t	［1］颠掂［3］点典［5］殿电奠垫佃店甸惦
tʰ	［1］添天［3］舔［2］填田甜
n	［3］碾{～子}捻{～线}撵辇［2］拈鲇年言-{不～喘：不说话}［5］捻{～子}念砚廿
l	［3］脸敛［2］连镰廉帘怜莲［5］练链炼
tɕ	［1］兼肩犍尖煎［3］检毽俭剪［5］渐溅件见荐箭剑贱践建健腱键
tɕʰ	［1］迁签杴{木～}谦牵千□{屋子里的地}［3］谴遣肷{腿～子：身体两边肋骨和胯骨之间的部分}浅潜［2］乾虔前钳钱［5］欠歉芡{勾～}
ɕ	［1］掀锨铁{～仙}先［3］显癣险鲜{～少}［2］鲜{新～}贤锨嫌弦挦{撕；拔：～鸡毛}［5］线羡献现县宪
ø	［1］腌{～菜}蔫{死～：蔫了}咽{～喉子}茵墕{白家～：地名}阉烟［3］黡{黑色的痣}掩衍{水满溢出}演［2］闫阎{～家沟：地名}缘{姻～}言={发～}延颜{容～}筵严沿盐芫{～荽：香菜}研［5］谚燕咽动词堰宴厌恹艳焰验炎雁={大～塔}
#uẽn	
t	［1］端［3］短［5］椴断段锻缎煅□{～出去：赶出去}
tʰ	［1］猯{～子：猪獾}［2］团抟{～弄：团弄}
n	［3］暖
l	［3］卵［2］銮鸾联{苏～}［5］乱
ts	［1］砖钻{～进来}专［3］转{～眼}［5］转{～圈}传{～记}钻{～石}
tsʰ	［1］川穿撺{～掇：从旁鼓动人}氽{～子：一种烧水器}［3］喘［2］船传{～达}椽□{集中起来：把摊开的山药弄～}［5］篡窜串
s	［1］酸［5］蒜算
z	［3］软阮{姓}
k	［1］观官棺冠{鸡～子}［3］馆管［5］冠{～军}罐灌
kʰ	［1］宽［3］款
x	［1］欢［3］缓［5］换焕唤
