#符号说明：-白=文/书*俗?待考	
#调值	[1]²² [2]⁵⁵ [3]³⁵ [5]²¹² [7]⁴² [0]⁰
#ɿ	
tɕ	[1]今金襟津巾斤筋精晶睛经锃茎京荆惊擎鲸[3]锦尽{~前}紧仅谨井颈景警[5]浸禁尽{~力}进晋劲近静靖净竟径境敬镜竞
tɕʰ	[1]侵钦亲青蜻卿清轻[2]秦勤芹妗琴擒禽岑寻倾琼顷情晴蕈[3]寝请[5]揿磬庆
ɕ	[1]心新辛薪欣荀旬星腥馨兴{~旺}[2]巡循行{~为}形刑型吣□{檩条}[3]醒擤[5]信讯衅兴{高~}杏幸性姓
Ø	[1]音阴荫因姻蝇鹰殷莺鹦樱婴缨英□{mu⁴²~kʰᴀ⁴²了：魇住了}[2]沂{~河}吟淫银寅仍迎贏盈茔萤营坟凝{~固}[3]饮{~酒，米汤}引隐影颖[5]湮印应映

#uən	
k	[3]滚[5]棍
kʰ	[1]昆坤[3]捆[5]困
x	[2]魂[5]混
Ø	[1]温瘟[2]文纹蚊闻[3]稳吻刎[5]问

#yn	
tɕ	[1]肫均钧菌君军[3]准[5]俊郡
tɕʰ	[1]椿春[2]窘群裙[3]蠢
ʃ	[1]熏勋薰[2]唇纯莼醇[5]迅殉顺舜训
Ø	[2]雲匀云[3]永允尹[5]泳咏润闰熨韵运晕孕

#oŋ	
p	[5]蚌{~埠}迸
pʰ	[2]棚蓬篷
m	[2]蒙萌盟[3]猛蠓懵[5]孟梦
t	[1]东冬[3]董懂□{水~：水坑儿}[5]动冻栋洞
tʰ	[1]通[2]同铜桐筒童瞳□{~蛉：婵}[3]桶捅统[5]疼痛
n	[2]笼聋农脓侬浓龙隆[3]拢陇垅□{捅}[5]弄[0]窿{窟~}
ts	[1]棕鬃宗综中{当~}忠终踪钟盅□{打~：打瞌睡}[3]总冢种{~类}肿[5]种{~树}粽中{射~}仲众纵重{轻~}
tsʰ	[1]聪葱囱充冲舂匆[2]丛虫崇从重{~复}幢[3]宠怂{白}[5]松{~树}铳
s	[1]松{放~}鬆嵩[3]怂{文}搡[5]送宋诵颂讼

#ioŋ	
tɕ	[1]供{~猪}
tɕʰ	[2]穷
ɕ	[1]兄胸凶[2]熊㞞{精液}
Ø	[1]痈[2]荣戎绒融茸容蓉庸铬[3]雍拥甬勇涌[5]用

#uoŋ	
p	[1]崩
pʰ	[2]朋[3]捧
f	[1]烘风枫疯丰讽封峰蜂锋轰[2]红洪鸿冯逢缝{~衣服}虹{文}弘[3]哄{~骗}[5]哄{~堂大笑}奉俸缝{一条~}嗅{闻}凤
k	[1]弓躬宫恭公蚣工功攻[3]拱巩[5]供共贡汞
kʰ	[1]空{~虚}[3]孔恐[5]控空{~缺}
Ø	[1]翁□{埋}[5]瓮
