"id","hanzi","note","ipa","audio","ntd","dl","databse","py"
156,"爽",,"ɕõ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xon3.wav",3,"阴上","zg","xon3"
157,"双","(双生)","ɕõ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xon5.wav",5,"阴去","zg","xon5"
158,"畜","(畜牧)","ɕoʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xog7.wav",7,"阴入","zg","xog7"
159,"蓄","(储蓄)","ɕoʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xog7.wav",7,"阴入","zg","xog7"
160,"凶","(吉凶)","ɕaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xong1.wav",1,"阴平","zg","xong1"
161,"凶","(凶恶)","ɕaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xong1.wav",1,"阴平","zg","xong1"
162,"熊",,"ɕaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xong2.wav",2,"阳平","zg","xong2"
163,"胸",,"ɕaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xong1.wav",1,"阴平","zg","xong1"
164,"雄",,"ɕaŋ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xong2.wav",2,"阳平","zg","xong2"
165,"帅",,"ɕʷa","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xua5.wav",5,"阴去","zg","xua5"
166,"率","(率领)","ɕʷa","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xua5.wav",5,"阴去","zg","xua5"
167,"蟀",,"ɕʷa","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xua5.wav",5,"阴去","zg","xua5"
168,"虽",,"ɕʷe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuei1.wav",1,"阴平","zg","xuei1"
169,"绥",,"ɕʷe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuei2.wav",2,"阳平","zg","xuei2"
170,"谁",,"ɕʷe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuei2.wav",2,"阳平","zg","xuei2"
171,"隋",,"tɕʷʰe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/quei2.wav",2,"阳平","zg","quei2"
172,"髓",,"ɕʷe","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuei2.wav",2,"阳平","zg","xuei2"
173,"损",,"ɕʷɛ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuan3.wav",3,"阴上","zg","xuan3"
174,"逊",,"ɕʷɛ̃","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuan5.wav",5,"阴去","zg","xuan5"
175,"术","(白术,苍术)","ɕʷɛʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuag8.wav",8,"阳入","zg","xuag8"
176,"术",,"ɕʷɛʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuag8.wav",8,"阳入","zg","xuag8"
177,"述",,"ɕʷɛʔ","http://nantonghua.oss-cn-hongkong.aliyuncs.com/all_list/xuag8.wav",8,"阳入","zg","xuag8"
