繁体	简体	IPA	注释	来源			
咕	咕	ku3	理論應讀[ɡu³¹]：嘮叨，咕囔，自言自語。如：亦勒海~|~白（評彈用語，劇中人的旁白）	墳派			
過	过	ku5	~飯：下飯	墳派			
固	固	ku5	堅~	墳派			
錮	锢	ku5	①熔鑄銅鐵來填塞空隙。②禁止：禁~。③囚禁，監禁。④關，閉	墳派			
痼	痼	ku5	根深蒂固、難以治療矯正的：~疾	墳派			
故	故	ku5	啥個緣~	墳派			
顧	顾	ku5	姓	墳派			
箇	箇	ku5	①量詞。➊計算長條形的東西，相當於“枚”。➋泛用以計物數，相當於“個”：兩~黄鵰鳴翠柳，一行白鷺上青天。②指示代詞，相當於“這”“那”、“什麼”：起來無~事。③助詞。➊用在謂語後，相當於“地”：老翁眞~似童兒。➋用在量詞“些（兒）”後，相當於“的”：晚妝初過，沈檀輕注些兒~。➌加在時間詞後：苦被多情相折挫。病緒厭厭，渾似年時~。➍與動詞或短語結合構成名詞性詞充當謂語：委實是屈招~	墳派			
枯	枯	kʰu1	~樹浪剝皮：形容對貧困者剝削	墳派			
骷	骷	kʰu1	~郞頭：頭，腦袋	墳派			
窠	窠	kʰu1	~裏反：內訌	墳派			
科	科	kʰu1	~場	墳派			
蝌	蝌	kʰu1	~蚪，卽蝦蟆	墳派			
顆	颗	kʰu1	~粒	墳派			
棵	棵	kʰu1	塌~菜	墳派			
苛	苛	kʰu1	~刻；~捐雜稅	墳派			
薖	薖	kʰu1	寬大的樣子	墳派			
軻	轲	kʰu1	本爲具有兩木相接的車軸的車，後多見於人名：荊~	墳派			
珂	珂	kʰu1	~羅版：一種印刷用的照相版。爲英文collotypɛ的音義兼譯得名	墳派			
刳	刳	kʰu1	從中間破開再挖空	墳派			
疴	疴	kʰu1	病	墳派			
橭	橭	kʰu1	①古書上說的一種樹，卽山榆。②樹枝四佈	墳派			
苦	苦	kʰu3	吃得~中~，方爲人上人	墳派			
可	可	kʰu3	~見得：以此可見，可以想見	墳派			
坷	坷	kʰu3	坎~	墳派			
舸	舸	kʰu3	理論應讀見母：大船。如：~艦迷津，青雀黃龍之軸	墳派			
哿	哿	kʰu3	理論應讀見母：讚許，嘉許	墳派			
笴	笴	kʰu3	理論應讀見母：箭桿。借指箭	墳派			
顆	颗	kʰu3	①小頭。引申指顆粒狀物。②土塊	墳派			
庫	库	kʰu5	石~門：構造十分牢固結實的大門，門框爲四塊整的花崗石砌成	墳派			
褲	裤	kʰu5	~子襠：褲襠	墳派			
課	课	kʰu5	①敎學的時間單位：上晝四節~。②敎學的科目：小學一年級只有語文、算術兩門~。③敎材的段落：一本敎材廿~。	墳派			
絝	绔	kʰu5	紈~	墳派			
鰥	鳏	kuæ̃1	老而無妻	墳派			
瘝	瘝	kuæ̃1	①患病。②曠廢。③疾苦	墳派			
慣	惯	kuæ̃5	習~	墳派			
丱	丱	kuæ̃5	①舊時兒童束髮如兩角之貌。②年幼	墳派			
串	串	kuæ̃5	①穿。②習慣	墳派			
筷	筷	kʰuæ̃3	~兒，“兒”讀[ŋ]	墳派			
廓	廓	kʰuoʔ7	~清：肅清、澄清	鄉音字類			
鞟	鞟	kʰuoʔ7	去毛的獸皮	鄉音字類			
擴	扩	kʰuoʔ7	~充	蘇州同音常用字彙			
彍	彍	kʰuoʔ7	同“彍”，拉滿弓弩	鄉音字類			
肩	肩	ʨiɛ̃1	~架：肩膀，引申爲負責任	墳派			
兼	兼	ʨiɛ̃1	~兩頭：同時管理、負責兩個方面的工作或事情	墳派			
鶼	鹣	ʨiɛ̃1	~鰈：卽比翼鳥	墳派			
鰜	鳒	ʨiɛ̃1	~魚：比目魚的一種	墳派			
蒹	蒹	ʨiɛ̃1	~葭：①荻草和蘆葦。②比喩卑微鄙陋	墳派			
鬑	鬑	ʨiɛ̃1	理論應讀來母	墳派			
縑	缣	ʨiɛ̃1	雙絲的細絹	墳派			
堅	坚	ʨiɛ̃1	~固	墳派			
慳	悭	ʨiɛ̃1	聲母應爲[ʨʰ]	墳派			
監	监	ʨiɛ̃1	文讀	墳派			
間	间	ʨiɛ̃1	文讀	墳派			
蕳	蕳	ʨiɛ̃1	①蘭草。②蓮子。③姓	墳派			
緘	缄	ʨiɛ̃1	~默	墳派			
菅	菅	ʨiɛ̃1	①植物名。②比喩輕賤：草~人命	墳派			
豜	豜	ʨiɛ̃1	大豬	墳派			
椷	椷	ʨiɛ̃1	①木篋，木箱。②通“緘”，書信	墳派			
癇	痫	ʨiɛ̃1	癲~	墳派			
繭	茧	ʨiɛ̃3	~子	墳派			
簡	简	ʨiɛ̃3	~單	墳派			
柬	柬	ʨiɛ̃3	書~	墳派			
揀	拣	ʨiɛ̃3	選擇，挑選：~辰光	墳派			
鹼	硷	ʨiɛ̃3	同“碱”。文讀	墳派			
檢	检	ʨiɛ̃3	~點	墳派			
瞼	睑	ʨiɛ̃3	眼~毛	墳派			
減	减	ʨiɛ̃3	文讀	墳派			
覸	覸	ʨiɛ̃3	《集韻》：賈限切	墳派			
謇	謇	ʨiɛ̃3	①口吃，說話不順利。②正直	墳派			
蹇	蹇	ʨiɛ̃3	①跛脚，行動不便。②困苦，艱難，不順利。③遲鈍，不流利：~澀。④傲慢：驕~。⑤體弱的坐騎。⑥《易經》卦名。六十四卦之一。艮（☶）​下坎（☵）​上。表處難時，應修身養德，以渡難關。⑥發語詞，無義：~誰留兮中洲~	墳派			
寋	寋	ʨiɛ̃3	單獨擊磬	墳派			
筧	笕	ʨiɛ̃3	①連接起來引水用的長竹管。②橫安在屋簷上承接雨水的長竹管	墳派			
澗	涧	ʨiɛ̃3	應讀陰去	墳派			
見	见	ʨiɛ̃5	~鬼：嫌鄙人家東西少，氣量小	墳派			
建	建	ʨiɛ̃5	~設	墳派			
劍	剑	ʨiɛ̃5	寶~	墳派			
諫	谏	ʨiɛ̃5	舊時稱規勸君主或尊長，使改正錯誤：進~	墳派			
監	监	ʨiɛ̃5	文讀	墳派			
澗	涧	ʨiɛ̃5	文讀	墳派			
間	间	ʨiɛ̃5	~諜	墳派			
瞷	瞷	ʨiɛ̃5	窺視；偵査	墳派			
覸	覸	ʨiɛ̃5	看	墳派			
毽	毽	ʨiɛ̃5	踢~子，卽踢絹踢	墳派			
牽	牵	ʨʰiɛ̃1	~牛	墳派			
謙	谦	ʨʰiɛ̃1	~虛	墳派			
汧	汧	ʨʰiɛ̃1	~水：今千河的古稱。源出甘肅省，流經陝西省入渭河	墳派			
掔	掔	ʨʰiɛ̃1	①用手握緊。②牽引。③厚實	墳派			
愆	愆	ʨʰiɛ̃1	①過失，罪過。②耽擱，錯過。③過期的	墳派			
褰	褰	ʨʰiɛ̃1	①揭起。②古代稱套褲	墳派			
鶱	鶱	ʨʰiɛ̃1	俗讀，應讀[ɕiɛ̃⁴⁴]：鳥飛翔的樣子	墳派			
搴	搴	ʨʰiɛ̃1	拔取	墳派			
鉛	铅	ʨʰiɛ̃1	文讀	墳派			
慳	悭	ʨʰiɛ̃1	小氣，吝嗇：~吝	墳派			
遣	遣	ʨʰiɛ̃3	~散	墳派			
繾	缱	ʨʰiɛ̃3	~綣：情意纏綿，感情好得離不開	墳派			
譴	谴	ʨʰiɛ̃3	~責	墳派			
轞	轞	ʨʰiɛ̃3	①車聲：大車~~。②囚車	墳派			
檻	槛	ʨʰiɛ̃3	①關野獸的柵欄。②囚車。③欄杆	墳派			
豏	豏	ʨʰiɛ̃3	①豆半生。②餡兒	墳派			
嵰	嵰	ʨʰiɛ̃3	山險峻貌	墳派			
慊	慊	ʨʰiɛ̃3	不滿，怨恨	墳派			
歉	歉	ʨʰiɛ̃3	吃不飽	墳派			
蹇	蹇	ʨʰiɛ̃3	聲母應爲[ʨ]	墳派			
芡	芡	ʨʰiɛ̃3	理論應讀[ʥiɛ̃³¹]：本音	墳派			
艦	舰	ʨʰiɛ̃3	軍~	墳派			
欠	欠	ʨʰiɛ̃5	~債	墳派			
謙	谦	ʨʰiɛ̃1	~虛	蘇州同音常用字彙			
謙	谦	ʨʰiɛ̃5	應讀陰上：安靜的樣子	墳派			
芡	芡	ʨʰiɛ̃5	~實	墳派			
譴	谴	ʨʰiɛ̃5	~責	墳派			
巾	巾	ʨiɪn1	手~：毛巾	墳派			
京	京	ʨiɪn1	~戲：京劇	墳派			
觔	觔	ʨiɪn1	同“筋”“斤”	墳派			
荊	荆	ʨiɪn1	~妻：謙辭。指自己的妻子	墳派			
涇	泾	ʨiɪn1	洋~浜：指夾雜漢語的不標準外語，引申爲不標準的方言或語言	墳派			
經	经	ʨiɪn1	物事~：東西，物品；意圖	墳派			
驚	惊	ʨiɪn1	~嚇	墳派			
鯨	鲸	ʨiɪn1	應讀陽平	墳派			
矜	矜	ʨiɪn1	~持	墳派			
景	景	ʨiɪn3	~致：風景；比喩能引起濃厚興趣的東西	墳派			
境	境	ʨiɪn3	邊~	墳派			
緊	紧	ʨiɪn3	~要	墳派			
頸	颈	ʨiɪn3	頭~	墳派			
儆	儆	ʨiɪn3	①戒備。②警告，懲戒：殺一~百	墳派			
脛	胫	ʨiɪn5	小腿	墳派			
徑	径	ʨiɪn5	一~：（時間上）一直；老是，經常	墳派			
逕	迳	ʨiɪn5	同“徑”	墳派			
竟	竟	ʨiɪn5	~竟：副詞，用在問句裏，表示追究	墳派			
敬	敬	ʨiɪn5	~酒：拿一杯酒來請喝完	墳派			
鏡	镜	ʨiɪn5	~子裏碰肉——弗著肉：歇後語，表示不貼心	墳派			
勁	劲	ʨiɪn5	上~：認眞對待	蘇州同音常用字彙			
金	金	ʨiɪn1	姓。蔡佞《19世紀末的蘇州話》在“二、A Syllabary of the Soochow Dialect所顯示的音係”中，將該字列於[iən]韻後	鄉音字類、蘇州同音字彙1892、蘇州同音常用字彙			
今	今	ʨiɪn1	~朝	鄉音字類			
斤	斤	ʨiɪn1	講~頭：指談論交換條件	墳派			
錦	锦	ʨiɪn3	素什~：以多種素食品爲主料，如香菇、豆腐衣、蘑菇、木耳、豆腐乾等所做的菜餚	墳派			
謹	谨	ʨiɪn3	~守關閉：小心謹愼	墳派			
禁	禁	ʨiɪn5	~止	墳派			
卿	卿	ʨʰiɪn1	~~我我	墳派			
傾	倾	ʨʰiɪn1	~覆	墳派			
輕	轻	ʨʰiɪn1	~重	墳派			
頃	顷	ʨʰiɪn3	~刻	墳派			
慶	庆	ʨʰiɪn5	國~紀念	墳派			
撳	揿	ʨʰiɪn5	~牢俚	蘇州同音常用字彙			
欽	钦	ʨʰiɪn1	~佩	墳派			
衾	衾	ʨʰiɪn1	①大被子。②殮屍用的被子	墳派			
皸	皲	ʨyən1	皮膚因寒冷或乾燥而裂開	墳派			
君	君	ʨyən1	灶~菩薩：竈神	墳派			
均	均	ʨyən1	平~	墳派			
鈞	钧	ʨyən1	古代重量單位，合三十斤：千~一髮（比喩極其危急）	墳派			
軍	军	ʨyən1	伸手大將~：要錢的人	墳派			
囷	囷	ʨyən1	圓形的穀倉	墳派			
箘	箘	ʨyən1	理論應讀[ʨʰyən⁴⁴]：一種桂樹，通稱“箘桂”	墳派			
鋆	鋆	ʨyən1	金子	墳派			
窘	窘	ʨʰyən3	今聲母爲[ʨ]：~況|~脫（指因受爲難而尷尬到極點）	墳派			
藍	蓝	læ̃2	~~兮兮：淡藍色	墳派			
蘭	兰	læ̃2	~花	墳派			
欄	栏	læ̃2	~幹	墳派			
攔	拦	læ̃2	文讀：~頭~面（夾頭夾腦）	墳派			
籃	篮	læ̃2	~頭：籃子	墳派			
闌	阑	læ̃2	~珊：衰落，凋散	墳派			
瀾	澜	læ̃2	~~：淚下貌	墳派			
斕	斓	læ̃2	斑~	墳派			
讕	谰	læ̃2	~言：誣妄之言。不經之言	墳派			
覽	览	læ̃4	~勝：觀覽勝境	墳派			
欖	榄	læ̃4	橄~	墳派			
赧	赧	læ̃4	文讀：理論應讀泥母	墳派			
懶	懒	læ̃4	~惰	墳派			
戁	戁	læ̃4	敬畏、恐懼。讀音疑有誤，《廣韻》：奴板切或人善切	墳派			
濫	滥	læ̃6	~和調：形容一味附和別人的意見	墳派			
纜	缆	læ̃6	~繩	墳派			
爛	烂	læ̃6	~泥：泥土	墳派			
糷	糷	læ̃6	飯爛相粘著	墳派			
連	连	liɛ̃2	打~廂	墳派			
廉	廉	liɛ̃2	清~	墳派			
濂	濂	liɛ̃2	~溪：水名，在湖南省	墳派			
蓮	莲	liɛ̃2	~蓬	墳派			
憐	怜	liɛ̃2	顧~：照顧。【例句】尋箇兩個銅鈿是只好自家~自家	墳派			
縺	縺	liɛ̃2	①古代一種魚網。②絲線糾結不解	墳派			
褳	裢	liɛ̃2	褡~：長方形口袋，中央開口，大的可搭在肩上，小的縛在腰間，放錢財用	墳派			
聯	联	liɛ̃2	~絡	墳派			
鐮	镰	liɛ̃2	~刀	墳派			
𩼔	𩼔	liɛ̃2	~魚，卽鮎魚，粵語。聲母可能應讀[ȵ]	墳派			
鰱	鲢	liɛ̃2	魚名，頭小形扁，細鱗肥腹，色白	墳派			
蘞	蔹	liɛ̃2	多年生蔓生草本植物，葉子多而細，五月開花，七月結球形漿果，根入藥	墳派			
漣	涟	liɛ̃2	水面被風吹起的波紋：~漪	墳派			
摙	摙	liɛ̃4	運	墳派			
璉	琏	liɛ̃4	瑚~：宗廟盛黍稷之器	墳派			
臉	脸	liɛ̃4	做鬼~	墳派			
斂	敛	liɛ̃4	~財：收集錢財	墳派			
瀲	潋	liɛ̃4	~灎：猶“瀲瀲”，水溢貌；相連貌	墳派			
練	练	liɛ̃6	~~：練習，訓練	墳派			
戀	恋	liɛ̃6	~愛	墳派			
鍊	鍊	liɛ̃6	同“煉”或“鏈”	墳派			
殮	殓	liɛ̃6	爲死者易衣入棺	墳派			
鏈	链	liɛ̃6	~條	墳派			
楝	楝	liɛ̃6	木名，高丈餘，複葉，春末開淡紫花，實橢圓如小鈴，熟則色黃	墳派			
領	领	liɪn2	應讀陽上	墳派			
鄰	邻	liɪn2	家弗和防~欺。~弗和防外難。	墳派			
拎	拎	liɪn1	~起來	墳派			
囉	啰	lu1	~唆：語言繁瑣，重複	墳派			
盧	卢	lu2	姓	墳派			
轤	轳	lu2	轆~：汲水之器；機器上之絞盤	墳派			
蘆	芦	lu2	~柴	墳派			
爐	炉	lu2	風~	墳派			
艫	舻	lu2	舳~：船尾和船頭，泛智戰艦	墳派			
鱸	鲈	lu2	~魚	墳派			
瀘	泸	lu2	水名，在四川省	墳派			
濾	滤	lu2	疑爲“瀘”之誤	鄉音字類			
壚	垆	lu2	①黑色堅硬的土。②舊時就點裏安放酒甕的土台子	墳派			
櫨	栌	lu2	①柱上方木，卽斗拱。②木名，卽黃櫨	墳派			
顱	颅	lu2	腦蓋：頭~	墳派			
臚	胪	lu2	①腹前。②陳列：~列（羅列，陳列）。③傳達。④皮	墳派			
罏	罏	lu2	同“壚”，累土以安酒甕者	墳派			
矑	矑	lu2	①瞳人；亦泛指眼珠。②視	墳派			
鑪	鑪	lu2	①同“爐”。②通“罏”	墳派			
纑	纑	lu2	①布縷。②練麻，練絲。③紵屬	墳派			
羅	罗	lu2	姓	墳派			
籮	箩	lu2	飯~	墳派			
蘿	萝	lu2	女~：①松蘿。②古代詩歌中常以菟絲和女蘿纏繞比喩夫妻或情人的關係	墳派			
鑼	锣	lu2	嘸手抓~：常用來形容忙亂時手足無措	墳派			
騾	骡	lu2	~子：驢和馬交配所生的雜種	墳派			
螺	螺	lu2	~螄：淡水螺的通稱，個體較小	墳派			
獹	獹	lu2	古代一種優良的狗	墳派			
玈	玈	lu2	黑色	墳派			
覶	覶	lu2	同“覼“。~縷：委曲詳述，極力刻畵	墳派			
覼	覼	lu2	~縷：委曲詳述，極力刻畵	墳派			
𤬛	𤬛	lu2	瓠~：同”葫蘆“，卽瓠瓜	墳派			
鹵	卤	lu4	~鴨：昆山著名特產，色香味俱佳	蘇州同音字彙1892			
虜	虏	lu3	~掠：强搶人物	墳派			
艣	艣	lu4	同“艪”	墳派			
擄	掳	lu3	~掠：强搶人物	墳派			
婐	婐	lu4	讀音存疑	墳派			
卵	卵	lu3	讀書音：因迴避口語的讀音，書面該讀此音，如：~子、~巢	墳派			
櫓	橹	lu4	搖~	墳派			
魯	鲁	lu4	姓	墳派			
𡀔	𡀔	lu4	也有可能讀陰上	墳派			
嚕	噜	lu4	今於“~嗦”中讀陰平	墳派			
鷺	鹭	lu6	~鷥：一種水鳥，腿很長，能涉水捕魚類	墳派			
路	路	lu6	~道粗：門路廣，辦法多	墳派			
露	露	lu6	~水	墳派			
潞	潞	lu6	水名，在山西省	墳派			
賂	赂	lu6	賄~	墳派			
輅	辂	lu6	①大車。②車前之橫木	墳派			
簵	簵	lu6	同“簬”，美竹	墳派			
簬	簬	lu6	美竹	墳派			
璐	璐	lu6	美玉	墳派			
蠻	蛮	mæ̃1	~好	墳派			
蠻	蛮	mæ̃2	野~	墳派			
曼	曼	mæ̃6	①柔美。②長，廣	墳派			
蔓	蔓	mæ̃6	瓜~	墳派			
縵	缦	mæ̃6	①無文采之繒：~布。②謂無紋飾。③緩：~~（雲行紆緩回薄貌）	墳派			
謾	谩	mæ̃6	~駡。①輕慢。②媟汚。③空，徒。④任意，隨便	墳派			
慢	慢	mæ̃6	急~	墳派			
鬘	鬘	mæ̃6	頭髮秀美。理論應讀陽平	墳派			
萬	万	mæ̃6	~子：麻將牌中的一種花樣。|一~：數目	墳派			
嫚	嫚	mæ̃6	①輕視，侮辱：~駡。②通“慢”，傲慢無禮；懈怠，怠惰	墳派			
棉	棉	miɛ̃2	~花	墳派			
眠	眠	miɛ̃2	①睡。②昆蟲因蛻皮伏而不動，如蠶眠。③草木偃伏	墳派			
矏	矏	miɛ̃2	密	墳派			
免	免	miɛ̃4	~靑：麵條中不放蔥蒜	墳派			
冕	冕	miɛ̃4	~旒：古禮冠之最尊者；天子之冕十二旈，諸侯以下遞降。或可讀陰上	墳派			
娩	娩	miɛ̃4	分~	墳派			
緬	缅	miɛ̃4	~甸	墳派			
偭	偭	miɛ̃6	違背：~規越矩（謂違背禮法）	墳派			
緬	缅	miɛ̃6	~懷	墳派			
湎	湎	miɛ̃6	①沉迷於酒。②~~：流移	墳派			
勔	勉	miɛ̃6	今讀陰上：~勵（勸勉鼓勵）	墳派			
眄	眄	miɛ̃6	斜視	墳派			
瞑	瞑	miɛ̃6	~眩：服藥後產生頭暈目眩的反應。《廣韻》：莫甸切	墳派			
名	名	miɪn2	~堂：名目；花樣	墳派			
明	明	miɪn2	清~斷雪，谷雨斷霜	墳派			
民	民	miɪn2	~權	墳派			
抿	抿	miɪn3	~緊、~縫	蘇州同音常用字彙			
冥	冥	miɪn2	~思苦索	墳派			
銘	铭	miɪn2	~記	墳派			
鳴	鸣	miɪn2	自~鐘：老式的檯鐘，掛鐘，能報時	墳派			
茗	茗	miɪn4	①茶芽。②茶	墳派			
皿	皿	miɪn4	裝盛東西的器具，多指碗碟杯盤	墳派			
閔	闵	miɪn4	姓。	墳派			
憫	悯	miɪn4	憐~。	墳派			
䐇	䐇	miɪn3	~緊仔嘴。	蘇州同音常用字彙			
命	命	miɪn6	~宮裏：命裏	墳派			
母	母	mu3	中州韻	蘇州同音字彙1892			
母	母	mo1	~親	蘇州同音常用字彙			
母	母	mo4	伯~	蘇州同音常用字彙			
難	难	næ̃2	頭~：凡事開頭最難，故稱	墳派			
黏	黏	niɛ̃1	~液	鄉音字類			
拈	拈	niɛ̃1	用兩三個手指頭夾取（東西）：~輕怕重	鄉音字類			
岩	岩	ŋæ̃2	靈~山	墳派			
顏	颜	ŋæ̃2	~色	墳派			
眼	眼	ŋæ̃4	白讀：~睛	墳派			
雁	雁	ŋæ̃6	~鵝：大雁	墳派			
吾	吾	ŋu2	我（的）	蘇州同音字彙1892			
梧	梧	ŋu2	~桐	墳派			
峨	峨	ŋu2	~眉山	墳派			
峩	峨	ŋu2	同“峨”	蘇州同音字彙1892			
俄	俄	ŋu2	~國	墳派			
蛾	蛾	ŋu2	蠶~	墳派			
鵝	鹅	ŋu2	家禽，羽毛白色或灰色，額部有肉質凸起，蘇州話稱“鵝得頭”	蘇州同音字彙1892			
訛	讹	ŋu2	~詐	蘇州同音字彙1892			
哦	哦	ŋu2	吟~：吟唱，吟詠	墳派			
莪	莪	ŋu2	植物名，卽莪蒿	墳派			
娥	娥	ŋu2	①美好的樣子。②美女	墳派			
我	我	ŋu4	自稱。自己，亦指自己一方：~伲	蘇州同音字彙1892			
寤	寤	ŋu6	①睡醒。②覺悟，醒悟	蘇州同音字彙1892			
捂	捂	ŋu4	①逆，對面。②抵觸	鄉音字類			
誤	误	ŋu4	理論應讀陽去。~事	鄉音字類			
臥	卧	ŋu4	理論應讀陽去	鄉音字類			
卧	卧	ŋu6	~榻	蘇州同音字彙1892			
餓	饿	ŋu4	理論應讀陽去。~煞鬼：引申爲食量大的兒童	蘇州同音字彙1892			
互	互	ŋu6	交~	蘇州同音字彙1892			
互	互	ŋu4	理論應讀陽去	鄉音字類			
冱	冱	ŋu4	理論應讀陽去：①寒氣凝結。②凝結的，凍結的	鄉音字類			
枑	枑	ŋu4	理論應讀陽去：古時官府門前所設阻擋通行的木製障礙物。也稱行馬	鄉音字類			
悟	悟	ŋu4	理論應讀陽去。醒~	鄉音字類			
晤	晤	ŋu4	理論應讀陽去：①見面：會~。②聰明	鄉音字類			
巋	岿	ŋuɛ2	誤讀，理論應讀[kʰuɛ]：①小山羅列。②高大堅固的樣子：~然	鄉音字類			
偽	伪	ŋuɛ6	~造	鄉音字類			
頑	顽	ŋuæ̃2	~皮	蘇州同音常用字彙			
瓦	瓦	ŋuo4	本音	鄉音字類			
拿	拿	nɔ2	可能就是[no²²³]	蘇州同音字彙1892			
嗱	嗱	nɔ2	歎詞，指物或給別人東西時用	蘇州同音字彙1892			
諾	诺	nɔʔ8	可能就是[noʔ²³]	蘇州同音字彙1892			
喏	喏	nɔʔ8	可能就是[noʔ²³]	蘇州同音字彙1892			
奴	奴	nu2	~~：青年女子自稱，多見於傳統戲劇和曲藝中	鄉音字類			
駑	驽	nu2	①劣馬，走不快的馬：~馬。②喩愚鈍無能：~鈍	鄉音字類			
挪	挪	nu2	文讀：用手來回撫摩	鄉音字類			
捼	捼	nu2	~~痛	墳派			
孥	孥	nu2	①子女。②亦指妻子和兒女	鄉音字類			
努	努	nu3	~力	鄉音字類			
弩	弩	nu4	用機械力量發射的彈弓：~箭	鄉音字類			
娜	娜	nu4	妸~	鄉音字類			
那	那	nu4	《廣韻》：奴可切。何也	鄉音字類			
儺	傩	nu4	行有度也：佩玉之~。據《集韻》：乃可切	鄉音字類			
懦	懦	nu4	~弱	鄉音字類			
糯	糯	nu4	~米	鄉音字類			
砮	砮	nu4	可做箭鏃的石頭	墳派			
怒	怒	nu6	~氣沖沖	鄉音字類			
人	人	ȵiɪn2	白讀。《蘇州同音字彙1892》中的記音爲[ȵiən²²³]	蘇州同音常用字彙、蘇州同音字彙1892			
認	认	ȵiɪn6	白讀：~得葛。《蘇州同音字彙1892》的記音爲[ȵiən³¹²]	蘇州同音常用字彙			
年	年	ȵiɛ̃2	~底下：陰曆十二月二十日之後	墳派			
妍	妍	ȵiɛ̃2	艷麗，美好	墳派			
研	研	ȵiɛ̃2	~細	墳派			
拈	拈	ȵiɛ̃1	~花惹草	墳派			
喦	喦	ȵiɛ̃2	同“碞”	墳派			
碞	碞	ȵiɛ̃2	①山石高峻的樣子。②僭越失序之事	墳派			
閻	阎	ȵiɛ̃2	~王好見，小鬼難當（比喩做上司容易，做下屬難）	墳派			
閆	闫	ȵiɛ̃2	同“閻”	墳派			
涊	涊	ȵiɛ̃4	出汗的樣子	墳派			
輦	辇	ȵiɛ̃4	~地：書場	墳派			
嚴	严	ȵiɛ̃4	同儼。《集韻》：魚檢切	蘇州同音字彙1892			
嚴	严	ȵiɛ̃2	姓	鄉音字類			
儼	俨	ȵiɛ̃4	~然：矜莊的樣子；整齊的樣子；好似，很像	墳派			
捻	捻	ȵiɛ̃3	紙~。應爲“撚”	蘇州同音字彙1892			
罱	罱	ȵiɛ̃4	~河泥：蘇州一帶用河泥作肥料，用竹編可以開合的蚌狀的工具夾取河泥	墳派			
染	染	ȵiɛ̃4	~坊	墳派			
硯	砚	ȵiɛ̃6	~瓦	墳派			
唁	唁	ȵiɛ̃6	①慰問死者家屬：弔~。②安慰	墳派			
諺	谚	ȵiɛ̃6	~語	墳派			
彥	彦	ȵiɛ̃6	古代指有才學、德行的人	墳派			
甗	甗	ȵiɛ̃6	古代用來炊煮的一種蒸鍋	墳派			
峴	岘	ȵiɛ̃6	小而險峻的山嶺。讀音來源不明	墳派			
巘	巘	ȵiɛ̃6	①山峰，山頂：絕~。②艱險，險惡	墳派			
讞	谳	ȵiɛ̃6	審判定罪。《集韻》：魚戰切	墳派			
甯	甯	ȵiɪn2	通“寧”。願，盼望	墳派			
壬	壬	ȵiɪn2	白讀	墳派			
凝	凝	ȵiɪn2	~攏来	墳派			
佞	佞	ȵiɪn6	~臣	墳派			
任	任	ȵiɪn6	白讀。作姓氏讀陽平	墳派			
班	班	pæ̃1	輪~：分班輪流	墳派			
扳	扳	pæ̃1	~價	墳派			
朌	朌	pæ̃1	①頒賜；賦予。②發佈	墳派			
瘢	瘢	pæ̃1	疤~	墳派			
般	般	pæ̃1	一~	墳派			
板	板	pæ̃3	砧墩~：切菜切肉時墊在下面的厚木板	墳派			
版	版	pæ̃3	~~六十四：舊時鑄錢的銅模，每版鑄六十四枚銅錢，比喩不知變通，不能通融，行事刻板，也比喩板著臉，一副不可侵犯的樣子	鄉音字類			
皈	皈	pæ̃3	讀音來源不明	墳派			
瓣	瓣	pæ̃3	~頭	墳派			
𫪒	𫪒	pæ̃3		墳派			
扮	扮	pæ̃5	装~	墳派			
絆	绊	pæ̃5	~住身體|~一跤	墳派			
攀	攀	pʰæ̃1	~牢：用繩或膠帶等使分開或分散的東西連在一起	墳派			
