漢字	拼音方案		IPA	注釋	説明：兩種拼音方案的聲調，都遵循以下對應規則，即：陰平1，陰上2，陰去3，陰入4，陽平5，陽上6，陽去7，陽入8									
扎	tsak4	zag4	tsak˨											
紮	tsak4	zag4	tsak˨											
察	tshak4	cag4	tsʰak˨											
殺	suah4	suah4	suaʔ˨											
軋	khoih4	koih4	kʰoiʔ˨											
軋	iak4	iag4	iak˨	又										
軋	ak4	ag4	ak˨	又										
軋	tsap4	zab4	tsap˨	又										
軋	kak4	gag4	kak˨	又										
鍘	tsak4	zag4	tsak˨											
瞎	hak4	hag4	hak˨											
轄	khak4	kag4	kʰak˨											
別	pak8	bag8	pak˥˦	白，~儂										
別	piak8	biag8	piak˥˦											
憋	pih4	bih4	piʔ˨											
鱉	pih4	bih4	piʔ˨											
別	pak4	bag4	pak˨	又，認識										
滅	mik8	mig8	mik˥˦											
滅	miak8	miag8	miak˥˦	文										
列	liak8	liag8	liak˥˦											
裂	lih8	lih8	liʔ˥˦											
烈	liak8	liag8	liak˥˦											
薛	sih4	sih4	ɕiʔ˨											
褻														
泄	siap8	siab8	ɕiap˥˦											
哲	tiak4	diag4	tiak˨											
徹	thiak4	tiag4	tʰiak˨											
撤	thiak4	tiag4	tʰiak˨											
轍	thiak4	tiag4	tʰiak˨											
折	tsih4	zih4	tɕiʔ˨											
浙	tsiak4	ziag4	tɕiak˨											
舌	tsih8	zih8	tɕiʔ˥˦											
設	siak4	siag4	ɕiak˨											
折	tsih8	zih8	tɕiʔ˥˦	又										
熱	dzuah8	ruah8	dzuaʔ˥˦											
熱	dziak8	riag8	dʑiak˥˦	文										
孑	khiak4	kiag4	kʰiak˨											
傑	kiak8	giag8	kiak˥˦											
孽	ngiak8	ngiag8	ŋiak˥˦											
揭	kik4	gig4	kik˨	又，~陽										
揭	kiah4	giah4	kiaʔ˨											
竭	kiak8	giag8	kiak˥˦											
歇	hiah4	hiah4	hiaʔ˨											
蠍	hiak4	hiag4	hiak˨											
蠍	hak4	hag4	hak˨	又										
謁	hak4	hag4	hak˨											
撇	phuah4	puah4	pʰuaʔ˨											
篾	bih4	bhih4	ᵐbiʔ˨											
鐵	thih4	tih4	tʰiʔ˨											
迭	tiak4	diag4	tiak˨											
跌	tiak8	diag8	tiak˥˦											
捏	niap8	niab8	niap˥˦											
捏	niap4	niab4	niap˨	又，~造										
節	tsoih4	zoih4	tsoiʔ˨											
節	tsak4	zag4	tsak˨	文										
切	tshiak4	ciag4	tɕʰiak˨											
截	tsoih8	zoih8	tsoiʔ˥˦											
屑	siah4	siah4	ɕiaʔ˨											
結	kak4	gag4	kak˨											
結	kiak4	giag4	kiak˨	又										
結	kik4	gig4	kik˨	又										
潔	kiak4	giag4	kiak˨											
噎	ik4	ig4	ik˨											
噎	i3	i3	i˨˩˨	又										
搬	puann1	buan1	pua ̃˧˧											
般	puann1	buan1	pua ̃˧˧											
半	puann3	buan3	pua ̃˨˩˨											
絆	phuang3	puang3	pʰuaŋ˨˩˨											
潘	phuann1	puan1	pʰua ̃˧˧											
拚	piann3	bian3	pia ̃˨˩˨											
判	phuang3	puang3	pʰuaŋ˨˩˨											
盤	puann5	buan5	pua ̃˥˥											
盤	phuang5	puang5	pʰuaŋ˥˥	文										
伴	phuann6	puan6	pʰua ̃˧˥											
叛	puang6	buang6	puaŋ˧˥											
瞞	muann5	muan5	mua ̃˥˥											
饅	mang6	mang6	maŋ˧˥											
滿	muann2	muan2	mua ̃˥˨											
漫	buang6	bhuang6	ᵐbuaŋ˧˥											
漫	mang6	mang6	maŋ˧˥	又										
幔	buang6	bhuang6	ᵐbuaŋ˧˥											
端	tuang1	duang1	tuaŋ˧˧											
短	to2	do2	to˥˨											
斷	tng6	deng6	tŋ˧˥											
斷	tuang6	duang6	tuaŋ˧˥											
斷	tuang3	duang3	tuaŋ˨˩˨	又										
鍛	tuang3	duang3	tuaŋ˨˩˨											
團	thuang5	tuang5	tʰuaŋ˥˥											
段	tng7	deng7	tŋ˧˩											
段	tuang6	duang6	tuaŋ˧˥	文，姓氏										
緞	tng7	deng7	tŋ˧˩											
暖	luang2/nuang2	luang2/nuang2	luaŋ˥˨/nuaŋ˥˨											
鸞	luang5	luang5	luaŋ˥˥											
卵	nng6	neng6	nŋ˧˥											
卵	luang2	luang2	luaŋ˥˨	文										
亂	luang6	luang6	luaŋ˧˥											
鑽	tsng3	zeng3	tsŋ˨˩˨											
鑽	nng3	neng3	nŋ˨˩˨	又										
鑽	tsang3	zang3	tsaŋ˨˩˨	又										
纂	tshuang3	cuang3	tsʰuaŋ˨˩˨											
竄	tshuang3	cuang3	tsʰuaŋ˨˩˨											
酸	sng1	seng1	sŋ˧˧											
算	sng3	seng3	sŋ˨˩˨											
算	suang3	suang3	suaŋ˨˩˨	文										
蒜	sng3	seng3	sŋ˨˩˨											
官	kuann1	guan1	kua ̃˧˧											
觀	kuang1	guang1	kuaŋ˧˧											
冠	kuang1	guang1	kuaŋ˧˧											
管	kurng2	geng2	kɯŋ˥˨	白，氣~										
管	kuang2	guang2	kuaŋ˥˨	文										
館	kuang2	guang2	kuaŋ˥˨											
冠	kuang3	guang3	kuaŋ˨˩˨	又										
觀	kuang3	guang3	kuaŋ˨˩˨											
灌	kuang3	guang3	kuaŋ˨˩˨											
罐	kuang3	guang3	kuaŋ˨˩˨											
貫	kuang3	guang3	kuaŋ˨˩˨											
寬	khuann1	kuan1	kʰua ̃˧˧	白，~~行										
寬	khuang1	kuang1	kʰuaŋ˧˧	文										
款	khuang2	kuang2	kʰuaŋ˥˨											
玩	nguang2	nguang2	ŋuaŋ˥˨											
歡	huann1	huan1	hua ̃˧˧											
歡	huang1	huang1	huaŋ˧˧	文										
喚	huang3	huang3	huaŋ˨˩˨											
煥	huang3	huang3	huaŋ˨˩˨											
桓	huang5	huang5	huaŋ˥˥											
完	uang5	uang5	uaŋ˥˥											
丸	inn5	in5	i ̃˥˥	訓“圓”										
丸	uang5	uang5	uaŋ˥˥											
紈	uang5	uang5	uaŋ˥˥											
緩	huang2	huang2	huaŋ˥˨											
皖	uang2	uang2	uaŋ˥˨											
換	uann7	uan7	ua ̃˧˩											
換	huang3	huang3	huaŋ˨˩˨	文，金不~										
豌	uang1	uang1	uaŋ˧˧											
碗	uann2	uan2	ua ̃˥˨											
腕	uang2	uang2	uaŋ˥˨											
鰥	kuang1	guang1	kuaŋ˧˧											
幻	huang3	huang3	huaŋ˨˩˨											
篡	tshuang3	cuang3	tsʰuaŋ˨˩˨											
撰	tsuang6	zuang6	tsuaŋ˧˥											
閂	tshuann3	cuan3	tsʰua ̃˨˩˨											
拴	tshuang5	cuang5	tsʰuaŋ˥˥											
涮	sueh4	suêh4	sueʔ˨	俗										
涮	suang3	suang3	suaŋ˨˩˨											
關	kuenn1	guên1	kue ̃˧˧	白										
關	kuang1	guang1	kuaŋ˧˧											
慣	kuang3	guang3	kuaŋ˨˩˨											
頑	nguang2	nguang2	ŋuaŋ˥˨											
還	huann1	huan1	hua ̃˧˧											
還	hainn5/hoinn5	hain5/hoin5	hai ̃˥˥/hoi ̃˥˥	又										
還	huang5	huang5	huaŋ˥˥	文										
環	huang5	huang5	huaŋ˥˥											
患	huang6	huang6	huaŋ˧˥											
宦	huang6	huang6	huaŋ˧˥											
彎	uang1	uang1	uaŋ˧˧											
灣	uang1	uang1	uaŋ˧˧											
戀	luang3	luang3	luaŋ˨˩˨											
痊	tshuang5	cuang5	tsʰuaŋ˥˥											
全	tshuang5	cuang5	tsʰuaŋ˥˥											
泉	tsuann5	zuan5	tsua ̃˥˥											
宣	suang1	suang1	suaŋ˧˧											
選	suang2	suang2	suaŋ˥˨											
旋	suang5	suang5	suaŋ˥˥											
旋	tsng7	zeng7	tsŋ˧˩	白										
旋	suang7	suang7	suaŋ˧˩											
鏇	suang7	suang7	suaŋ˧˩											
轉	tng2	deng2	tŋ˥˨	白										
轉	tsuang2	zuang2	tsuaŋ˥˨	又										
轉	dzuang2	ruang2	dzuaŋ˥˨	又										
傳	thuang5	tuang5	tʰuaŋ˥˥											
椽	uang5	uang5	uaŋ˥˥											
篆	tuang6	duang6	tuaŋ˧˥											
傳	tng7	deng7	tŋ˧˩											
專	tsuang1	zuang1	tsuaŋ˧˧											
磚	tsng1	zeng1	tsŋ˧˧											
川	tshuang1	cuang1	tsʰuaŋ˧˧											
穿	tshng1	ceng1	tsʰŋ˧˧											
穿	tsheng7	cêng7	tsʰeŋ˧˩	訓										
穿	tshuang1	cuang1	tsʰuaŋ˧˧	文										
喘	tshuang2	cuang2	tsʰuaŋ˥˨											
舛	tshuang2	cuang2	tsʰuaŋ˥˨											
串	tshuang3	cuang3	tsʰuaŋ˨˩˨											
船	tsung5	zung5	tsuŋ˥˥											
軟	nng2	neng2	nŋ˥˨											
卷	kurng2	geng2	kɯŋ˥˨											
卷	kuang2	guang2	kuaŋ˥˨	文										
卷	kuang6	guang6	kuaŋ˧˥	又										
眷	kuang3	guang3	kuaŋ˨˩˨											
絹	kiang1	giang1	kiaŋ˧˧											
絹	kiang3	giang3	kiaŋ˨˩˨	又										
圈	khuang1	kuang1	kʰuaŋ˧˧											
圈	khou1	kou1	kʰou˧˧	俗										
權	khuang5	kuang5	kʰuaŋ˥˥											
拳	khung5	kung5	kʰuŋ˥˥											
鬈	khuang5	kuang5	kʰuaŋ˥˥											
倦	kuang6	guang6	kuaŋ˧˥											
員	uang5	uang5	uaŋ˥˥											
員	ung5	ung5	uŋ˥˥	又										
員	ung6	ung6	uŋ˧˥	又，姓氏										
圓	inn5	in5	i ̃˥˥											
院	nginn7/inn7	ngin7/in7	ŋi ̃˧˩/i ̃˧˩											
緣	uang5	uang5	uaŋ˥˥											
沿	ing5/iang5	ing5/iang5	iŋ˥˥/iaŋ˥˥											
鉛	iang5	iang5	iaŋ˥˥	~筆										
鉛	ing5	ing5	iŋ˥˥	又，亞~（指鐵絲）										
捐	kiang1	giang1	kiaŋ˧˧											
兗	iang6	iang6	iaŋ˧˥											
兗	iang2	iang2	iaŋ˥˨											
藩	phuang1	puang1	pʰuaŋ˧˧											
反	poinn2	boin2	poi ̃˥˨	白										
反	huang2	huang2	huaŋ˥˨											
翻	huang1	huang1	huaŋ˧˧											
番	huang1	huang1	huaŋ˧˧											
販	huang3	huang3	huaŋ˨˩˨											
煩	huang5	huang5	huaŋ˥˥											
礬	huang5	huang5	huaŋ˥˥											
繁	huang5	huang5	huaŋ˥˥											
繁	pho5	po5	pʰo˥˥	又，姓氏										
飯	pung7	bung7	puŋ˧˩											
晚	mung2	mung2	muŋ˥˨											
挽	mang2	mang2	maŋ˥˨											
萬	buang7	bhuang7	ᵐbuaŋ˧˩											
萬	mang7/bang	mang7/bhang7	maŋ˧˩/ᵐbaŋ˧˩	白，潮陽音										
勸	khng3	keng3	kʰŋ˨˩˨											
券	kuang3	guang3	kuaŋ˨˩˨											
元	ngurng5	ngeng5	ŋɯŋ˥˥	訓“銀”										
元	nguang5	nguang5	ŋuaŋ˥˥	文										
原	nguang5	nguang5	ŋuaŋ˥˥											
源	nguang5	nguang5	ŋuaŋ˥˥											
阮	uang2	uang2	uaŋ˥˨	俗										
阮	ng2	ng2	ŋ˥˨	又俗										
阮	ung2	ung2	uŋ˥˨	又俗										
阮	nguang2	nguang2	ŋuaŋ˥˨											
願	nguang6	nguang6	ŋuaŋ˧˥											
喧	suang1	suang1	suaŋ˧˧											
楦	suang1	suang1	suaŋ˧˧											
冤	uang1	uang1	uaŋ˧˧											
宛	uang2	uang2	uaŋ˥˨											
婉	uang2	uang2	uaŋ˥˨											
怨	uang2	uang2	uaŋ˥˨											
袁	uang5	uang5	uaŋ˥˥											
園	hng5	hng5	hŋ˥˥											
援	iang6	iang6	iaŋ˧˥											
垣	huang5	huang5	huaŋ˥˥											
遠	hng6	hng6	hŋ˧˥	白										
遠	iang2	iang2	iaŋ˥˨											
涓	kiang1	giang1	kiaŋ˧˧											
犬	khiang2	kiang2	kʰiaŋ˥˨											
懸	kuinn5	guin5	kui ̃˥˥	白，~大										
懸	hiang5	hiang5	hiaŋ˥˥											
玄	hiang5	hiang5	hiaŋ˥˥											
縣	kuinn7	guin7	kui ̃˧˩											
眩	hing5	hing5	hiŋ˥˥											
眩	hiang5	hiang5	hiaŋ˥˥	文										
淵	iang1	iang1	iaŋ˧˧											
淵	uang1	uang1	uaŋ˧˧	又										
缽	puah4	buah4	puaʔ˨											
撥	puah4	buah4	puaʔ˨											
潑	phuah4	puah4	pʰuaʔ˨											
潑	phuak4	puag4	pʰuak˨	俗										
鈸	buah8	bhuah8	ᵐbuaʔ˥˦											
鈸	puak8	buag8	puak˥˦	文										
跋	puah8	buah8	puaʔ˥˦											
跋	puak8	buag8	puak˥˦	文										
末	buah8	bhuah8	ᵐbuaʔ˥˦											
末	muak8	muag8	muak˥˦	文										
抹	buah4	bhuah4	ᵐbuaʔ˨											
沫	buah8	bhuah8	ᵐbuaʔ˥˦											
沫	muak8	muag8	muak˥˦	文，郭~若										
掇	toh8	doh8	toʔ˥˦											
掇	tshuak4	cuag4	tsʰuak˨	又，俗										
脫	thuk4	tug4	tʰuk˨											
奪	toh8	doh8	toʔ˥˦											
捋	luk8	lug8	luk˥˦											
捋	luak4	luag4	luak˨	文										
撮	tshoh4	coh4	tsʰoʔ˨											
撮	tshuak4	cuag4	tsʰuak˨	文										
括	kuak4	guag4	kuak˨											
闊	khuah4	kuah4	kʰuaʔ˨											
豁	hak4	hag4	hak˨											
活	uah8	uah8	uaʔ˥˦											
斡	uk4	ug4	uk˨											
斡	uak4	uag4	uak˨	文										
滑	kuk8	gug8	kuk˥˦											
猾	kuk8	gug8	kuk˥˦											
挖	uai1	uai1	uai˧˧											
刷	sueh4	suêh4	sueʔ˨											
刮	kueh4	guêh4	kueʔ˨											
劣	luak4	luag4	luak˨											
絕	tsoh8	zoh8	tsoʔ˥˦											
雪	soh4	soh4	soʔ˨											
輟	tshuak4	cuag4	tsʰuak˨											
拙	tshuak4	cuag4	tsʰuak˨											
說	sueh4	suêh4	sueʔ˨											
悅	dzuak8	ruag8	dzuak˥˦											
閲	luak4	luag4	luak˨											
發	huak4	huag4	huak˨											
髮	huak4	huag4	huak˨											
伐	huak8	huag8	huak˥˦											
筏	huak8	huag8	huak˥˦											
罰	huak8	huag8	huak˥˦											
襪	gueh8	ghuêh8	ᵑɡueʔ˥˦											
厥	khiak4	kiag4	kʰiak˨											
孓	khuak4	kuag4	kʰuak˨											
孓	kuak4	guag4	kuak˨	俗										
闕	khueh4	kuêh4	kʰueʔ˨											
闕	khiak4	kiag4	kʰiak˨	文										
掘	kuk8	gug8	kuk˥˦											
橛	khurk8	keg8	kʰɯk˥˦											
橛	kueh8	guêh8	kueʔ˥˦	又										
橛	khiak4	kiag4	kʰiak˨	文										
月	gueh8	ghuêh8	ᵑɡueʔ˥˦											
噦	ueh4	uêh4	ueʔ˨											
越	uak8	uag8	uak˥˦											
曰	iak4	iag4	iak˨											
曰	uak4	uag4	uak˨	又，白										
粵	uak8	uag8	uak˥˦											
決	kuak4	guag4	kuak˨											
訣	kuak4	guag4	kuak˨											
缺	khueh4	kuêh4	kʰueʔ˨											
缺	khih4	kih4	kʰiʔ˨	又										
血	hueh4	huêh4	hueʔ˨											
穴	huak8	huag8	huak˥˦											
吞	thung1	tung1	tʰuŋ˧˧											
根	kurng1	geng1	kɯŋ˧˧											
跟	kurng1	geng1	kɯŋ˧˧											
墾	khurng2	keng2	kʰɯŋ˥˨											
懇	khurng2	keng2	kʰɯŋ˥˥											
齦	ngurng5	ngeng5	ŋɯŋ˥˨											
痕	hung5	hung5	huŋ˥˥											
很	hurng2	heng2	hɯŋ˥˨											
恨	hurng6	heng6	hɯŋ˧˥											
恩	urng1	eng1	ɯŋ˧˧											
彬	ping1	bing1	piŋ˧˧											
賓	ping1	bing1	piŋ˧˧											
檳	ping1	bing1	piŋ˧˧											
殯	ping3	bing3	piŋ˨˩˨											
殯	ping1	bing1	piŋ˧˧	俗										
貧	phing5	ping5	pʰiŋ˥˥											
頻	phing5	ping5	pʰiŋ˥˥											
牝	phing2	ping2	pʰiŋ˥˨											
閩	mang5	mang5	maŋ˥˥											
民	ming5	ming5	miŋ˥˥											
泯	ming5	ming5	miŋ˥˥											
敏	miang2	miang2	miaŋ˥˨											
憫	miang2	miang2	miaŋ˥˨											
鄰	ling5	ling5	liŋ˥˥											
鱗	lang5	lang5	laŋ˥˥											
鱗	ling5	ling5	liŋ˥˥	文										
磷	ling5	ling5	liŋ˥˥											
吝	liang6	liang6	liaŋ˧˥											
吝	ling7	ling7	liŋ˧˩	又										
津	tsing1	zing1	tɕiŋ˧˧											
盡	tsing6	zing6	tɕiŋ˧˥											
進	tsing3	zing3	tɕiŋ˨˩˨											
晉	tsing3	zing3	tɕiŋ˨˩˨											
親	tshing1	cing1	tɕʰiŋ˧˧											
秦	tshing5	cing5	tɕʰiŋ˥˥											
辛	sing1	sing1	ɕiŋ˧˧											
新	sing1	sing1	ɕiŋ˧˧											
薪	tsing1	zing1	tɕiŋ˧˧											
薪	sing1	sing1	ɕiŋ˧˧	又										
信	sing3	sing3	ɕiŋ˨˩˨											
訊	sing3	sing3	ɕiŋ˨˩˨											
珍	tiang1	diang1	tiaŋ˧˧											
鎮	ting3	ding3	tiŋ˨˩˨											
趁	thang3	tang3	tʰaŋ˨˩˨											
陳	tang5	dang5	taŋ˥˥	白										
陳	ting5	ding5	tiŋ˥˥	又										
陳	thing5	ting5	tʰiŋ˥˥	又										
陳	tshing5	cing5	tɕʰiŋ˥˥	文										
塵	ting5	ding5	tiŋ˥˥											
陣	ting7	ding7	tiŋ˧˩											
陣	tsung7	zung7	tsuŋ˧˩	白										
陣	tsung5	zung5	tsuŋ˥˥	又										
榛	tsing1	zing1	tɕiŋ˧˧											
臻	tsing1	zing1	tɕiŋ˧˧											
襯	tsheng3	cêng3	tsʰeŋ˨˩˨											
真	tsing1	zing1	tɕiŋ˧˧											
診	tsiang2	ziang2	tɕiaŋ˥˨											
疹	tsiang2	ziang2	tɕiaŋ˥˨											
振	tsing2	zing2	tɕiŋ˥˨											
震	tsing2	zing2	tɕiŋ˥˨											
娠	sing5	sing5	ɕiŋ˥˥											
神	sing5	sing5	ɕiŋ˥˥											
身	sing1	sing1	ɕiŋ˧˧											
申	sing1	sing1	ɕiŋ˧˧											
伸	tshung1	cung1	tsʰuŋ˧˧	白										
伸	sing1	sing1	ɕiŋ˧˧											
娠	sing5	sing5	ɕiŋ˥˥											
辰	sing5	sing5	ɕiŋ˥˥											
晨	sing5	sing5	ɕiŋ˥˥											
臣	tshing5	cing5	tɕʰiŋ˥˥											
腎	siang6	siang6	ɕiaŋ˧˥											
慎	sim2	sim2	ɕim˥˨											
人	dzing5	ring5	dʑiŋ˥˥											
人	nang5	nang5	naŋ˥˥	訓“儂”										
仁	dzing5	ring5	dʑiŋ˥˥											
忍	lung2	lung2	luŋ˥˨	白										
忍	dzim2	rim2	dʑim˥˨											
認	dzing7	ring7	dʑiŋ˧˩											
刃	dzim2	rim2	dʑim˥˨											
巾	kurng1	geng1	kɯŋ˧˧											
緊	king2	ging2	kiŋ˥˨											
僅	kurng2	geng2	kɯŋ˥˨											
銀	ngurng5/nging5	ngeng5/nging5	ŋɯŋ˥˥/ŋiŋ˥˥											
釁	hiang3	hiang3	hiaŋ˨˩˨											
因	ing1	ing1	iŋ˧˧											
姻	ing1	ing1	iŋ˧˧											
印	ing3	ing3	iŋ˨˩˨											
寅	ing5	ing5	iŋ˥˥											
引	ing2	ing2	iŋ˥˨											
斤	kurng1	geng1	kɯŋ˧˧											
筋	kurng1	geng1	kɯŋ˧˧											
謹	kurng2	geng2	kɯŋ˥˨											
勤	khurng5	keng5	kʰɯŋ˥˥											
芹	khurng5	keng5	kʰɯŋ˥˥											
近	kurng6	geng6	kɯŋ˧˥											
欣	hurng1	heng1	hɯŋ˧˧											
殷	hurng1	heng1	hɯŋ˧˧											
隱	urng2	eng2	ɯŋ˥˨											
隱	ung2	ung2	uŋ˥˨	又										
隱	ing2	ing2	iŋ˥˨	又										
筆	pik4	big4	pik˨											
畢	pik8	big8	pik˥˦											
畢	pik4	big4	pik˨	又										
必	pik4	big4	pik˨											
匹	phik4	pig4	pʰik˨											
弼	pik8	big8	pik˥˦											
密	bak8	bhag8	bak˥˦	白										
密	mik8	mig8	mik˥˦											
蜜	bik8	bhig8	ᵐbik˥˦											
昵	nek8	nêg8	nek˥˦											
栗	lak8	lag8	lak˥˦	白，猴~										
栗	liak8	liag8	liak˥˦											
七	tshik4	cig4	tɕʰik˨											
漆	tshak4	cag4	tsʰak˨											
疾	tsik8	zig8	tɕik˥˦											
悉	sek4	sêg4	sek˨											
膝	tshek4	cêg4	tsʰek˨											
窒	thak4	tag4	tʰak˨	白										
窒	tiak4	diag4	tiak˨											
侄	tiak4	diag4	tiak˨											
秩	tiak4	diag4	tiak˨											
瑟	sek4	sêg4	sek˨											
虱	sak4	sag4	sak˨											
質	tsioh4	zioh4	tɕioʔ˨											
實	tsak8	zag8	tsak˥˦	白										
實	sik8	sig8	ɕik˥˦											
失	sik4	sig4	ɕik˨											
室	sik4	sig4	ɕik˨											
日	dzik8	rig8	dʑik˥˦											
吉	kik4	gig4	kik˨											
吉	kiak4	giag4	kiak˨	又										
詰	kiak4	giag4	kiak˨											
一	ik4	ig4	ik˨											
乙	ik4	ig4	ik˨											
逸	ek8	êg8	ek˥˦											
乞	khurh4/khih4	keh4/kih4	kʰɯʔ˨/kʰiʔ˨	白，~伊										
乞	khurk4	keg4	kʰɯk˨											
奔	pung1	bung1	puŋ˧˧											
本	pung2	bung2	puŋ˥˨											
噴	pung3	bung3	puŋ˨˩˨											
盆	phung5	pung5	pʰuŋ˥˥											
笨	pung2	bung2	puŋ˥˨											
笨	pung3	bung3	puŋ˨˩˨											
門	mung5	mung5	muŋ˥˥											
燜	bung1	bhung1	ᵐbuŋ˧˧											
悶	bung6	bhung6	ᵐbuŋ˧˥	又										
悶	bung7	bhung7	ᵐbuŋ˧˩											
敦	tung1	dung1	tuŋ˧˧											
墩	tung1	dung1	tuŋ˧˧											
頓	tng3	deng3	tŋ˨˩˨											
頓	tung6	dung6	tuŋ˧˥	文										
頓	tok4	dog4	tok˨	又，冒~單于										
褪	thng3	teng3	tʰŋ˨˩˨											
褪	tho3	to3	tʰo˨˩˨	又										
屯	thung5	tung5	tʰuŋ˥˥											
豚	thung5	tung5	tʰuŋ˥˥											
飩	thung1	tung1	tʰuŋ˧˧											
臀	tiang6	diang6	tiaŋ˧˥	俗										
臀	tau2	dao2	tau˥˨	俗										
臀	thung5	tung5	tʰuŋ˥˥											
囤	tung1	dung1	tuŋ˧˧											
囤	tung6	dung6	tuŋ˧˥											
囤	thung5	tung5	tʰuŋ˥˥											
沌	tung6	dung6	tuŋ˧˥											
盾	tung2	dung2	tuŋ˥˨											
鈍	tung6	dung6	tuŋ˧˥											
遁	tung6	dung6	tuŋ˧˥											
嫩	nung3	nung3	nuŋ˨˩˨											
嫩	lung3	lung3	luŋ˨˩˨	又										
侖	lung5	lung5	luŋ˥˥											
論	lung6	lung6	luŋ˧˥											
尊	tsung1	zung1	tsuŋ˧˧											
村	tshng1	ceng1	tsʰŋ˧˧											
忖	tshung2	cung2	tsʰuŋ˥˨											
寸	tshung3	cung3	tsʰuŋ˨˩˨											
存	tshung5	cung5	tsʰuŋ˥˥											
蹲	tung1	dung1	tuŋ˧˧											
蹲	tshng5	ceng5	tsʰŋ˥˥	又										
蹲	tshung5	cung5	tsʰuŋ˥˥	文										
孫	sng1	seng1	sŋ˧˧	白，姓氏										
孫	sung1	sung1	suŋ˧˧											
損	sung2	sung2	suŋ˥˨											
遜	sung3	sung3	suŋ˨˩˨											
昆	khung1	kung1	kʰuŋ˧˧											
崑	khung1	kung1	kʰuŋ˧˧											
滾	kung2	gung2	kuŋ˥˨											
棍	kung3	gung3	kuŋ˨˩˨											
坤	khung1	kung1	kʰuŋ˧˧											
捆	khung2	kung2	kʰuŋ˥˨											
困	khung3	kung3	kʰuŋ˨˩˨											
昏	hung1	hung1	huŋ˧˧											
婚	hung1	hung1	huŋ˧˧											
魂	hung5	hung5	huŋ˥˥											
餛	hung5	hung5	huŋ˥˥											
混	hung6	hung6	huŋ˧˥											
渾	hung5	hung5	huŋ˥˥											
溫	ung1	ung1	uŋ˧˧											
瘟	ung1	ung1	uŋ˧˧											
穩	ung2	ung2	uŋ˥˨											
倫	lung5	lung5	luŋ˥˥											
淪	lung5	lung5	luŋ˥˥											
輪	lung5	lung5	luŋ˥˥											
輪	ling2	ling2	liŋ˥˨	俗										
遵	tsung1	zung1	tsuŋ˧˧											
俊	tsung3	zung3	tsuŋ˨˩˨											
竣	tsung3	zung3	tsuŋ˨˩˨											
皴	tshuang1	cuang1	tsʰuaŋ˧˧											
皴	tshung1	cung1	tsʰuŋ˧˧	文										
荀	sung5	sung5	suŋ˥˥											
詢	sung5	sung5	suŋ˥˥											
筍	sung2	sung2	suŋ˥˨											
迅	sing3	sing3	ɕiŋ˨˩˨											
浚	tsung3	zung3	tsuŋ˨˩˨											
浚	sung3	sung3	suŋ˨˩˨											
旬	sung5	sung5	suŋ˥˥											
循	sung5	sung5	suŋ˥˥											
巡	sung5	sung5	suŋ˥˥											
殉	sung5	sung5	suŋ˥˥											
椿	tshung1	cung1	tsʰuŋ˧˧											
諄	tung1	dung1	tuŋ˧˧											
肫	tung1	dung1	tuŋ˧˧											
准	tsung2	zung2	tsuŋ˥˨											
春	tshung1	cung1	tsʰuŋ˧˧											
蠢	tshung2	cung2	tsʰuŋ˥˨											
唇	tung5	dung5	tuŋ˥˥											
唇	sung5	sung5	suŋ˥˥	文，眼皮										
盾	tung2	dung2	tuŋ˥˨											
順	sung6	sung6	suŋ˧˥											
舜	sung3	sung3	suŋ˨˩˨											
瞬	sung3	sung3	suŋ˨˩˨											
純	sung5	sung5	suŋ˥˥											
蒓	sung5	sung5	suŋ˥˥											
醇	sung5	sung5	suŋ˥˥											
潤	dzung6	rung6	dzuŋ˧˥											
閏	dzung7	rung7	dzuŋ˧˩											
均	kurng1	geng1	kɯŋ˧˧											
鈞	kurng1	geng1	kɯŋ˧˧											
菌	khung2	kung2	kʰuŋ˥˨											
窘	khung2	kung2	kʰuŋ˥˨											
窘	khuk4	kug4	kʰuk˨	又										
窘	kiong2	giong2	kioŋ˥˨	又										
隕	ung5	ung5	uŋ˥˥											
隕	ung6	ung6	uŋ˧˥	又										
隕	ung7	ung7	uŋ˧˩	又										
勻	ung5	ung5	uŋ˥˥											
允	dzung2	rung2	dzuŋ˥˨											
尹	urng2	eng2	ɯŋ˥˨											
分	pung1	bung1	puŋ˧˧	白										
分	hung1	hung1	huŋ˧˧											
粉	hung2	hung2	huŋ˥˨											
糞	pung3	bung3	puŋ˨˩˨	白										
糞	hung3	hung3	huŋ˨˩˨											
奮	hung3	hung3	huŋ˨˩˨											
芬	hung1	hung1	huŋ˧˧											
紛	hung1	hung1	huŋ˧˧											
忿	hung2	hung2	huŋ˥˨											
墳	phung5	pung5	pʰuŋ˥˥											
焚	ung5	ung5	uŋ˥˥											
憤	hung3	hung3	huŋ˨˩˨											
份	hung7	hung7	huŋ˧˩											
文	bung5	bhung5	ᵐbuŋ˥˥											
紋	bung5	bhung5	ᵐbuŋ˥˥											
蚊	bung1	bhung1	ᵐbuŋ˧˧											
聞	bung6	bhung6	ᵐbuŋ˧˥											
聞	pung6	bung6	puŋ˧˥	新，新~										
吻	buk4	bhug4	ᵐbuk˨											
刎	buk4	bhug4	ᵐbuk˨											
問	mung7	mung7	muŋ˧˩											
君	kung1	gung1	kuŋ˧˧											
軍	kung1	gung1	kuŋ˧˧											
群	khung5	kung5	kʰuŋ˥˥											
