武義同音字表							
简体	繁體	吳拼	IPA	备注			
朮	朮	jiueq8	ʥyəʔ3	白~			
浞	浞	jiueq8	ʥyəʔ3	淋雨			
悉	悉	shiueq7	ɕyəʔ5				
蟋	蟋	shiueq7	ɕyəʔ5				
习	習	zhiueq8	ʑyəʔ3				
术	術	zhiueq8	ʑyəʔ3				
悦	悅	iueq8	yəʔ3				
阅	閱	iueq8	yəʔ3				
越	越	iueq8	yəʔ3	~南			
穴	穴	iueq8	yəʔ3				
域	域	iueq8	yəʔ3				
疫	疫	iueq8	yəʔ3				
役	役	iueq8	yəʔ3				
粒	粒	loeq8	lɤq3				
些	些	soeq7	sɤq5				
屑	屑	soeq7	sɤq5	lɤ53~：垃圾			
盒	盒	oeq8	ɤq3				
鳖	鱉	piq7	pieʔ5				
瘪	癟	piq7	pieʔ5				
吶	吶	niq7	nieʔ5	無，沒有			
雪	雪	shiq7	ɕieʔ5				
靥	靨	iq7	ieʔ5	凹，山~：較狹小的山谷			
𥣘	𥣘	iq7	ieʔ5	xuo53~：秕穀			
钵	缽	puoq7	puoʔ5				
拨	撥	puoq7	puoʔ5				
泼	潑	phuoq7	pʰuoʔ5				
桌	桌	luoq7	luoʔ5				
卓	卓	tsuoq7	tsuoʔ5				
戳	戳	tshuoq7	tsʰuoʔ5				
监	監	kuoq7	kuoʔ5	太~			
骨	骨	kuoq7	kuoʔ5				
郭	郭	kuoq7	kuoʔ5				
屈	屈	khuoq7	kʰuoʔ5	彎			
𩑦	𩑦	uoq7	uoʔ5	淹			
刷	刷	shiuq7	ɕyeʔ5				
说	說	shiuq7	ɕyeʔ5				
血	血	shiuq7	ɕyeʔ5				
恤	恤	shiuq7	ɕyeʔ5				
托	託	thaoq7	tʰɑoʔ5				
托	托	thaoq7	tʰɑoʔ5				
落	落	laoq7	lɑoʔ5	dəʔ3~：那裡			
作	作	tsaoq7	tsɑoʔ5				
索	索	saoq7	sɑoʔ5				
各	各	kaoq7	kɑoʔ5				
阁	閣	kaoq7	kɑoʔ5				
搁	擱	kaoq7	kɑoʔ5				
觉	覺	kaoq7	kɑoʔ5				
角	角	kaoq7	kɑoʔ5	動物的角			
确	確	khaoq7	kʰɑoʔ5				
壳	殼	khaoq7	kʰɑoʔ5				
恶	惡	aoq7	ɑoʔ5	~霸			
着	著	liaoq7	liɑoʔ5	~衣裳：穿衣服			
爵	爵	ciaoq7	ʨiɑoʔ5				
脚	腳	ciaoq7	ʨiɑoʔ5				
鹊	鵲	chiaoq7	ʨʰiɑoʔ5				
绰	綽	chiaoq7	ʨʰiɑoʔ5				
却	卻	chiaoq7	ʨʰiɑoʔ5				
削	削	shiaoq7	ɕiɑoʔ5				
惜	惜	shiaoq7	ɕiɑoʔ5	叮儂~：可愛，乖			
约	約	iaoq7	iɑoʔ5				
尾	尾	m5	m53	~巴			
姆	姆	m5	m53	~媽：母親			
吴	吳	n2	n423				
儿	兒	n2	n423				
耳	耳	n3	n445	~朵			
忤	忤	n3	n445	~逆			
五	五	n4	n334				
伍	伍	n4	n334				
午	午	n4	n334				
母	母	n4	n334	丈~			
姆	姆	n4	n334	白~：地名			
二	二	n6	n31				
尔	爾	er4	ɭ334				
耳	耳	er4	ɭ334	黑木~			
而	而	er3	ɭ445	~且			
儿	兒	er	ɭ21	~童			
子	子	tsy5	tsɿ53	子尾，如婊~，包~，棍~			
鸡	雞	cie5	ʨie53	細~			
牛	牛	gnieu5	ȵiu53	細~			
纽	紐	gnieu5	ȵiu53	鍋把兒			
手	手	shieu5	ɕiu53	犁ʨʰie53~：犁上換方向的部位			
猫	貓	man1	maŋ24				
盲	盲	man5	maŋ53	摸烏~：捉迷藏			
发	發	fan5	faŋ53	pʰi445~：劉海			
头	頭	tan5	taŋ53	細ʦəʔ5~：小拇指			
生	生	san3	saŋ445	後~農：年輕男子			
狗	狗	kan5	kaŋ53	細街~：小狗			
鳝	鱔	jian6	ʥiaŋ31	黃~			
夹	裌	kuan5	kuaŋ53	背心~：背心			
虾	蝦	huan1	xuaŋ24				
拐	拐	ciuan5	ʨyaŋ53	拐杖			
钹	鈸	ben6	ben31	ʨʰiaʔ4ʨʰiaʔ53~:鈸			
板	板	men5	men53	衣裳~：洗衣板			
兔	兔	then5	tʰen53				
桃	桃	den4	den334				
女	女	nen6	nen31	女兒			
日	日	nen3	nen445	~頭：太陽			
痣	痣	tsen5	tsen53				
枣	棗	tsen5	tsen53				
蚤	蚤	tsen5	tsen53				
草	草	tshen5	tsʰen53	香~：一種藥草			
嫂	嫂	sen5	sen53	~~			
婶	嬸	sen5	sen53	~~，大~			
柿	柿	zen6	zen31				
干	干	ken5	ken53	靠夜~：傍晚			
盒	盒	en6	en31	香煙~			
薸	薸	bin4	bin334	浮萍			
边	邊	min1	min24	口嘴~：嘴的兩邊			
饼	餅	min5	min53				
弟	弟	din6	din31	~~：年紀不大的弟弟			
簟	簟	din6	din31	桶閘~：架在稻桶上防止稻穀外揚的小簟			
鸟	鳥	lin5	lin53	鳥兒			
李	李	lin6	lin31	李子			
鸡	雞	cin1	ʨin24	細~			
姊	姊	cin5	ʨin53	~~			
茧	繭	cin5	ʨin53				
雀	雀	cin5	ʨin53	麻~			
挈	挈	chin5	ʨʰin53	ɑo53~：小水桶			
厣	厴	gnin5	ȵin53	田螺頭上的圓蓋			
燕	燕	gnin5	ȵin53	子~：燕子			
箫	簫	shin1	ɕin24	簫和笛子的統稱			
蟢	蟢	shin5	ɕin53	~~：蜘蛛			
西	西	shin5	ɕin53	東~			
蟮	蟮	zhin6	ʑin31	蚯蚓			
鞋	鞋	in4	in334				
歌	歌	kuen1	kuen24	大田鄉的讀音			
哥	哥	kuen1	kuen24	八~			
馃	餜	kuen5	kuen53				
鬼	鬼	kuen5	kuen53	細伢~：小孩兒			
虎	虎	huen5	xuen53	辣~：辣椒			
鹅	鵝	uen5	uen53	細~			
碗	碗	uen5	uen53	湊破~：愛管閒事的人			
镬	鑊	uen6	uen31	細銅~：小鍋			
帚	帚	ciun5	ʨyin53	雞毛~：雞毛撣子			
坠	墜	jiun6	ʥyin31	錫~：釣魚竿上用的墜兒			
刷	刷	shiun5	ɕyin53	牙~			
溾	溾	iuaa1	ya24	脏：溾相			
炀	煬	ian2	iaŋ423	融化			
