漢字	拼音	IPA	注釋		語系	語片	方言	地理	政區	分佈	位點	人口	相關	作者	名牌									
林	lɪŋ																							
淋	lɪŋ																							
臨	lɪŋ																							
凜	lɪŋ																							
廩	lɪŋ																							
浸	tsɪŋ																							
侵	tsʰɪŋ																							
寢	tsʰɪŋ																							
蕈	zɪŋ																							
蕈	ʑioŋ																							
心	sɪŋ																							
尋	zɪŋ																							
琛	sɪŋ																							
琛	tæ̃																							
沉	dzɪŋ																							
沉	dzæ̃																							
朕	dzɪŋ																							
簪	tsæ̃																							
岑	zɪŋ																							
森	sæ̃																							
參	sæ̃		人參sæ̃																					
參	tsʰã		tsʰã參加																					
滲	sæ̃																							
滲	sɪŋ																							
針	tsæ̃																							
斟	tsɪŋ																							
枕	tsɪŋ																							
葚	zɪŋ																							
深	sɪŋ																							
瀋	sɪŋ																							
審	sɪŋ																							
嬸	sɪŋ																							
甚	sɪŋ																							
壬	zɪŋ																							
任	zɪŋ		責任zɪŋ																					
任	nɪŋ		主任nɪŋ																					
任	ȵɪŋ		ȵɪŋ任賢齊（姓名）																					
妊	zɪŋ																							
今	kɐʔ		kɐʔ今日																					
今	ka		ka今年																					
今	kɪŋ		kɪŋ今朝																					
金	kɪŋ																							
衿	kɪŋ																							
襟	kɪŋ																							
禁	kɪŋ																							
錦	kɪŋ																							
欽	kʰɪŋ																							
妗	ɡɪŋ																							
琴	ɡɪŋ																							
禽	ɡɪŋ																							
擒	ɡɪŋ																							
吟	ŋɪŋ																							
吟	ȵɪŋ																							
音	ɪŋ																							
陰	ɪŋ																							
飲	ɪŋ																							
蔭	ɪŋ																							
窨	ɪŋ																							
淫	ɦɪŋ																							
淫	ɪŋ																							
立	lɐʔ																							
粒	lɐʔ																							
緝	tsʰɐʔ																							
緝	tɕiɐʔ																							
集	dzɐʔ		dzɐʔ集中																					
集	zɐʔ		zɐʔ集郵																					
輯	tsʰɐʔ																							
習	zɐʔ																							
襲	zɐʔ																							
蟄	dzɐʔ																							
蟄	tɕiɐʔ																							
澀	sɐʔ																							
澀	ɕiɐʔ																							
汁	tsɐʔ																							
執	tsɐʔ																							
濕	sɐʔ																							
濕	ɕiɐʔ																							
十	zɐʔ																							
什	zɐʔ																							
拾	zɐʔ																							
拾	ʑiɐʔ																							
入	zɐʔ																							
急	kieʔ																							
級	kiɐʔ																							
汲	kiɐʔ																							
給	kiɐʔ																							
泣	kiɐʔ																							
及	ɡiɐʔ																							
吸	xiɐʔ																							
邑	iɐʔ																							
揖	iɐʔ																							
揖	tsʰɐʔ																							
揖	tɕiɐʔ																							
揖	dzɐʔ																							
丹	tæ̃																							
丹	tã																							
單	tã		tã單雙																					
單	ʑiẽ		ʑiẽ單（姓氏）																					
旦	tã																							
旦	tæ̃																							
灘	tʰã																							
攤	tʰã																							
坦	tʰã																							
歎	tʰã																							
炭	tʰã																							
檀	dã																							
壇	dã																							
彈	dã																							
彈	tã																							
誕	tã																							
但	dã																							
蛋	dã																							
憚	dã																							
憚	dæ̃																							
難	nã		苦難nã																					
難	nɔ̃		消nɔ̃難擋災																					
蘭	lã																							
攔	lã																							
欄	lã																							
懶	lã																							
爛	lã																							
贊	tsã																							
讚	tsã																							
餐	tsʰã																							
燦	tsʰã																							
殘	dzã																							
珊	sã																							
散	sã																							
散	sæ̃																							
傘	sã																							
乾	ɡiẽ		ɡiẽ乾坤																					
乾	kã		kã乾杯																					
乾	kuə̃		筍乾kuə̃																					
干	kã		余干kã縣																					
肝	kã		kã肝腹水																					
肝	kuə̃		心肝kuə̃寶																					
竿	kã																							
竿	kɔ̃																							
杆	kã																							
稈	kã																							
幹	kã		kã幹支																					
擀	kã																							
趕	kuə̃																							
看	kʰã																							
刊	kʰã																							
侃	kʰã																							
看	kʰã																							
看	kʰuə̃																							
岸	ŋã																							
鼾	xã																							
罕	xã																							
漢	xæ̃		楚漢xæ̃																					
漢	xuə̃		羅漢xuə̃兒（混混、流氓、匪徒）																					
漢	xã		xã漢人																					
寒	ɦã		ɦã寒暑																					
