	注释：-白，=文
p	[5]柄-[7]饼
pʰ	[1]□{量词，片，指墙}[2]平-坪-[3]□{果实未熟掉落}碰-[6]病-
m	[1]蒙-[6]命-[7]名-
t	[3]鼎{铁锅}
tʰ	[1]听-[5]痛{专指因冻而痛}[6]郑
l	[2]灵-晾{阴干}[3]领-岭[5]□{舔（贬义）}[7]□{火舌触及}
ts	[1]精-{美}[3]井-
tsʰ	[1]青-[2]睛[3]请-醒-䭕{味淡}[5]倩[6]净-尽-
s	[5]姓-[7]□{召引牲畜，用东西逗引人}
k	[1]惊-[3]颈-[5]镜-
kʰ	[1]轻{～尸：骂人懒}[2]擎{举着}[5]罄{寺庙小锅钟，口朝上}
∅	[1]厂{～坑：地名}赢-迎{～佛}[3]□{锄地}[5]映[7]厂{岩崖下小空地}
#ieŋ	
p	[1]分-边鞭辫-{～子}[3]贬扁匾蝙[5]变柄遍[7]□{个～：一片}
pʰ	[1]编篇偏翩□{呕吐}[2]便{～宜}□{狡辩}[3]辩{动词}□用斧头劈开[5]骗片[6]饭-汴说辩辨便
m	[2]棉绵眠=[5]面[6]缅[3]免勉娩
f	[5]楦□{拳击}
t	[1]颠巅癫[3]点典[5]店
tʰ	[1]添天[2]田甜=填=[3]转-□{门～：门坎}[6]垫电佃奠殿
l	[2]帘廉镰连莲鲢联怜琏粘[3]敛辇撵[6]练炼栋恋□{用肢顶住}
ts	[1]尖櫼{木楔}詹瞻煎砖毡[3]转=展践剪翦[5]占箭荐战饯麟溅[7]□{个～：一截}
tsʰ	[1]签忏歼川穿迁笺[2]潜钱前泉全传[3]浅鳝□{吮吸}[5]串□{用刀劈开}[6]渐旋{发～}贱传{自～}篆[7]前-{外面}
s	[1]先鲜仙[2]船旋[3]选癣远-[5]线扇搧[6]剩-羡善鳝=膳[7]园-{旱地}
k	[1]兼坚肩=巾-筋绢娟鹃捐[3]捡=检卷拣=捲[5]剑见建券眷[7]囝{儿子}
kʰ	[1]谦圈牵[2]权拳颧乾虔□{山坡上的梯田}[3]近犬遣遗虔䘆{蚯蚓}[5]欠劝歉[6]俭健件键倦[7]钳-
x	[1]宣喧萱轩[2]嫌禅蟾贤悬玄弦舷=眩炫[3]险陕显掀[5]献宪[6]现县
∅	[1]掩阉姻渊冤淹[2]炎盐闫严言员圆丸完铅沿筵元源园=然燃延诞研=焉援缘袁辕猿[3]软远=阮演染[5]厌堰燕醉怨[6]艳验谚院念砚[7]蔫{枯萎}
#ueŋ	
k	[3]滚棍
kʰ	[1]昆崑坤[3]捆[5]困
#au	
p	[1]包胞褒[3]保堡宝饱[5]报豹
pʰ	[1]抛□{一种草本野果}[2]浮-袍□{在温水中泡热}[3]抱跑[5]泡鲍[6]爆暴[7]泡{灯～}
m	[1]猫[2]毛={姓}矛茅[3]卯铆[6]冒帽=貌[7]毛-{头～：头发}
t	[1]刀叨[3]倒捣[5]倒{～水}到[7]岛-
tʰ	[2]桃=逃萄陶涛掏淘[3]讨[5]套导[6]道稻盗惰[7]桃-
l	[1]□{烧焦}□{兜售}[2]牢劳捞涝寮膫{猪～：猪油}了[7]1老=佬脑恼[5]□{上下弹动}[6]闹[7]老{～的；父亲了}
ts	[1]朝{会～}招招沼昭遭糟[3]枣=早=爪=找[5]灶=罩照诏[7]枣-爪-
tsʰ	[1]超烧-抄操[2]潮曹槽巢嘈[3]早-草=吵炒[5]躁糙造燥笑-[6]赵皂兆澡[7]草
s	[1]梢稍骚臊[3]嫂=少{～数}[5]少{～年}扫[6]邵绍苕[7]嫂
k	[1]羔糕高膏篙交郊胶教{～书}[3]稿搞搅-搞[5]告窖教{～育}较
kʰ	[1]骹{脚}[5]靠烤拷铐[3]考
ŋ	[1]咬{打～：张嘴等吃}[2]熬鳌敖嗷[3]咬=[5]□{仰头}[6]傲[7]咬{～住不得动弹}
x	[2]豪壕毫[3]好咬-吼[5]好{爱～}孝耗酵[6]号诰校效
∅	[1]坳凹□{诬赖}[3]袄拗[5]奥澳懊
#oŋ	
p	[1]帮兵[3]榜绑[5]棒[7]□{～～木铎：更鼓}
pʰ	[2]旁滂[6]谤□{田～：梯田后壁}
m	[2]忙芒茫盲[3]莽蟒□{～来：随便来}
f	[1]方坊=芳茺慌谎[2]防妨房皇蝗簧[3]纺=仿彷晃[5]放=[7]楻{大桶}
t	[1]当装{～进器皿}[3]党挡[5]当{上～，～铺}
tʰ	[1]汤[2]堂糖塘肠-唐棠搪螳[3]淌趟[5]烫[6]荡
l	[2]郎廊狼囊[3]朗□{楼}[6]浪[7]瓤
ts	[1]臧庄装=妆张章璋獐[3]长{首～}掌涨闯[5]葬壮账=帐胀瘴障
tsʰ	[1]仓苍昌猖莒娼鲳窗[2]藏肠=床=场=长=[3]厂闯□{摁住}[5]唱倡畅创[6]丈杖仗状藏{西～}赃撞[7]床
s	[1]桑霜香乡伤商丧{～事}[2]常裳[3]摤爽赏上{～山}亨响[5]向丧{～失}火[6]上{在～}尚
k	[1]甘疳柑缸扛江肛纲冈刚坩[3]港敢-讲[5]钢杠降{下～}
