汉字	拼音	拼音	IPA	注释
寓	ngo5	ngo②	ŋo˥˥	又
吁	ju6	ju④	dzu˨˥	
迂	u1	u①	u˦˥	
于	u1	u①	u˦˥	單~
盂	hu5	hu②	hu˥˥	訓
雨	u2	u③	u˥˧	文，節氣
雨	hou6	hou④	hou˨˥	白
禹	u2	u③	u˥˧	
宇	u2	u③	u˥˧	
羽	u2	u③	u˥˧	
芋	ou7	ou⑥	ou˨˨	
逾	ju5	ju②	dzu˥˥	
榆	ju5	ju②	dzu˥˥	
愉	ju5	ju②	dzu˥˥	
愈	ju2	ju③	dzu˥˧	
喻	ju6	ju④	dzu˨˥	
裕	ju6	ju④	dzu˨˥	
獃	tai1	tai①	tai˦˥	
戴	tai3	tai⑤	tai˨˩˨	文
戴	to3	to⑤	to˨˩˨	白，姓氏
戴	ti3	ti⑤	ti˨˩˨	白，~帽
胎	tho1	tho①	tʰo˦˥	
台	thai1	thai①	tʰai˦˥	
態	thai3	thai⑤	tʰai˨˩˨	
貸	tai3	tai⑤	tai˨˩˨	
臺	thai5	thai②	tʰai˥˥	
臺	tai5	tai②	tai˥˥	祝英~
苔	thai5	thai②	tʰai˥˥	文
苔	thi5	thi②	tʰi˥˥	白，青~
抬	thai5	thai②	tʰai˥˥	
殆	tai6	tai④	tai˨˥	
待	thai6	thai④	tʰai˨˥	
怠	tai6	tai④	tai˨˥	
代	tai3	tai⑤	tai˨˩˨	交~
代	to7	to⑥	to˨˨	白
代	thoi3	thoi⑤	tʰoi˨˩˨	訓“替”
袋	to7	to⑥	to˨˨	
埭	to7	to⑥	to˨˨	
乃	nai2	nai③	nai˥˧	
耐	nai6	nai④	nai˨˥	
來	lai5	lai②	lai˥˥	
災	tsai1	tsai①	tsai˦˥	
栽	tsai1	tsai①	tsai˦˥	
宰	tsai2	tsai③	tsai˥˧	
載	tsai2	tsai③	tsai˥˧	
再	tsai3	tsai⑤	tsai˨˩˨	
載	tsai3	tsai⑤	tsai˨˩˨	
載	tsai7	tsai⑥	tsai˨˨	
猜	tshai1	tshai①	tsʰai˦˥	
采	tshai2	tshai③	tsʰai˥˧	
睬	tshai2	tshai③	tsʰai˥˧	
彩	tshai2	tshai③	tsʰai˥˧	
菜	tshai3	tshai⑤	tsʰai˨˩˨	
裁	tshai5	tshai②	tsʰai˥˥	
材	tshai5	tshai②	tsʰai˥˥	
才	tshai5	tshai②	tsʰai˥˥	
才	tsai5	tsai②	tsai˥˥	秀~
纔	tshai5	tshai②	tsʰai˥˥	
財	tshai5	tshai②	tsʰai˥˥	
在	tsai6	tsai④	tsai˨˥	
在	to6	to④	to˨˥	訓
腮	sai1	sai①	sai˦˥	文
腮	tshi1	tshi①	tsʰi˦˥	白
鰓	sai1	sai①	sai˦˥	文
鰓	tshi1	tshi①	tsʰi˦˥	白
賽	sai3	sai⑤	sai˨˩˨	
該	kai1	kai①	kai˦˥	
改	koi2	koi③	koi˥˧	
溉	khai3	khai⑤	kʰai˨˩˨	
概	khai3	khai⑤	kʰai˨˩˨	
開	khai1	khai①	kʰai˦˥	文
開	khui1	khui①	kʰui˦˥	白
凱	khai2	khai③	kʰai˥˧	
