汉字	拼音	IPA	注释		
禮	li3	li˥˩	文，少~		
禮	loi3	loi˥˩	白		
麗	li4	li˨˥			
隸	ti4	ti˨˥			
擠	tsinn5	tsĩ˨˩˨			
濟	tsi5	tsi˨˩˨			
濟	tsoi6	tsoi˨˩	替		
妻	tshi1	tsʰi˧˧			
凄	tshi1	tsʰi˧˧			
砌	kih7	kiʔ˨	訓		
齊	tshi2	tsʰi˥˥	文		
齊	tsoi2	tsoi˥˥	白		
臍	tsai2	tsai˥˥			
薺	tshi2	tsʰi˥˥			
薺	tsinn2	tsĩ˥˥	~葱，荸薺		
西	si1	si˧˧	文		
西	sai1	sai˧˧	白		
棲	tshi1	tsʰi˧˧			
犀	sai1	sai˧˧			
洗	soi3	soi˥˩			
