#符号：-白=文	
ɿ	
pʰ	[1]攀{~比}潘[2]□{使零乱的东西聚集到一起：~头发}盘{~子[tɛ⁵⁵]}[5]盼畔□{驾车时系在车辕之间搭在牲畜背上的绳子：拉~}
m	[2]蛮瞒[3]满[5]漫{水~过来}慢曼馒{~头}
f	[1]翻{~车}帆[2]凡烦{心~}泛繁[3]反返[5]饭樊
t	[1]担{扁~}单{~子[tɛ⁵⁵]}丹旦[3]胆[5]弹蛋诞淡=石2{市制容量单位，十斗为一石：一~麦}
tʰ	[1]贪摊{量词：一~屎}摊{动词：~开}滩瘫[2]潭谈弹[3]坦毯{毛~}[5]叹炭探
n	[2]难1{为~}男南[5]难2{灾~}
l	[2]蓝兰拦{~住}篮[3]懒览[5]烂
ts	[1]簪{~子[tɛ⁵⁵]}[3]咱攒{~钱}[5]暂赞
tsʰ	[1]参{~加}餐[2]蚕[3]残[5]灿{~烂}
s	[1]三[3]伞[5]散{~开}
tʂ	[1]沾{~点}[3]展斩[5]栈蘸站占{~位儿}战
tʂʰ	[1]掺{~和}搀[2]婵馋{嘴~}[3]铲{~子}产[5]□{解：~开}
ʂ	[1]山删膻{羊~味儿}[3]闪陕
k	[1]干2{地里太干啦，咋还不下雨啊！}甘杆竿肝柑{甜~}[3]感敢赶擀{~面杖}[5]干1{~活儿}
kʰ	[1]刊勘[3]砍{~树枝儿}槛[5]看
x	[1]憨傻[2]含{嘴里边~个糖球儿。}韩涵[3]喊罕[5]汗{出~}汉旱{~地}焊
∅	[1]安揞{装：~电线}鹌{~鹑}胺{~肽}鞍[3]俺[5]案{~板}按{按照：就~你说的做吧！}
#ian	
p	[1]鞭边{~儿}编[3]扁{~担}贬[5]变汴
pʰ	[1]偏篇[3]谝{~能}[5]骗片便□{不用手扶用镰刀快速的割：把草去~~吧，回来喂羊。}
m	[2]绵棉{纯~}眠[3]免勉冕[5]面{和~}
t	[1]掂{提：赶紧把东西~走，我不要啊！}癫{疯疯~~}颠[3]点典碘[5]店电垫{铺：用凉席~住就在那睡吧！}奠
tʰ	[1]天添{~饭}[2]甜田填{~进去}[3]舔
