简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
劲	勁		dʑ	iɪŋ	³¹³	dʑiɪŋ³¹³	jin6	
近	近		dʑ	iɪŋ	³¹³	dʑiɪŋ³¹³	jin6	
剩	剩		dʑ	iɪŋ	³¹³	dʑiɪŋ³¹³	jin6	
竞	競		dʑ	iɪŋ	³¹³	dʑiɪŋ³¹³	jin6	
郑	鄭		dʑ	iɪŋ	³¹³	dʑiɪŋ³¹³	jin6	
扔	扔		ȵ	iɪŋ	⁴⁴³	ȵiɪŋ⁴⁴³	gnin1	
呢	呢	语气助词	ȵ	iɪŋ	⁴⁴³	ȵiɪŋ⁴⁴³	gnin1	
壬	壬		ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
任	任	姓氏	ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
吟	吟		ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
人	人	白读，一个～	ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
银	銀		ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
仍	仍		ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
迎	迎		ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
宁	寧	～波：地名	ȵ	iɪŋ	²³²	ȵiɪŋ²³²	gnin2	
忍	忍		ȵ	iɪŋ	⁵³	ȵiɪŋ⁵³	gnin3	
赁	賃		ȵ	iɪŋ	³¹³	ȵiɪŋ³¹³	gnin6	
认	認	～真八股	ȵ	iɪŋ	³¹³	ȵiɪŋ³¹³	gnin6	
韧	韌		ȵ	iɪŋ	³¹³	ȵiɪŋ³¹³	gnin6	
宁	寧	～可	ȵ	iɪŋ	³¹³	ȵiɪŋ³¹³	gnin6	
佞	佞		ȵ	iɪŋ	³¹³	ȵiɪŋ³¹³	gnin6	
深	深		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
身	身		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
申	申		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
伸	伸		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
娠	娠		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
欣	欣		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
升	升		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
兴	興	～起	ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
声	聲		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
馨	馨		ɕ	iɪŋ	⁴⁴³	ɕiɪŋ⁴⁴³	shin1	
沈	沈		ɕ	iɪŋ	⁵³	ɕiɪŋ⁵³	shin3	
沈	瀋		ɕ	iɪŋ	⁵³	ɕiɪŋ⁵³	shin3	
审	審		ɕ	iɪŋ	⁵³	ɕiɪŋ⁵³	shin3	
婶	嬸		ɕ	iɪŋ	⁵³	ɕiɪŋ⁵³	shin3	
琛	琛		ɕ	iɪŋ	⁴⁴	ɕiɪŋ⁴⁴	shin5	
衅	釁		ɕ	iɪŋ	⁴⁴	ɕiɪŋ⁴⁴	shin5	
胜	勝		ɕ	iɪŋ	⁴⁴	ɕiɪŋ⁴⁴	shin5	
兴	興	～致	ɕ	iɪŋ	⁴⁴	ɕiɪŋ⁴⁴	shin5	
圣	聖		ɕ	iɪŋ	⁴⁴	ɕiɪŋ⁴⁴	shin5	
神	神		ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
辰	辰		ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
晨	晨		ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
人	人	文读，～民	ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
仁	仁		ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
唇	唇		ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
绳	繩		ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
蝇	蠅		ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
盛	盛	～饭	ʑ	iɪŋ	²³²	ʑiɪŋ²³²	zhin2	
葚	葚		ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
甚	甚		ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
任	任	～务	ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
饪	飪		ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
妊	妊		ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
肾	腎		ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
慎	慎		ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
盛	盛	姓氏	ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
吮	吮		ʑ	iɪŋ	³¹³	ʑiɪŋ³¹³	zhin6	
淫	淫		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
寅	寅		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
行	行	文读，～李	ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
盈	盈		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
赢	贏		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
刑	刑		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
型	型		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
形	形		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
营	營		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
茔	塋		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
萤	螢		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
荧	熒		ɦ	iɪŋ	²³²	ɦiɪŋ²³²	yin2	
幸	幸		ɦ	iɪŋ	³¹³	ɦiɪŋ³¹³	yin6	
音	音		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
阴	陰		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
荫	蔭		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
因	因		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
姻	姻		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
殷	殷		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
应	應	回应	∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
鹰	鷹		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
莺	鶯		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
樱	櫻	文读，～花	∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
英	英		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
婴	嬰		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
缨	纓		∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
瀴	瀴	凉～～：很凉	∅	iɪŋ	⁴⁴³	iɪŋ⁴⁴³	in1	
饮	飲		∅	iɪŋ	⁵³	iɪŋ⁵³	in3	
引	引	～导	∅	iɪŋ	⁵³	iɪŋ⁵³	in3	
隐	隱		∅	iɪŋ	⁵³	iɪŋ⁵³	in3	
影	影		∅	iɪŋ	⁵³	iɪŋ⁵³	in3	
颖	穎		∅	iɪŋ	⁵³	iɪŋ⁵³	in3	
窨	窨		∅	iɪŋ	⁴⁴	iɪŋ⁴⁴	in5	
印	印		∅	iɪŋ	⁴⁴	iɪŋ⁴⁴	in5	
洇	洇	液体渗透出来；湿透：衣裳～	∅	iɪŋ	⁴⁴	iɪŋ⁴⁴	in5	
应	應	～付	∅	iɪŋ	⁴⁴	iɪŋ⁴⁴	in5	
滚	滾	～斗：跟头；搅花～斗：侧向翻跟头	k	uɪŋ	⁵³	kuɪŋ⁵³	kuen3	
棍	棍		k	uɪŋ	⁴⁴	kuɪŋ⁴⁴	kuen5	
昆	昆		kʰ	uɪŋ	⁴⁴³	kʰuɪŋ⁴⁴³	khuen1	
昆	崑		kʰ	uɪŋ	⁴⁴³	kʰuɪŋ⁴⁴³	khuen1	
坤	坤		kʰ	uɪŋ	⁴⁴³	kʰuɪŋ⁴⁴³	khuen1	
捆	捆		kʰ	uɪŋ	⁵³	kʰuɪŋ⁵³	khuen3	
困	困		kʰ	uɪŋ	⁴⁴	kʰuɪŋ⁴⁴	khuen5	
困	睏		kʰ	uɪŋ	⁴⁴	kʰuɪŋ⁴⁴	khuen5	
昏	昏		h	uɪŋ	⁴⁴³	huɪŋ⁴⁴³	huen1	
婚	婚		h	uɪŋ	⁴⁴³	huɪŋ⁴⁴³	huen1	
荤	葷		h	uɪŋ	⁴⁴³	huɪŋ⁴⁴³	huen1	
魂	魂		ɦ	uɪŋ	²³²	ɦuɪŋ²³²	wen2	
馄	餛		ɦ	uɪŋ	²³²	ɦuɪŋ²³²	wen2	
稳	穩		ɦ	uɪŋ	²³²	ɦuɪŋ²³²	wen2	
浑	渾		ɦ	uɪŋ	²³²	ɦuɪŋ²³²	wen2	
混	混	人糊涂	ɦ	uɪŋ	²³²	ɦuɪŋ²³²	wen2	
混	混	混合	ɦ	uɪŋ	³¹³	ɦuɪŋ³¹³	wen6	
温	溫		∅	uɪŋ	⁴⁴³	uɪŋ⁴⁴³	uen1	
瘟	瘟		∅	uɪŋ	⁴⁴³	uɪŋ⁴⁴³	uen1	
蕰	蕰	～草：水草	∅	uɪŋ	⁴⁴³	uɪŋ⁴⁴³	uen1	
混	混	～堂：洗浴	∅	uɪŋ	⁴⁴³	uɪŋ⁴⁴³	uen1	
谆	諄		tɕ	yɪŋ	⁴⁴³	tɕyɪŋ⁴⁴³	ciun1	
肫	肫		tɕ	yɪŋ	⁴⁴³	tɕyɪŋ⁴⁴³	ciun1	
均	均		tɕ	yɪŋ	⁴⁴³	tɕyɪŋ⁴⁴³	ciun1	
钧	鈞		tɕ	yɪŋ	⁴⁴³	tɕyɪŋ⁴⁴³	ciun1	
菌	菌		tɕ	yɪŋ	⁴⁴³	tɕyɪŋ⁴⁴³	ciun1	
君	君		tɕ	yɪŋ	⁴⁴³	tɕyɪŋ⁴⁴³	ciun1	
军	軍		tɕ	yɪŋ	⁴⁴³	tɕyɪŋ⁴⁴³	ciun1	
准	准		tɕ	yɪŋ	⁵³	tɕyɪŋ⁵³	ciun3	
窘	窘		tɕ	yɪŋ	⁵³	tɕyɪŋ⁵³	ciun3	
椿	椿		tɕʰ	yɪŋ	⁴⁴³	tɕʰyɪŋ⁴⁴³	chiun1	
春	春		tɕʰ	yɪŋ	⁴⁴³	tɕʰyɪŋ⁴⁴³	chiun1	
倾	傾		tɕʰ	yɪŋ	⁴⁴³	tɕʰyɪŋ⁴⁴³	chiun1	
蠢	蠢		tɕʰ	yɪŋ	⁵³	tɕʰyɪŋ⁵³	chiun3	
顷	頃		tɕʰ	yɪŋ	⁵³	tɕʰyɪŋ⁵³	chiun3	
群	群		dʑ	yɪŋ	²³²	dʑyɪŋ²³²	jiun2	
裙	裙		dʑ	yɪŋ	²³²	dʑyɪŋ²³²	jiun2	
郡	郡		dʑ	yɪŋ	³¹³	dʑyɪŋ³¹³	jiun6	
熏	熏		ɕ	yɪŋ	⁴⁴³	ɕyɪŋ⁴⁴³	shiun1	
勋	勳		ɕ	yɪŋ	⁴⁴³	ɕyɪŋ⁴⁴³	shiun1	
薰	薰		ɕ	yɪŋ	⁴⁴³	ɕyɪŋ⁴⁴³	shiun1	
舜	舜		ɕ	yɪŋ	⁴⁴	ɕyɪŋ⁴⁴	shiun5	
瞬	瞬		ɕ	yɪŋ	⁴⁴	ɕyɪŋ⁴⁴	shiun5	
训	訓		ɕ	yɪŋ	⁴⁴	ɕyɪŋ⁴⁴	shiun5	
纯	純		ʑ	yɪŋ	²³²	ʑyɪŋ²³²	zhiun2	
莼	蓴		ʑ	yɪŋ	²³²	ʑyɪŋ²³²	zhiun2	
醇	醇		ʑ	yɪŋ	²³²	ʑyɪŋ²³²	zhiun2	
淳	淳		ʑ	yɪŋ	²³²	ʑyɪŋ²³²	zhiun2	
顺	順		ʑ	yɪŋ	³¹³	ʑyɪŋ³¹³	zhiun6	
润	潤		ʑ	yɪŋ	³¹³	ʑyɪŋ³¹³	zhiun6	
闰	閏		ʑ	yɪŋ	³¹³	ʑyɪŋ³¹³	zhiun6	
匀	勻		ɦ	yɪŋ	²³²	ɦyɪŋ²³²	yun2	
云	云		ɦ	yɪŋ	²³²	ɦyɪŋ²³²	yun2	
云	雲		ɦ	yɪŋ	²³²	ɦyɪŋ²³²	yun2	
耘	耘		ɦ	yɪŋ	²³²	ɦyɪŋ²³²	yun2	
韵	韻		ɦ	yɪŋ	³¹³	ɦyɪŋ³¹³	yun6	
运	運		ɦ	yɪŋ	³¹³	ɦyɪŋ³¹³	yun6	
晕	暈	光晕	ɦ	yɪŋ	³¹³	ɦyɪŋ³¹³	yun6	
孕	孕		ɦ	yɪŋ	³¹³	ɦyɪŋ³¹³	yun6	
晕	暈	～车	∅	yɪŋ	⁴⁴³	yɪŋ⁴⁴³	iun1	
□	□	夹～：篱笆	∅	yɪŋ	⁴⁴³	yɪŋ⁴⁴³	iun1	
陨	隕		∅	yɪŋ	⁵³	yɪŋ⁵³	iun3	
允	允		∅	yɪŋ	⁵³	yɪŋ⁵³	iun3	
咏	詠		∅	yɪŋ	⁴⁴	yɪŋ⁴⁴	iun5	
崩	崩	～溃	p	oŋ	⁴⁴³	poŋ⁴⁴³	pon1	
捧	捧		pʰ	oŋ	⁵³	pʰoŋ⁵³	phon3	
朋	朋	～友	b	oŋ	²³²	boŋ²³²	bon2	
篷	篷		b	oŋ	²³²	boŋ²³²	bon2	
蓬	蓬		b	oŋ	²³²	boŋ²³²	bon2	
熢	熢	一～烟；一～火	b	oŋ	²³²	boŋ²³²	bon2	
棒	棒		b	oŋ	³¹³	boŋ³¹³	bon6	
奉	奉		b	oŋ	³¹³	boŋ³¹³	bon6	
埲	埲	～尘：扬尘	b	oŋ	³¹³	boŋ³¹³	bon6	
懵	懵		m	oŋ	⁴⁴³	moŋ⁴⁴³	mon1	
蒙	蒙	～～亮	m	oŋ	⁴⁴³	moŋ⁴⁴³	mon1	
蒙	蒙	～古	m	oŋ	²³²	moŋ²³²	mon2	
蠓	蠓	～蚣：蜈蚣	m	oŋ	²³²	moŋ²³²	mon2	
网	網	白读，一张～	m	oŋ	⁵³	moŋ⁵³	mon3	
孟	孟	又读	m	oŋ	³¹³	moŋ³¹³	mon6	
忘	忘	白读，～记	m	oŋ	³¹³	moŋ³¹³	mon6	
望	望	白读，看	m	oŋ	³¹³	moŋ³¹³	mon6	
梦	夢		m	oŋ	³¹³	moŋ³¹³	mon6	
风	風		f	oŋ	⁴⁴³	foŋ⁴⁴³	fon1	
疯	瘋		f	oŋ	⁴⁴³	foŋ⁴⁴³	fon1	
丰	豐		f	oŋ	⁴⁴³	foŋ⁴⁴³	fon1	
封	封		f	oŋ	⁴⁴³	foŋ⁴⁴³	fon1	
峰	峰		f	oŋ	⁴⁴³	foŋ⁴⁴³	fon1	
蜂	蜂		f	oŋ	⁴⁴³	foŋ⁴⁴³	fon1	
锋	鋒		f	oŋ	⁴⁴³	foŋ⁴⁴³	fon1	
讽	諷		f	oŋ	⁴⁴	foŋ⁴⁴	fon5	
湗	湗	脏	f	oŋ	⁴⁴	foŋ⁴⁴	fon5	
冯	馮		v	oŋ	²³²	voŋ²³²	von2	
逢	逢		v	oŋ	²³²	voŋ²³²	von2	
缝	縫	～衣裳	v	oŋ	²³²	voŋ²³²	von2	
凤	鳳		v	oŋ	³¹³	voŋ³¹³	von6	
俸	俸		v	oŋ	³¹³	voŋ³¹³	von6	
缝	縫	～道：缝隙	v	oŋ	³¹³	voŋ³¹³	von6	
东	東		t	oŋ	⁴⁴³	toŋ⁴⁴³	ton1	
冬	冬		t	oŋ	⁴⁴³	toŋ⁴⁴³	ton1	
董	董		t	oŋ	⁵³	toŋ⁵³	ton3	
懂	懂		t	oŋ	⁵³	toŋ⁵³	ton3	
栋	棟	～桁：栋梁	t	oŋ	⁴⁴	toŋ⁴⁴	ton5	
冻	凍		t	oŋ	⁴⁴	toŋ⁴⁴	ton5	
通	通		tʰ	oŋ	⁴⁴³	tʰoŋ⁴⁴³	thon1	
捅	捅		tʰ	oŋ	⁵³	tʰoŋ⁵³	thon3	
统	統	～治	tʰ	oŋ	⁵³	tʰoŋ⁵³	thon3	
痛	痛		tʰ	oŋ	⁴⁴	tʰoŋ⁴⁴	thon5	
同	同		d	oŋ	²³²	doŋ²³²	don2	
铜	銅		d	oŋ	²³²	doŋ²³²	don2	
桐	桐		d	oŋ	²³²	doŋ²³²	don2	
茼	茼	～蒿：蒿菜	d	oŋ	²³²	doŋ²³²	don2	
童	童		d	oŋ	²³²	doŋ²³²	don2	
瞳	瞳		d	oŋ	²³²	doŋ²³²	don2	
挏	挏	卷起来：～竹席	d	oŋ	²³²	doŋ²³²	don2	
□	□	□diɪŋ2～□bɔ̃2：剪刀石头布	d	oŋ	²³²	doŋ²³²	don2	
桶	桶		d	oŋ	³¹³	doŋ³¹³	don6	
筒	筒	动洞	d	oŋ	³¹³	doŋ³¹³	don6	
□	□	～盘：托盘	d	oŋ	³¹³	doŋ³¹³	don6	
罗	羅	阎～大王	l	oŋ	²³²	loŋ²³²	lon2	
笼	籠		l	oŋ	²³²	loŋ²³²	lon2	
聋	聾		l	oŋ	²³²	loŋ²³²	lon2	
农	農		l	oŋ	²³²	loŋ²³²	lon2	
脓	膿		l	oŋ	²³²	loŋ²³²	lon2	
隆	隆		l	oŋ	²³²	loŋ²³²	lon2	
窿	窿	缺～：窟窿	l	oŋ	²³²	loŋ²³²	lon2	
龙	龍		l	oŋ	²³²	loŋ²³²	lon2	
砻	礱	名词	l	oŋ	²³²	loŋ²³²	lon2	
拢	攏	～总：一共	l	oŋ	⁵³	loŋ⁵³	lon3	
陇	隴		l	oŋ	⁵³	loŋ⁵³	lon3	
垄	壟	山～田：山上的田	l	oŋ	⁵³	loŋ⁵³	lon3	
弄	弄		l	oŋ	³¹³	loŋ³¹³	lon6	
砻	礱	～米：糯米	l	oŋ	³¹³	loŋ³¹³	lon6	
棕	棕		ts	oŋ	⁴⁴³	tsoŋ⁴⁴³	tson1	
鬃	鬃		ts	oŋ	⁴⁴³	tsoŋ⁴⁴³	tson1	
宗	宗		ts	oŋ	⁴⁴³	tsoŋ⁴⁴³	tson1	
踪	蹤		ts	oŋ	⁴⁴³	tsoŋ⁴⁴³	tson1	
总	總		ts	oŋ	⁵³	tsoŋ⁵³	tson3	
粽	粽		ts	oŋ	⁴⁴	tsoŋ⁴⁴	tson5	
聪	聰		tsʰ	oŋ	⁴⁴³	tsʰoŋ⁴⁴³	tshon1	
匆	匆		tsʰ	oŋ	⁴⁴³	tsʰoŋ⁴⁴³	tshon1	
葱	蔥		tsʰ	oŋ	⁴⁴³	tsʰoŋ⁴⁴³	tshon1	
囱	囪		tsʰ	oŋ	⁴⁴³	tsʰoŋ⁴⁴³	tshon1	
熜	熜	火～	tsʰ	oŋ	⁴⁴³	tsʰoŋ⁴⁴³	tshon1	
□	□	白鼻～：果子狸	tsʰ	oŋ	⁴⁴³	tsʰoŋ⁴⁴³	tshon1	
丛	叢		dz	oŋ	²³²	dzoŋ²³²	dzon2	
崇	崇		dz	oŋ	²³²	dzoŋ²³²	dzon2	
从	從		dz	oŋ	²³²	dzoŋ²³²	dzon2	
颂	頌		dz	oŋ	³¹³	dzoŋ³¹³	dzon6	
讼	訟		dz	oŋ	³¹³	dzoŋ³¹³	dzon6	
松	松		s	oŋ	⁴⁴³	soŋ⁴⁴³	son1	
嵩	嵩		s	oŋ	⁴⁴³	soŋ⁴⁴³	son1	
□	□	看～：看轻	s	oŋ	⁴⁴³	soŋ⁴⁴³	son1	
耸	聳		s	oŋ	⁵³	soŋ⁵³	son3	
送	送		s	oŋ	⁴⁴	soŋ⁴⁴	son5	
宋	宋		s	oŋ	⁴⁴	soŋ⁴⁴	son5	
□	□	把小孩抱在手里颠簸以安抚	s	oŋ	⁴⁴	soŋ⁴⁴	son5	
怂	慫	胆小	z	oŋ	²³²	zoŋ²³²	zon2	
㞞	㞞	精液	z	oŋ	²³²	zoŋ²³²	zon2	
诵	誦		z	oŋ	³¹³	zoŋ³¹³	zon6	
公	公		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
蚣	蚣		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
工	工		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
功	功		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
攻	攻		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
弓	弓		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
躬	躬		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
宫	宮		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
恭	恭		k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
供	供	文读，～应	k	oŋ	⁴⁴³	koŋ⁴⁴³	kon1	
汞	汞		k	oŋ	⁵³	koŋ⁵³	kon3	
拱	拱		k	oŋ	⁵³	koŋ⁵³	kon3	
巩	鞏		k	oŋ	⁵³	koŋ⁵³	kon3	
贡	貢		k	oŋ	⁴⁴	koŋ⁴⁴	kon5	
供	供	～品	k	oŋ	⁴⁴	koŋ⁴⁴	kon5	
空	空	～气	kʰ	oŋ	⁴⁴³	kʰoŋ⁴⁴³	khon1	
孔	孔		kʰ	oŋ	⁵³	kʰoŋ⁵³	khon3	
控	控		kʰ	oŋ	⁵³	kʰoŋ⁵³	khon3	
恐	恐		kʰ	oŋ	⁵³	kʰoŋ⁵³	khon3	
空	空	有～	kʰ	oŋ	⁴⁴	kʰoŋ⁴⁴	khon5	
共	共		ɡ	oŋ	³¹³	ɡoŋ³¹³	gon6	
䃔	䃔	～天雷：打雷	ɡ	oŋ	³¹³	ɡoŋ³¹³	gon6	
轰	轟		h	oŋ	⁴⁴³	hoŋ⁴⁴³	hon1	
烘	烘		h	oŋ	⁴⁴³	hoŋ⁴⁴³	hon1	
□	□	皱披拖～：衣物不平整	h	oŋ	⁴⁴³	hoŋ⁴⁴³	hon1	
哄	哄	～骗	h	oŋ	⁵³	hoŋ⁵³	hon3	
哄	鬨	起～	h	oŋ	⁴⁴	hoŋ⁴⁴	hon5	
蕻	蕻	植物的长茎嫩芽；～壳头臭：菜变质的异味	h	oŋ	⁴⁴	hoŋ⁴⁴	hon5	
齆	齆	～鼻头：讲话因鼻塞发音不清	h	oŋ	⁴⁴	hoŋ⁴⁴	hon5	
弘	弘		ɦ	oŋ	²³²	ɦoŋ²³²	ghon2	
宏	宏		ɦ	oŋ	²³²	ɦoŋ²³²	ghon2	
红	紅		ɦ	oŋ	²³²	ɦoŋ²³²	ghon2	
洪	洪		ɦ	oŋ	²³²	ɦoŋ²³²	ghon2	
鸿	鴻		ɦ	oŋ	²³²	ɦoŋ²³²	ghon2	
塕	塕	～尘：扬尘	ɦ	oŋ	³¹³	ɦoŋ³¹³	ghon6	
翁	翁		∅	oŋ	⁴⁴³	oŋ⁴⁴³	on1	
□	□	～瓦：瓦片	∅	oŋ	⁴⁴³	oŋ⁴⁴³	on1	
□	□	拥挤：～起～倒	∅	oŋ	⁴⁴³	oŋ⁴⁴³	on1	
瓮	甕		∅	oŋ	⁴⁴	oŋ⁴⁴	on5	
中	中	～间	tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
忠	忠		tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
衷	衷		tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
终	終		tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
钟	鐘		tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
钟	鍾		tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
盅	盅		tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
供	供	白读，～饭：提供生活来源	tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
龚	龔		tɕ	yoŋ	⁴⁴³	tɕyoŋ⁴⁴³	cion1	
冢	塚	义～坟	tɕ	yoŋ	⁵³	tɕyoŋ⁵³	cion3	
种	種	～子	tɕ	yoŋ	⁵³	tɕyoŋ⁵³	cion3	
肿	腫		tɕ	yoŋ	⁵³	tɕyoŋ⁵³	cion3	
中	中	～状元	tɕ	yoŋ	⁴⁴	tɕyoŋ⁴⁴	cion5	
众	眾		tɕ	yoŋ	⁴⁴	tɕyoŋ⁴⁴	cion5	
纵	縱	往上跳；～横	tɕ	yoŋ	⁴⁴	tɕyoŋ⁴⁴	cion5	
种	種	～田	tɕ	yoŋ	⁴⁴	tɕyoŋ⁴⁴	cion5	
充	充		tɕʰ	yoŋ	⁴⁴³	tɕʰyoŋ⁴⁴³	chion1	
穹	穹		tɕʰ	yoŋ	⁴⁴³	tɕʰyoŋ⁴⁴³	chion1	
冲	衝		tɕʰ	yoŋ	⁴⁴³	tɕʰyoŋ⁴⁴³	chion1	
冲	沖		tɕʰ	yoŋ	⁴⁴³	tɕʰyoŋ⁴⁴³	chion1	
□	□	～杠：尖头扁担	tɕʰ	yoŋ	⁴⁴³	tɕʰyoŋ⁴⁴³	chion1	
宠	寵		tɕʰ	yoŋ	⁵³	tɕʰyoŋ⁵³	chion3	
铳	銃	土枪	tɕʰ	yoŋ	⁴⁴	tɕʰyoŋ⁴⁴	chion5	
𥅻	𥅻	瞌～：瞌睡	tɕʰ	yoŋ	⁴⁴	tɕʰyoŋ⁴⁴	chion5	
□	□	走路不稳：跌跌～～，发～	tɕʰ	yoŋ	⁴⁴	tɕʰyoŋ⁴⁴	chion5	
虫	蟲		dʑ	yoŋ	²³²	dʑyoŋ²³²	jion2	
穷	窮		dʑ	yoŋ	²³²	dʑyoŋ²³²	jion2	
重	重	文读，～复	dʑ	yoŋ	²³²	dʑyoŋ²³²	jion2	
仲	仲		dʑ	yoŋ	³¹³	dʑyoŋ³¹³	jion6	
重	重	轻～	dʑ	yoŋ	³¹³	dʑyoŋ³¹³	jion6	
兄	兄		ɕ	yoŋ	⁴⁴³	ɕyoŋ⁴⁴³	shion1	
胸	胸		ɕ	yoŋ	⁴⁴³	ɕyoŋ⁴⁴³	shion1	
凶	凶		ɕ	yoŋ	⁴⁴³	ɕyoŋ⁴⁴³	shion1	
荣	榮		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
绒	絨		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
戎	戎		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
熊	熊		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
雄	雄		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
融	融		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
浓	濃		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
茸	茸		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
容	容		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
熔	熔		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
溶	溶		ɦ	yoŋ	²³²	ɦyoŋ²³²	yon2	
